panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
320,0.0,0.1,0.8723230572090668
320,0.1,0.25,0.011613734095410125
320,0.25,0.5,0.004839680782307271
320,0.5,0.75,0.007478514403647126
320,0.75,0.9,0.00975780417540732
320,0.9,1.0,0.09398720933416144
640,0.0,0.1,0.685706824959943
640,0.1,0.25,0.010119513755941082
640,0.25,0.5,0.009102463046821408
640,0.5,0.75,0.01752925173632879
640,0.75,0.9,0.022844460120682933
640,0.9,1.0,0.25469748638028283
1280,0.0,0.1,0.574139838251428
1280,0.1,0.25,0.007764593827174248
1280,0.25,0.5,0.01105962355431857
1280,0.5,0.75,0.022769233777839782
1280,0.75,0.9,0.029567583227562467
1280,0.9,1.0,0.35469912736167697
