panel_index,kinematic_residual,scaled_kinematic_residual
0,7.779816136818571,7.779816136818571
1,2.378562538048668,2.0827103008293326
2,3.1068758873809,3.1068758873809
3,2.1940450833827203,2.1940450833827203
4,1.9039495957284025,1.9039495957284025
5,1.5976961984143507,1.5976961984143507
6,1.3852103359503882,1.3852103359503882
7,1.208407870530262,1.208407870530262
8,1.0644006812100484,1.0644006812100484
9,0.9427186664055658,0.9427186664055658
10,0.8387750767618536,0.8387750767618536
11,0.7487278483171008,0.7487278483171008
12,0.6699915620646341,0.6699915620646341
13,0.6005979317367999,0.6005979317367999
14,0.5390616987483009,0.5390616987483009
15,0.48422254007157606,0.48422254007157606
16,0.43515997884108704,0.43515997884108704
17,0.3911298586089357,0.3911298586089357
18,0.35152137064868166,0.35152137064868166
19,0.3158259207391634,0.3158259207391634
20,0.28361455597464946,0.28361455597464946
21,0.2545212156535352,0.2545212156535352
22,0.22823015408464653,0.22823015408464653
23,0.2044663672472541,0.2044663672472541
24,0.18298822607843584,0.18298822607843584
25,0.16358175027302257,0.16358175027302257
26,0.14605611722406303,0.14605611722406303
27,0.13024011045423606,0.13024011045423606
28,0.1159792891577825,0.1159792891577825
29,0.10313371541572827,0.10313371541572827
30,0.0915761154020105,0.0915761154020105
31,0.08119038002924911,0.08119038002924911
32,0.07187033212702873,0.07187033212702873
33,0.06351870353014608,0.06351870353014608
34,0.056046277846344306,0.056046277846344306
35,0.049371164210731816,0.049371164210731816
36,0.04341817474494519,0.04341817474494519
37,0.03811828424558003,0.03811828424558003
38,0.03340815521202767,0.03340815521202767
39,0.02922971495970697,0.02922971495970697
40,0.02552977446342103,0.02552977446342103
41,0.022259680890716366,0.022259680890716366
42,0.01937499762533154,0.01937499762533154
43,0.016835207056637574,0.016835207056637574
44,0.01460343256853655,0.01460343256853655
45,0.012646177083548843,0.012646177083548843
46,0.010933076223311439,0.010933076223311439
47,0.009436664701550884,0.009436664701550884
48,0.008132154970668451,0.008132154970668451
49,0.006997227450293797,0.006997227450293797
50,0.0060118318803180915,0.0060118318803180915
51,0.005157999480536607,0.005157999480536607
52,0.004419665696868198,0.004419665696868198
53,0.0037825033527091947,0.0037825033527091947
54,0.003233766044753311,0.003233766044753311
55,0.002762141613539444,0.002762141613539444
56,0.002357615495692189,0.002357615495692189
57,0.0020113437325453634,0.0020113437325453634
58,0.0017155353749559246,0.0017155353749559246
59,0.0014633439809554893,0.0014633439809554893
60,0.0012487678708292815,0.0012487678708292815
61,0.0010665587695253866,0.0010665587695253866
62,0.0009121384366629244,0.0009121384366629244
63,0.000781522866444697,0.000781522866444697
64,0.0006712536186724363,0.0006712536186724363
65,0.0005783358357389599,0.0005783358357389599
66,0.000500182492945863,0.000500182492945863
67,0.00043456441851632416,0.00043456441851632416
68,0.0003795656232730808,0.0003795656232730808
69,0.0003335433864239609,0.0003335433864239609
70,0.00029509266142746515,0.00029509266142746515
71,0.0002630130870694171,0.0002630130870694171
72,0.00023628021175039517,0.00023628021175039517
73,0.00021400219532708917,0.00021400219532708917
74,0.00019540941139402877,0.00019540941139402877
75,0.00017958803342040495,0.00017958803342040495
76,0.00016557316502527168,0.00016557316502527168
77,0.0001512723854037645,0.0001512723854037645
78,7.540840411545454e-05,7.540840411545454e-05
79,0.0016336497446037494,0.0016336497446037494
