panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
320,0.0,0.1,0.5261932042903963
320,0.1,0.25,0.01677824861336313
320,0.25,0.5,0.0034978307764614177
320,0.5,0.75,0.005151944407907951
320,0.75,0.9,0.007206975107671452
320,0.9,1.0,0.44117179680419993
640,0.0,0.1,0.2958660779327138
640,0.1,0.25,0.018435239820586754
640,0.25,0.5,0.0043757484440691136
640,0.5,0.75,0.007694056705013333
640,0.75,0.9,0.01071356118710419
640,0.9,1.0,0.6629153159105128
1280,0.0,0.1,0.2258917722825082
1280,0.1,0.25,0.018310150414802318
1280,0.25,0.5,0.0045053557859425835
1280,0.5,0.75,0.00839143639944071
1280,0.75,0.9,0.011647194769841758
1280,0.9,1.0,0.7312540903474645
