vertex_id,x_m,y_m,z_up_m
0,0.000000000,-0.230000000,0.050000000
1,0.000000000,-0.230000000,0.040539230
2,0.000000000,-0.230622983,0.031100238
3,0.000000000,-0.234555912,0.022584784
4,0.000000000,-0.240713675,0.015561860
5,0.000000000,-0.247669262,0.009148907
6,0.000000000,-0.256241998,0.006219750
7,0.000000000,-0.265629711,0.005046286
8,0.000000000,-0.274887760,0.003204743
9,0.000000000,-0.284032871,0.000781289
10,0.000000000,-0.293282408,-0.000986003
11,0.000000000,-0.302728025,-0.001521255
12,0.000000000,-0.312173642,-0.002056506
13,0.000000000,-0.321621631,-0.002527027
14,0.000000000,-0.331081087,-0.002684685
15,0.000000000,-0.340540544,-0.002842342
16,0.000000000,-0.350000000,-0.003000000
17,0.000000000,-0.359459456,-0.002842342
18,0.000000000,-0.368918913,-0.002684685
19,0.000000000,-0.378378369,-0.002527027
20,0.000000000,-0.387826358,-0.002056506
21,0.000000000,-0.397271975,-0.001521255
22,0.000000000,-0.406717592,-0.000986003
23,0.000000000,-0.415967129,0.000781289
24,0.000000000,-0.425112240,0.003204743
25,0.000000000,-0.434370289,0.005046286
26,0.000000000,-0.443758002,0.006219750
27,0.000000000,-0.452330738,0.009148907
28,0.000000000,-0.459286325,0.015561860
29,0.000000000,-0.465444088,0.022584784
30,0.000000000,-0.469377017,0.031100238
31,0.000000000,-0.470000000,0.040539230
32,0.000000000,-0.470000000,0.050000000
33,0.075000000,-0.230000000,0.050000000
34,0.075000000,-0.230000000,0.040160503
35,0.075000000,-0.230760036,0.030431079
36,0.075000000,-0.233551520,0.020995862
37,0.075000000,-0.238184337,0.012597229
38,0.075000000,-0.244803099,0.005316591
39,0.075000000,-0.253376806,0.000520679
40,0.075000000,-0.262206392,-0.003717790
41,0.075000000,-0.271681474,-0.006370813
42,0.075000000,-0.281325665,-0.008227764
43,0.075000000,-0.291068946,-0.009585516
44,0.075000000,-0.300877107,-0.010370169
45,0.075000000,-0.310685268,-0.011154821
46,0.075000000,-0.320494783,-0.011914843
47,0.075000000,-0.330329855,-0.012209896
48,0.075000000,-0.340164928,-0.012504948
49,0.075000000,-0.350000000,-0.012800000
50,0.075000000,-0.359835072,-0.012504948
51,0.075000000,-0.369670145,-0.012209896
52,0.075000000,-0.379505217,-0.011914843
53,0.075000000,-0.389314732,-0.011154821
54,0.075000000,-0.399122893,-0.010370169
55,0.075000000,-0.408931054,-0.009585516
56,0.075000000,-0.418674335,-0.008227764
57,0.075000000,-0.428318526,-0.006370813
58,0.075000000,-0.437793608,-0.003717790
59,0.075000000,-0.446623194,0.000520679
60,0.075000000,-0.455196901,0.005316591
61,0.075000000,-0.461815663,0.012597229
62,0.075000000,-0.466448480,0.020995862
63,0.075000000,-0.469239964,0.030431079
64,0.075000000,-0.470000000,0.040160503
65,0.075000000,-0.470000000,0.050000000
66,0.150000000,-0.230000000,0.050000000
67,0.150000000,-0.230103318,0.039668243
68,0.150000000,-0.230381869,0.029361863
69,0.150000000,-0.233213800,0.019425262
70,0.150000000,-0.236221723,0.009576680
71,0.150000000,-0.242473609,0.001350514
72,0.150000000,-0.250325379,-0.005290991
73,0.150000000,-0.258814450,-0.011082952
74,0.150000000,-0.268241854,-0.015311420
75,0.150000000,-0.278191502,-0.017984045
76,0.150000000,-0.288260873,-0.020300001
77,0.150000000,-0.298496490,-0.021634614
78,0.150000000,-0.308766815,-0.022764350
79,0.150000000,-0.319037140,-0.023894085
80,0.150000000,-0.329354827,-0.024405376
81,0.150000000,-0.339677414,-0.024852688
82,0.150000000,-0.350000000,-0.025300000
83,0.150000000,-0.360322586,-0.024852688
84,0.150000000,-0.370645173,-0.024405376
85,0.150000000,-0.380962860,-0.023894085
86,0.150000000,-0.391233185,-0.022764350
87,0.150000000,-0.401503510,-0.021634614
88,0.150000000,-0.411739127,-0.020300001
89,0.150000000,-0.421808498,-0.017984045
90,0.150000000,-0.431758146,-0.015311420
91,0.150000000,-0.441185550,-0.011082952
92,0.150000000,-0.449674621,-0.005290991
93,0.150000000,-0.457526391,0.001350514
94,0.150000000,-0.463778277,0.009576680
95,0.150000000,-0.466786200,0.019425262
96,0.150000000,-0.469618131,0.029361863
97,0.150000000,-0.469896682,0.039668243
98,0.150000000,-0.470000000,0.050000000
99,0.225000000,-0.230000000,0.050000000
100,0.225000000,-0.230000000,0.039182314
101,0.225000000,-0.230359326,0.028404592
102,0.225000000,-0.232736203,0.017851261
103,0.225000000,-0.235281564,0.007369207
104,0.225000000,-0.241199942,-0.001685911
105,0.225000000,-0.247984230,-0.009966963
106,0.225000000,-0.256321878,-0.016859419
107,0.225000000,-0.265435945,-0.022545493
108,0.225000000,-0.275174755,-0.027247766
109,0.225000000,-0.285609660,-0.030099974
110,0.225000000,-0.296202903,-0.032189083
111,0.225000000,-0.306911151,-0.033723932
112,0.225000000,-0.317619399,-0.035258781
113,0.225000000,-0.328399281,-0.036075959
114,0.225000000,-0.339199640,-0.036687980
115,0.225000000,-0.350000000,-0.037300000
116,0.225000000,-0.360800360,-0.036687980
117,0.225000000,-0.371600719,-0.036075959
118,0.225000000,-0.382380601,-0.035258781
119,0.225000000,-0.393088849,-0.033723932
120,0.225000000,-0.403797097,-0.032189083
121,0.225000000,-0.414390340,-0.030099974
122,0.225000000,-0.424825245,-0.027247766
123,0.225000000,-0.434564055,-0.022545493
124,0.225000000,-0.443678122,-0.016859419
125,0.225000000,-0.452015770,-0.009966963
126,0.225000000,-0.458800058,-0.001685911
127,0.225000000,-0.464718436,0.007369207
128,0.225000000,-0.467263797,0.017851261
129,0.225000000,-0.469640674,0.028404592
130,0.225000000,-0.470000000,0.039182314
131,0.225000000,-0.470000000,0.050000000
132,0.300000000,-0.230000000,0.050000000
133,0.300000000,-0.230056439,0.038712107
134,0.300000000,-0.230469628,0.027450841
135,0.300000000,-0.232089453,0.016279633
136,0.300000000,-0.234755745,0.005379617
137,0.300000000,-0.239646757,-0.004744595
138,0.300000000,-0.246437538,-0.013658686
139,0.300000000,-0.254396214,-0.021663634
140,0.300000000,-0.263030523,-0.028704142
141,0.300000000,-0.273272593,-0.033449635
142,0.300000000,-0.283514664,-0.038195128
143,0.300000000,-0.294072513,-0.041946627
144,0.300000000,-0.305175497,-0.043982175
145,0.300000000,-0.316278482,-0.046017722
146,0.300000000,-0.327484393,-0.047248855
147,0.300000000,-0.338742196,-0.048074428
148,0.300000000,-0.350000000,-0.048900000
149,0.300000000,-0.361257804,-0.048074428
150,0.300000000,-0.372515607,-0.047248855
151,0.300000000,-0.383721518,-0.046017722
152,0.300000000,-0.394824503,-0.043982175
153,0.300000000,-0.405927487,-0.041946627
154,0.300000000,-0.416485336,-0.038195128
155,0.300000000,-0.426727407,-0.033449635
156,0.300000000,-0.436969477,-0.028704142
157,0.300000000,-0.445603786,-0.021663634
158,0.300000000,-0.453562462,-0.013658686
159,0.300000000,-0.460353243,-0.004744595
160,0.300000000,-0.465244255,0.005379617
161,0.300000000,-0.467910547,0.016279633
162,0.300000000,-0.469530372,0.027450841
163,0.300000000,-0.469943561,0.038712107
164,0.300000000,-0.470000000,0.050000000
165,0.375000000,-0.230000000,0.050000000
166,0.375000000,-0.230000000,0.038243230
167,0.375000000,-0.230274616,0.026511582
168,0.375000000,-0.232407758,0.014949950
169,0.375000000,-0.234540901,0.003388318
170,0.375000000,-0.239332862,-0.007245781
171,0.375000000,-0.244853994,-0.017625508
172,0.375000000,-0.252802304,-0.026274473
173,0.375000000,-0.260993611,-0.034669032
174,0.375000000,-0.270745725,-0.041235455
175,0.375000000,-0.281096272,-0.046701076
176,0.375000000,-0.292026545,-0.050952595
177,0.375000000,-0.303500645,-0.053515144
178,0.375000000,-0.314974746,-0.056077693
179,0.375000000,-0.326581116,-0.057792300
180,0.375000000,-0.338290558,-0.058846150
181,0.375000000,-0.350000000,-0.059900000
182,0.375000000,-0.361709442,-0.058846150
183,0.375000000,-0.373418884,-0.057792300
184,0.375000000,-0.385025254,-0.056077693
185,0.375000000,-0.396499355,-0.053515144
186,0.375000000,-0.407973455,-0.050952595
187,0.375000000,-0.418903728,-0.046701076
188,0.375000000,-0.429254275,-0.041235455
189,0.375000000,-0.439006389,-0.034669032
190,0.375000000,-0.447197696,-0.026274473
191,0.375000000,-0.455146006,-0.017625508
192,0.375000000,-0.460667138,-0.007245781
193,0.375000000,-0.465459099,0.003388318
194,0.375000000,-0.467592242,0.014949950
195,0.375000000,-0.469725384,0.026511582
196,0.375000000,-0.470000000,0.038243230
197,0.375000000,-0.470000000,0.050000000
198,0.450000000,-0.230000000,0.050000000
199,0.450000000,-0.230061008,0.037798487
200,0.450000000,-0.230472917,0.025612740
201,0.450000000,-0.231506332,0.013454916
202,0.450000000,-0.233918377,0.001526494
203,0.450000000,-0.238701621,-0.009673892
204,0.450000000,-0.243944060,-0.020662048
205,0.450000000,-0.251690928,-0.030088960
206,0.450000000,-0.259437796,-0.039515872
207,0.450000000,-0.269574514,-0.046231944
208,0.450000000,-0.279898239,-0.052735891
209,0.450000000,-0.290253058,-0.059169169
210,0.450000000,-0.302022971,-0.062386279
211,0.450000000,-0.313792883,-0.065603388
212,0.450000000,-0.325734324,-0.067911661
213,0.450000000,-0.337867162,-0.069205831
214,0.450000000,-0.350000000,-0.070500000
215,0.450000000,-0.362132838,-0.069205831
216,0.450000000,-0.374265676,-0.067911661
217,0.450000000,-0.386207117,-0.065603388
218,0.450000000,-0.397977029,-0.062386279
219,0.450000000,-0.409746942,-0.059169169
220,0.450000000,-0.420101761,-0.052735891
221,0.450000000,-0.430425486,-0.046231944
222,0.450000000,-0.440562204,-0.039515872
223,0.450000000,-0.448309072,-0.030088960
224,0.450000000,-0.456055940,-0.020662048
225,0.450000000,-0.461298379,-0.009673892
226,0.450000000,-0.466081623,0.001526494
