test_no,froude_number,speed_m_s,omega_0_rad_s,omega_encounter_rad_s,wavelength_over_lpp,wave_amplitude_cm,surge_rao_cm_per_cm,surge_phase_deg,sway_rao_cm_per_cm,sway_phase_deg,heave_rao_cm_per_cm,heave_phase_deg,roll_rao_deg_per_cm,roll_phase_deg,pitch_rao_deg_per_cm,pitch_phase_deg,yaw_rao_deg_per_cm,yaw_phase_deg
8715,0.3,1.602,3.589,5.692,1.595,1.73,0.216,63.0,0.185,29.0,0.865,10.0,0.048,41.0,0.964,240.0,0.097,235.0
8714,0.3,1.718,3.835,6.412,1.397,1.24,0.185,337.0,0.326,324.0,1.009,20.0,0.043,336.0,1.222,225.0,0.198,219.0
8713,0.3,1.623,4.137,6.97,1.2,1.45,0.111,124.0,0.24,102.0,1.33,21.0,0.03,305.0,1.362,203.0,0.185,200.0
8712,0.3,1.612,4.519,7.876,1.006,2.54,0.238,173.0,0.078,179.0,1.647,344.0,0.021,262.0,0.848,170.0,0.101,167.0
8711,0.3,1.706,4.763,8.71,0.906,2.61,0.176,180.0,0.116,226.0,1.444,297.0,0.012,251.0,0.714,163.0,0.111,141.0
8710,0.3,1.645,5.061,9.358,0.802,2.47,0.138,110.0,0.125,95.0,0.657,254.0,0.019,200.0,0.552,138.0,0.076,137.0
8706,0.3,1.596,5.89,11.537,0.592,1.49,0.016,128.0,0.181,307.0,0.153,36.0,0.018,47.0,0.094,62.0,0.008,61.0
8722,0.6,3.196,3.258,6.714,1.935,1.38,0.202,164.0,0.106,340.0,1.82,15.0,0.025,96.0,1.028,221.0,0.122,210.0
8721,0.6,3.354,3.434,7.465,1.742,1.41,0.052,243.0,0.203,156.0,2.67,358.0,0.034,124.0,1.083,197.0,0.17,190.0
8720,0.6,3.347,3.583,7.964,1.601,1.79,0.281,153.0,0.027,87.0,2.802,312.0,0.077,40.0,0.865,160.0,0.136,150.0
8719,0.6,3.287,3.849,8.815,1.387,1.95,0.279,115.0,0.105,303.0,2.31,285.0,0.078,340.0,0.688,156.0,0.088,145.0
8718,0.6,3.229,4.115,9.689,1.214,2.35,0.202,59.0,0.033,82.0,1.254,241.0,0.041,266.0,0.567,132.0,0.064,127.0
8717,0.6,3.24,4.497,11.177,1.016,2.56,0.157,32.0,0.014,105.0,0.387,214.0,0.011,213.0,0.326,109.0,0.028,105.0
8716,0.6,3.242,4.738,12.159,0.915,2.61,0.092,145.0,0.031,11.0,0.154,209.0,0.002,188.0,0.211,103.0,0.019,107.0
8729,0.75,4.09,3.278,7.758,1.912,1.38,0.464,167.0,0.031,201.0,2.729,343.0,0.085,95.0,0.781,185.0,0.104,168.0
8728,0.75,4.101,3.375,8.135,1.804,1.7,0.571,117.0,0.059,226.0,2.691,302.0,0.103,25.0,0.645,162.0,0.083,148.0
8727,0.75,4.095,3.544,8.789,1.636,1.45,0.696,69.0,0.071,71.0,2.776,311.0,0.11,14.0,0.674,184.0,0.1,167.0
8726,0.75,4.102,3.583,8.949,1.6,1.79,0.838,112.0,0.004,100.0,2.466,272.0,0.093,326.0,0.678,156.0,0.088,140.0
8725,0.75,4.037,3.818,9.819,1.409,2.1,0.191,121.0,0.029,93.0,1.38,236.0,0.045,262.0,0.542,134.0,0.054,125.0
8724,0.75,4.033,4.169,11.315,1.182,2.07,0.118,168.0,0.034,210.0,0.673,236.0,0.017,234.0,0.392,137.0,0.045,127.0
8723,0.75,4.002,4.538,12.938,0.998,2.41,0.045,100.0,0.038,3.0,0.218,219.0,0.007,191.0,0.207,116.0,0.019,108.0
