reuse_step,step_factor,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number
1,1.0,80,0.0022262818870423477,-0.0008547876947278029,0.0008547876947278029,25896.93364395055
1,1.0,160,0.0011709228326909488,-0.0002761172684944006,0.0002761172684944006,46989.87264684428
1,1.0,320,0.0008387948058663713,-2.221382968883821e-05,2.221382968883821e-05,110243.89292736712
1,0.5,80,0.002263496431647285,-0.0008950167312101125,0.0008950167312101125,37924.78653044111
1,0.5,160,0.0012293531117145286,-0.000310890409939491,0.000310890409939491,47139.84014327658
1,0.5,320,0.0008944911073839876,-4.533665067565545e-05,4.533665067565545e-05,110542.42524436371
1,0.25,80,0.0023164586933569127,-0.000907400746285589,0.000907400746285589,29495.46213173404
1,0.25,160,0.0012989068936230792,-0.0002774676954565921,0.0002774676954565921,47161.563613998245
1,0.25,320,0.0009663671908469857,-1.5555635519248882e-05,1.5555635519248882e-05,110600.9241665116
1,0.125,80,0.002351644336816887,-0.0009120523294468385,0.0009120523294468385,26723.18629733057
1,0.125,160,0.00134431109573725,-0.0002643645506294013,0.0002643645506294013,47172.84826825974
1,0.125,320,0.001013612492190898,1.1834155427859015e-06,1.1834155427859015e-06,110630.1667441105
2,1.0,80,0.002278196464548347,-0.000815075674152986,0.000815075674152986,30896.14495696537
2,1.0,160,0.001224095965625573,-0.0002850430087323115,0.0002850430087323115,46943.26435720983
2,1.0,320,0.0009048788000213276,-6.513944308272542e-05,6.513944308272542e-05,110126.63916422133
2,0.5,80,0.0022261126212826587,-0.0008674976350220306,0.0008674976350220306,25896.06675439278
2,0.5,160,0.00117243659673142,-0.00028911900638548346,0.00028911900638548346,46989.82102515372
2,0.5,320,0.0008410999857056496,-3.534205404168209e-05,3.534205404168209e-05,110243.7483862696
2,0.25,80,0.002233487995470877,-0.0008837728882240371,0.0008837728882240371,26011.877325699348
2,0.25,160,0.0011861485621346155,-0.0002558055879459602,0.0002558055879459602,47011.20716081891
2,0.25,320,0.0008525075870065302,-9.265183229767503e-06,9.265183229767503e-06,110302.29324196976
2,0.125,80,0.002245618651452039,-0.0008898052263477502,0.0008898052263477502,44745.37988091148
2,0.125,160,0.0012051135242899464,-0.00031526215156481264,0.00031526215156481264,47127.99706076556
2,0.125,320,0.0008705251350538692,-6.606019561600372e-05,6.606019561600372e-05,110513.30290841829
3,1.0,80,0.002418280247415532,-0.0007563151732355969,0.0007563151732355969,25857.326948078535
3,1.0,160,0.0013830036311839895,-0.00023075592481958197,0.00023075592481958197,46792.56395505756
3,1.0,320,0.0010856671002140738,-2.0004110051430368e-05,2.0004110051430368e-05,109827.37659209842
3,0.5,80,0.0022781989756651194,-0.0008273355549672335,0.0008273355549672335,30953.470008501325
3,0.5,160,0.0012257934145171623,-0.0002976962112771216,0.0002976962112771216,46943.2220022019
3,0.5,320,0.0009073451683485527,-7.780998676479046e-05,7.780998676479046e-05,110126.49800619693
3,0.25,80,0.002241077587069021,-0.0008506616540179229,0.0008506616540179229,25774.82049749806
3,0.25,160,0.0011857080136344596,-0.00029165845406767553,0.00029165845406767553,46966.074812117324
3,0.25,320,0.000859947418516958,-6.078391526339423e-05,6.078391526339423e-05,110185.1453239812
3,0.125,80,0.0022307904218011156,-0.0008596806313791434,0.0008596806313791434,25836.044974324668
3,0.125,160,0.001175738739780675,-0.00029106957584476345,0.00029106957584476345,46977.95220286891
3,0.125,320,0.0008469039110231717,-4.713675392755333e-05,4.713675392755333e-05,110214.39006372662
