reuse_step,step_factor,source_curvature_energy,source_maximum_turning_angle_deg,normalized_objective,normalized_relative_decrease,maximum_root_relative_mismatch,maximum_condition_number,maximum_condition_number_ratio,maximum_displacement_ratio,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,dipole_coefficient,accepted,rejection_reason,outer_shape_dipole_coefficient
1,1.0,23.201770597093855,27.845407525808824,0.9371365002033225,0.06286349979667749,1.9671012845137204e-05,114977.41852161397,1.0003222278824209,0.2955643982318949,24.458291906913942,1.0541562681417715,30.992397548838323,2.9594859242784586,False,displacement_limit,
1,0.5,23.201770597093855,27.845407525808824,0.9542320780582622,0.045767921941737844,5.066590988784625e-06,114959.10964997388,1.0001629377234964,0.14779768151211797,23.768600049051116,1.0244304394608685,29.422251971982597,2.95717755500286,True,,2.954779875907865
1,0.25,23.201770597093855,27.845407525808824,0.9735210263740512,0.026478973625948754,1.466431992282161e-06,114949.73615092812,1.000081386758367,0.07394495469971793,23.471690699018218,1.0116335992891066,28.634217446836473,2.9559906824050217,True,,
1,0.125,23.201770597093855,27.845407525808824,0.9859218452189815,0.014078154781018482,1.410211788000656e-06,114945.1988901188,1.0000419118519062,0.037500271227206616,23.3325902942967,1.0056383497395338,28.24130484540954,2.9553881724577176,True,,
2,1.0,23.768600049051116,29.422251971982597,1.0033313131133341,-0.0033313131133341223,1.8832819295410786e-05,114995.0435775514,1.000312580077804,0.29523524451734273,25.698035446208216,1.081175811498167,32.51437341197228,2.961722353954012,False,insufficient_objective_decrease,
2,0.5,23.768600049051116,29.422251971982597,0.9877819775991232,0.012218022400876771,4.57534233492055e-06,114977.26980217603,1.0001579705350765,0.14763638949486127,24.6800537734735,1.038346967113815,30.986756037552322,2.9594951258160136,False,violating_grid_not_improved,
2,0.25,23.768600049051116,29.422251971982597,0.9901598689661621,0.009840131033837851,1.556153488996811e-06,114968.41134311126,1.000080913057059,0.07384175972512155,24.21014919851454,1.018576994377128,30.20702935771675,2.958346174896408,True,,2.95717755500286
2,0.125,23.768600049051116,29.422251971982597,0.9941753217903665,0.005824678209633505,1.5272710487924923e-06,114963.77168570476,1.0000405538595964,0.037230138240934914,23.984108870513733,1.0090669547646,29.81528422448345,2.9577649401428583,True,,
3,1.0,24.21014919851454,30.20702935771675,1.0380498953589166,-0.03804989535891656,1.8512092143864053e-05,115003.63878924832,1.0003064097839918,0.2948781008406539,26.478819256370546,1.0937073968133664,33.26872074792416,2.962810608364679,False,insufficient_objective_decrease,
3,0.5,24.21014919851454,30.20702935771675,1.0057592659434673,-0.005759265943467318,4.458672016489892e-06,114986.22498622343,1.0001549438045854,0.14742956619331318,25.30064078707268,1.0450427454872955,31.763995601546544,2.9606220517706334,False,insufficient_objective_decrease,
3,0.25,24.21014919851454,30.20702935771675,0.9991934356498798,0.0008065643501201647,1.5081562897397824e-06,114977.22093663468,1.0000766262086165,0.07369729738279945,24.74347110911237,1.022028856832925,30.98904240234854,2.9594967715111804,False,violating_grid_not_improved,
3,0.125,24.21014919851454,30.20702935771675,0.9986544432594346,0.0013455567405653568,1.5994877718927605e-06,114972.73441944495,1.000037602296419,0.036844803037876156,24.472682703924203,1.0108439441350396,30.598134303351266,2.9589227945751135,False,violating_grid_not_improved,
