axis,level,omega,component,real,imag
inner_free_surface,0,16.734,A33,0.20042440177661353,0.0
inner_free_surface,0,16.734,A35,0.00845682807646523,0.0
inner_free_surface,0,16.734,A53,0.016450769930021168,0.0
inner_free_surface,0,16.734,A55,0.012783566289652973,0.0
inner_free_surface,0,16.734,B33,0.28362853294596363,0.0
inner_free_surface,0,16.734,B35,-0.14410757717992,0.0
inner_free_surface,0,16.734,B53,0.1729116941569401,0.0
inner_free_surface,0,16.734,B55,0.005240246384155543,0.0
inner_free_surface,0,16.734,F3,0.07519852364998712,-0.3322833983437867
inner_free_surface,0,16.734,F5,0.13663467576971486,0.008831139412292296
inner_free_surface,0,5.601,A33,0.32412394553065066,0.0
inner_free_surface,0,5.601,A35,0.058615708568433886,0.0
inner_free_surface,0,5.601,A53,-0.018269798279151477,0.0
inner_free_surface,0,5.601,A55,0.03380021266576631,0.0
inner_free_surface,0,5.601,B33,0.23371775081504598,0.0
inner_free_surface,0,5.601,B35,-0.20124708804557606,0.0
inner_free_surface,0,5.601,B53,0.23370088068296996,0.0
inner_free_surface,0,5.601,B55,0.03365141635504073,0.0
inner_free_surface,0,5.601,F3,-0.041642492101295336,-0.702915795312336
inner_free_surface,0,5.601,F5,0.040961856430832784,-0.06332117813556812
inner_free_surface,1,16.734,A33,0.19441539654697076,0.0
inner_free_surface,1,16.734,A35,0.009218291597948814,0.0
inner_free_surface,1,16.734,A53,0.015074179284058853,0.0
inner_free_surface,1,16.734,A55,0.012202446857849561,0.0
inner_free_surface,1,16.734,B33,0.35073561896825095,0.0
inner_free_surface,1,16.734,B35,-0.12913492525821182,0.0
inner_free_surface,1,16.734,B53,0.16143623112077854,0.0
inner_free_surface,1,16.734,B55,0.005271122425735505,0.0
inner_free_surface,1,16.734,F3,0.06070389333905614,-0.3361801440212274
inner_free_surface,1,16.734,F5,0.13567111617653302,0.008287224187841398
inner_free_surface,1,5.601,A33,0.32245992718049643,0.0
inner_free_surface,1,5.601,A35,0.05813358904219372,0.0
inner_free_surface,1,5.601,A53,-0.019456593755433703,0.0
inner_free_surface,1,5.601,A55,0.033593699573903575,0.0
inner_free_surface,1,5.601,B33,0.23303950912435833,0.0
inner_free_surface,1,5.601,B35,-0.2028802763024494,0.0
inner_free_surface,1,5.601,B53,0.23228960401664578,0.0
inner_free_surface,1,5.601,B55,0.03448015314866866,0.0
inner_free_surface,1,5.601,F3,-0.044681987124574454,-0.7032811360333538
inner_free_surface,1,5.601,F5,0.04062047383531845,-0.06274531394430195
