outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,k_contribution_weak_projection_error,s_nu_endpoint_jump_to_next
0,4.397804134199287,0.4919506681293945,0.0166711616056547,0.00833558080282735,0.0005226823996287493,-0.0462736649308312,3.569715923290922e-05,0.01664483872624305,0.01664483872624305,-0.2319592368694142,0.139411907007751,0.00022729955102035283,-0.16802865864398162,0.011550750556885916,0.0001468517771621606,6.81370185537569e-05,-0.2728576896323503
1,4.381254301021995,0.4846039842702216,0.0195621117999788,0.026452217505644096,0.0016586856811059859,0.0365737384098767,2.6167030779941945e-05,0.012201139156060397,0.02884597788230345,-0.1334457826245993,0.2065932594443522,0.0002146586558392586,0.011550750556885916,0.08004834408422347,4.868211286839647e-05,0.0001218656719845398,-0.2234333488037289
2,4.362435952321786,0.4748819558641206,0.0228160950991046,0.04764132095518579,0.00298734791820309,0.0441701191104226,4.451418835587317e-05,0.020756034993676762,0.049602012875980206,-0.0168400893593767,0.1051803275802223,7.28232244113621e-05,0.08004834408422347,0.004080720412403987,5.1344158395794e-05,7.463233343179078e-05,-0.28132338934424594
3,4.341317312818383,0.4622247012349973,0.0264569102544332,0.0722778236319547,0.004532179243356329,0.0187221170140283,9.273614418382148e-06,0.004324092440975824,0.05392610531695603,-0.1761430617640236,0.213587295792081,0.0003441514083076125,0.004080720412403987,-0.05604162161045416,2.582746016758436e-05,0.000499037485855053,-0.7838424225396432
4,4.319443733422759,0.4442515743417463,0.0304912641809163,0.10075191084962945,0.006317646217550184,0.1226961855628228,0.00045902628341328895,0.2140343551897325,0.26796046050668854,-0.5702551267475622,0.8156474978732078,0.005339473489646641,-0.05604162161045416,0.09875009989452205,7.478622704079096e-05,0.004164284279334636,-1.2723240770898832
5,4.303845877174297,0.416644039846465,0.0349729571864581,0.13348402153331665,0.008370112453767389,0.018431794193475,1.1881399018578514e-05,0.005540047856919191,0.27350050836360773,-0.4566765792166753,0.4935401676036255,0.0026433395682340893,0.09875009989452205,0.1844261625831312,0.0007225027512231306,0.0027087732611439153,-0.2507685572675618
6,4.303740214865512,0.3804710986911662,0.0398818996239733,0.17091144993853236,0.01071699847809048,0.0318462642972017,4.044760641081042e-05,0.01885987288730332,0.29236038125091107,0.2427716103360637,-0.1790790817416603,0.0006318895521428625,0.1844261625831312,-0.007316881243594215,0.0004349403234208851,0.0003042311254556025,0.47838319593351375
7,4.320954246074164,0.3422399600751732,0.0452292441080584,0.21346702180454818,0.01338544461839521,-0.0760312614006974,0.00026145907545710467,0.1219128983374134,0.41427327958832444,0.2993041141918535,-0.4513666369932489,0.002385373784904892,-0.007316881243594215,-0.08958757928441076,0.0001316920722243275,0.001718281095279765,0.7231431737779666
8,4.352782211283275,0.3067522632114032,0.0510251339832695,0.26159421085021217,0.016403258883868073,-0.0298307247043578,4.5405844987134276e-05,0.02117179583138633,0.4354450754197108,0.2717765367847176,-0.3314379861934338,0.001592605948614655,-0.08958757928441076,0.021712563237115227,0.00011144218856916993,0.002171687510593975,0.6307923638409978
9,4.396935789587522,0.2757935285763903,0.0572921936205763,0.3157528746521351,0.019799276633114052,0.0535111322679493,0.00016405283204000076,0.0764944043326529,0.5119394797523636,0.299354377647564,-0.1923321131116666,0.0013182785771815647,0.021712563237115227,0.05574638617088779,9.14668325870419e-05,0.0013320617255303715,0.42169273925881245
10,4.451041523274143,0.2485967756124467,0.0640045901879785,0.3764012665564125,0.02360223263150114,0.0413653958277575,0.00010951799645933235,0.051065951124937246,0.5630054308773009,0.2293606261471459,-0.1466298344916308,0.0008635391468705744,0.05574638617088779,0.004999951635078294,7.278150384379188e-05,0.0005719536860019884,0.2723109369666159
11,4.51381000367042,0.2236362623469999,0.0711693741179227,0.44398824870936304,0.027840272769434564,-0.0191422411052917,2.607826598983499e-05,0.01215974999099381,0.5751651808682947,0.1256811024749851,-0.1639655846855681,0.000523642359012324,0.004999951635078294,-0.039196922686144206,3.2391923290837985e-05,0.00035760080343118645,0.2524671969957341
12,4.585043823511484,0.2003739515730492,0.0787683096283305,0.5189570905824896,0.032541192248775816,-0.02542267289194,5.090892712437621e-05,0.02373776793224798,0.5989029488005427,0.088501612310166,-0.1393469580940463,0.0003916801365285312,-0.039196922686144206,-0.00037504992379055313,4.072952314501747e-05,0.0004692910343819245,0.2504081935164903
13,4.665053893735953,0.1792803813542541,0.0867857336930985,0.6017341122432041,0.03773172345939856,0.0188291168794312,3.076863585118274e-05,0.014346771355892537,0.6132497201564352,0.111061235422444,-0.0734030016635818,0.00027685721194164163,-0.00037504992379055313,0.013104220284283721,4.82952526061212e-06,0.00029685065044882407,0.1482428247769642
14,4.753963794044381,0.1599747440494654,0.0952017147061279,0.6927278364428173,0.04343748281088589,-0.0011344933256014,1.225317570309797e-07,5.713399549014029e-05,0.6133068541519253,0.0748398231133824,-0.0771088097645851,0.00018329370137255968,0.013104220284283721,-0.009772156784187466,4.416062988671535e-06,0.0001329155765462135,0.1440725538995016
15,4.851896474593084,0.1419213445387881,0.1039873170117177,0.7923223523017402,0.049682554602565765,0.0038838428366144,1.5685691454921536e-06,0.0007313909851293786,0.6140382451370547,0.0669637441349165,-0.0591960584616877,0.00013949297715326324,-0.009772156784187466,0.027500346103008735,2.020911669012362e-05,0.0002340386509929244,0.13862922021776408
16,4.959172801668672,0.1254165151327568,0.1131121699784932,0.9008720957968456,0.05648916373409289,0.0262121496530399,7.771674659466357e-05,0.03623769345219829,0.650275938589253,0.0794331617560764,-0.0270088624499967,0.0001845125870593931,0.027500346103008735,-0.012002746060310217,2.1500937309393967e-05,8.079568347636521e-05,0.0386881583438803
17,5.07592973107243,0.1095776290139869,0.1225423418723563,1.0186993517222702,0.06387751906595918,-0.0337237418202032,0.00013936627340886763,0.06498357837476149,0.7152595169640145,0.0116792958938836,-0.0791267795342897,0.00022357066496790634,-0.012002746060310217,-0.011528997965548033,1.6966532218387864e-05,0.0001441688465843051,0.13247077259803192
18,5.202428239319069,0.0946357740126862,0.1322350253311759,1.1460880353240364,0.07186542349703783,0.0145125201956238,2.785044744759906e-05,0.012986081138681533,0.728245598102696,0.0533439930637422,-0.0243189526724945,9.431544224847767e-05,-0.011528997965548033,0.002087327956685589,4.990106089460556e-06,0.00014073078257554808,0.0447246401687134
19,5.338926262024075,0.080854080124152,0.1421514801916008,1.2832812880854247,0.08046812320836125,-0.0132048020645,2.4786498369796138e-05,0.011557425767740005,0.739803023870436,0.0204056874962189,-0.0468152916252189,7.831434939663732e-05,0.002087327956685589,0.0010405243926500094,3.606641135510914e-07,8.287911668058962e-05,0.0971213424405167
20,5.485557877235388,0.0680390233282738,0.1522415751770023,1.4304778157697262,0.0896980780401774,0.0211211321550046,6.791530519699908e-05,0.031667486330550186,0.7714705102009862,0.0503060508152978,-0.0080637865052886,0.00011113970669102417,0.0010405243926500094,0.018203377652462174,1.783188861260637e-05,9.25116401320325e-05,0.0359879247051252
21,5.642463938065914,0.0562317348954755,0.1624594563370703,1.5878283315267625,0.09956473845702714,0.0025323200142778,1.041794764287318e-06,0.00048576710892503133,0.7719562773099112,0.0279241381998366,-0.022859498171281,3.59567379972874e-05,0.018203377652462174,-0.006481187802026064,1.3830132582874909e-05,1.1021932004717863e-05,0.0378864806345584
22,5.809675397542929,0.0447521289069106,0.172752493326845,1.7554343063587203,0.11007446719573347,-0.0072497434802741,9.079660382737381e-06,0.004233655730801001,0.7761899330407123,0.0150269824632774,-0.0295264694238258,3.765594702814632e-05,-0.006481187802026064,-0.008173453403552137,9.316243815314211e-06,2.64477374322926e-05,0.0426694499067066
23,5.987247638005378,0.0338005553806551,0.1830691112971624,1.933345108670724,0.12123035990098714,-0.0064631706912378,7.647268252156389e-06,0.0035657612395138504,0.7797556942802261,0.0131429804828808,-0.0260693218653566,3.11045947354512e-05,-0.008173453403552137,-0.0034397383654283594,6.51431183965362e-06,2.9541641736816065e-05,0.04495255372885559
24,6.175181622673577,0.0235915738376889,0.1933556038243207,2.1215574662314656,0.13303221138760035,0.0015913729848704,4.896668748538202e-07,0.00022832142211505154,0.7799840157023411,0.018883231863499,-0.0157004858937581,1.9761315720187528e-05,-0.0034397383654283594,0.006276471682782975,1.9101262606419117e-06,3.162722087673275e-05,0.0397294410711382
25,6.373414536703973,0.0141856792324752,0.2035582654978437,2.320014400892548,0.14547644884210817,0.0087429763195472,1.555991950045104e-05,0.0072552650195079615,0.787239280721849,0.0240289551773801,-0.0065430025382854,3.141447227891157e-05,0.006276471682782975,0.008415196640368244,1.1061856540809572e-05,1.854776835502943e-05,0.024965454470440497
26,6.581817973443833,0.0053551246544418,0.2136233882647901,2.528605227773865,0.1585561317716877,0.0048927427622589,5.113915709233504e-06,0.002384511935093146,0.7896237926569422,0.0184224519321551,-0.0086369664076373,1.814871855861849e-05,0.008415196640368244,-0.00021325321394298898,4.918069239516967e-06,6.181253551648915e-06,0.0163821039476671
27,6.800210489011728,-0.0032125875264313,0.2234979599375736,2.7471659018750465,0.17226097373842075,-0.0042750886210293,4.084734252434041e-06,0.0019046261476360232,0.7915284188045782,0.0077451375400298,-0.0162953147820886,1.4848830852802917e-05,-0.00021325321394298898,-0.006916492395387229,3.677160397805326e-06,5.7109658454530785e-06,0.0210194908702177
28,7.028372546680137,-0.0115348819292515,0.2331301415216801,2.9754799526046734,0.18657740095892633,-0.0059858776872314,8.353223548897864e-06,0.003894933428973849,0.7954233522335521,0.0047241760881291,-0.016695931462592,1.7266974082895653e-05,-0.006916492395387229,-0.0037676583526658793,6.845641002831519e-06,1.1823713221008257e-05,0.0264309020744227
