iteration,step_scale,objective,relative_decrease,weak_projected_integral_at_source,unresolved_integral_at_source
1,0.1,0.0021009165454691494,0.10884525987108688,0.0020074752648339897,0.0003500463314324836
2,0.1,0.0018763835338960343,0.10687383659162689,0.0017514030094675764,0.00034951353600157307
3,0.05,0.0017797677346336354,0.051490432268817866,0.0015274586954202628,0.0003489248384757715
4,0.05,0.0016994240038436228,0.04514281792312147,0.0014311648943168922,0.0003486028403167432
5,0.05,0.0016381917533224756,0.036031179024573624,0.0013511559839274718,0.0003482680199161511
6,0.05,0.0015991730584739056,0.023818148742010683,0.0012902710105391357,0.00034792074278333987
7,0.05,0.0015853681581963956,0.008632524293952273,0.0012516116074850047,0.0003475614509889009
