case,omega,component,absolute_difference,tolerance,passed
fn167,16.734,A33,8.326672684688674e-17,2.067606231840667e-09,True
fn167,16.734,A35,1.0234868508263162e-16,2.12785665287668e-10,True
fn167,16.734,A53,7.979727989493313e-17,2.2026915143262398e-10,True
fn167,16.734,A55,5.0306980803327406e-17,2.14348983108288e-10,True
fn167,16.734,B33,1.1102230246251565e-16,4.399592011906384e-09,True
fn167,16.734,B35,0.0,1.372903350287068e-09,True
fn167,16.734,B53,5.551115123125783e-17,1.620940881634432e-09,True
fn167,16.734,B55,9.280770596475918e-17,1.6633186476669998e-10,True
fn167,16.734,F3,1.7785780651003303e-16,3.6382453818943524e-09,True
fn167,16.734,F5,8.530625057709753e-17,1.4299389694769047e-09,True
fn167,13.7884,A33,5.551115123125783e-17,2.204892618946539e-09,True
fn167,13.7884,A35,1.5612511283791264e-17,2.55814939364538e-10,True
fn167,13.7884,A53,7.979727989493313e-17,1.8068151802682702e-10,True
fn167,13.7884,A55,7.45931094670027e-17,2.21769325365458e-10,True
fn167,13.7884,B33,0.0,5.0235905124649825e-09,True
fn167,13.7884,B35,4.163336342344337e-17,1.190755709735795e-09,True
fn167,13.7884,B53,2.7755575615628914e-17,1.5376086815298651e-09,True
fn167,13.7884,B55,9.280770596475918e-17,1.4034365908620502e-10,True
fn167,13.7884,F3,4.163336342344337e-17,5.126856196166445e-09,True
fn167,13.7884,F5,6.938893903907228e-17,1.3791052614615e-09,True
fn167,11.1048,A33,5.551115123125783e-17,2.4667101556218442e-09,True
fn167,11.1048,A35,2.42861286636753e-17,3.4426698235229903e-10,True
fn167,11.1048,A53,3.686287386450715e-18,1.10725590737603e-10,True
fn167,11.1048,A55,9.367506770274758e-17,2.31586470836267e-10,True
fn167,11.1048,B33,5.551115123125783e-17,4.902632026163408e-09,True
fn167,11.1048,B35,6.938893903907228e-17,1.236021761823788e-09,True
fn167,11.1048,B53,1.1102230246251565e-16,1.628992284372193e-09,True
fn167,11.1048,B55,2.7755575615628914e-17,1.6820292537737e-10,True
fn167,11.1048,F3,1.498303070619016e-16,6.1908509190098705e-09,True
fn167,11.1048,F5,1.1210126175528405e-16,1.2338289517824267e-09,True
fn167,9.86,A33,5.551115123125783e-17,2.6298344221058063e-09,True
fn167,9.86,A35,9.71445146547012e-17,4.01300900741499e-10,True
fn167,9.86,A53,1.0408340855860843e-17,1.32006913613868e-10,True
fn167,9.86,A55,6.765421556309548e-17,2.42142553909493e-10,True
fn167,9.86,B33,0.0,4.551591974713167e-09,True
