component,sigma,omega_rad_s,motion_dof,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_matrix_is_zero,restoring_subtraction,restoring_matrices_sha256,target_identifier,beam_m,deadrise_deg,trim_deg,fn_b,mean_wetted_length_over_b,lcg_from_transom_m,rho_water_kg_m3,gravity_m_s2,matrix_coordinate_contract,response_calibration_used
bem,1.855694516,8.924499998413234,heave,A33,83.26052163425324,1.092299054366362,0.024797704383703028,False,external:begovic_fn282_sigma1p855694516_forced_motion_diagnostic_sub32_v2/savitsky_faltinsen_restoring_matrices.csv,a8315ea849fe6256d53a8730523ebdb40ef0a065ed84e72d93b6c09fbf0c795e,begovic2014_monohedral_fn282_sigma1p855694516_diagnostic,0.424,16.7,4.024,2.82,2.735849056604,0.6969999999999992,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.855694516,8.924499998413234,heave,A53,-7.356653638934665,-0.22762338789207318,0.03576206357310448,False,external:begovic_fn282_sigma1p855694516_forced_motion_diagnostic_sub32_v2/savitsky_faltinsen_restoring_matrices.csv,a8315ea849fe6256d53a8730523ebdb40ef0a065ed84e72d93b6c09fbf0c795e,begovic2014_monohedral_fn282_sigma1p855694516_diagnostic,0.424,16.7,4.024,2.82,2.735849056604,0.6969999999999992,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.855694516,8.924499998413234,heave,B33,770.7331255561264,2.1024663119709177,0.024797704383703028,False,external:begovic_fn282_sigma1p855694516_forced_motion_diagnostic_sub32_v2/savitsky_faltinsen_restoring_matrices.csv,a8315ea849fe6256d53a8730523ebdb40ef0a065ed84e72d93b6c09fbf0c795e,begovic2014_monohedral_fn282_sigma1p855694516_diagnostic,0.424,16.7,4.024,2.82,2.735849056604,0.6969999999999992,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.855694516,8.924499998413234,heave,B53,-38.09066719417914,-0.24506299899090553,0.03576206357310448,False,external:begovic_fn282_sigma1p855694516_forced_motion_diagnostic_sub32_v2/savitsky_faltinsen_restoring_matrices.csv,a8315ea849fe6256d53a8730523ebdb40ef0a065ed84e72d93b6c09fbf0c795e,begovic2014_monohedral_fn282_sigma1p855694516_diagnostic,0.424,16.7,4.024,2.82,2.735849056604,0.6969999999999992,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.855694516,8.924499998413234,heave,A33,-16.781376612685992,-0.2201557406224758,0.08725320178864594,False,external:begovic_fn282_sigma1p855694516_forced_motion_diagnostic_sub32_v2/savitsky_faltinsen_restoring_matrices.csv,a8315ea849fe6256d53a8730523ebdb40ef0a065ed84e72d93b6c09fbf0c795e,begovic2014_monohedral_fn282_sigma1p855694516_diagnostic,0.424,16.7,4.024,2.82,2.735849056604,0.6969999999999992,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.855694516,8.924499998413234,heave,A53,-12.185340223404028,-0.37702854591241003,0.0677749188204891,False,external:begovic_fn282_sigma1p855694516_forced_motion_diagnostic_sub32_v2/savitsky_faltinsen_restoring_matrices.csv,a8315ea849fe6256d53a8730523ebdb40ef0a065ed84e72d93b6c09fbf0c795e,begovic2014_monohedral_fn282_sigma1p855694516_diagnostic,0.424,16.7,4.024,2.82,2.735849056604,0.6969999999999992,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.855694516,8.924499998413234,heave,B33,112.6083114324698,0.30718179014800406,0.08725320178864594,False,external:begovic_fn282_sigma1p855694516_forced_motion_diagnostic_sub32_v2/savitsky_faltinsen_restoring_matrices.csv,a8315ea849fe6256d53a8730523ebdb40ef0a065ed84e72d93b6c09fbf0c795e,begovic2014_monohedral_fn282_sigma1p855694516_diagnostic,0.424,16.7,4.024,2.82,2.735849056604,0.6969999999999992,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.855694516,8.924499998413234,heave,B53,68.75848120198955,0.4423697679938338,0.0677749188204891,False,external:begovic_fn282_sigma1p855694516_forced_motion_diagnostic_sub32_v2/savitsky_faltinsen_restoring_matrices.csv,a8315ea849fe6256d53a8730523ebdb40ef0a065ed84e72d93b6c09fbf0c795e,begovic2014_monohedral_fn282_sigma1p855694516_diagnostic,0.424,16.7,4.024,2.82,2.735849056604,0.6969999999999992,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
longitudinal_bin_aft_post_chine,1.855694516,8.924499998413234,heave,A33,24.06561266495102,0.3157180070543634,0.009973294222134702,False,external:begovic_fn282_sigma1p855694516_forced_motion_diagnostic_sub32_v2/savitsky_faltinsen_restoring_matrices.csv,a8315ea849fe6256d53a8730523ebdb40ef0a065ed84e72d93b6c09fbf0c795e,begovic2014_monohedral_fn282_sigma1p855694516_diagnostic,0.424,16.7,4.024,2.82,2.735849056604,0.6969999999999992,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
longitudinal_bin_aft_post_chine,1.855694516,8.924499998413234,heave,A53,-13.388664724979657,-0.4142608003076095,0.010257793218681015,False,external:begovic_fn282_sigma1p855694516_forced_motion_diagnostic_sub32_v2/savitsky_faltinsen_restoring_matrices.csv,a8315ea849fe6256d53a8730523ebdb40ef0a065ed84e72d93b6c09fbf0c795e,begovic2014_monohedral_fn282_sigma1p855694516_diagnostic,0.424,16.7,4.024,2.82,2.735849056604,0.6969999999999992,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
