stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,80,0.023535776896590126,5.488063919239323e-06,5.488063919239323e-06,23871.563486678595,2.9522980170423123
source,160,0.026434726386288476,4.510243743755277e-08,4.510243743755277e-08,48775.43832079533,2.948185162553322
source,320,0.027662460782013565,1.320481975424362e-06,1.320481975424362e-06,114921.05140395575,2.945329198492767
candidate_factor_1,80,0.020124234539194423,2.060534959029925e-05,2.060534959029925e-05,23812.179314135512,2.9571670857375447
candidate_factor_1,160,0.02345268541998696,6.948475484230384e-07,6.948475484230384e-07,48786.00305004908,2.953058168833642
candidate_factor_1,320,0.02482462426483433,1.4487500635169571e-06,1.4487500635169571e-06,114959.2366307119,2.95020678282777
candidate_factor_0.5,80,0.021501841529521455,5.225924266795627e-06,5.225924266795627e-06,23937.801641693455,2.9547798759078585
candidate_factor_0.5,160,0.02458195261978514,6.607001359523609e-07,6.607001359523609e-07,48781.39003701443,2.9506719172134854
candidate_factor_0.5,320,0.025864574619662482,1.4162964257047752e-06,1.4162964257047752e-06,114940.38152569383,2.947821737877594
candidate_factor_0.25,80,0.022442203859569174,1.2833942234807742e-06,1.2833942234807742e-06,23856.468156195286,2.9535504823970298
candidate_factor_0.25,160,0.025425034806090242,6.38831922707442e-07,6.38831922707442e-07,48778.42800837607,2.949440637015262
candidate_factor_0.25,320,0.02667730417436985,1.3614444259515953e-06,1.3614444259515953e-06,114930.6463048281,2.9465885057200727
candidate_factor_0.125,80,0.02297208407569421,3.203008659676134e-07,3.203008659676134e-07,23863.99467456613,2.952926435176638
candidate_factor_0.125,160,0.025911456368973712,6.40706935892069e-07,6.40706935892069e-07,48776.93495366079,2.948815649815369
candidate_factor_0.125,320,0.027150943717646814,1.3487589521020106e-06,1.3487589521020106e-06,114925.78493493861,2.945961980208404
