component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.4,0.06273615010965632,0.5301961501096563,1.6672834909108687,False
front,1.4,0.5196175659507426,0.9870775659507426,3.1040175029897563,False
longitudinal_bin_aft_post_chine,1.4,-0.3406879043372924,0.12677209566270758,0.39865438887643895,False
longitudinal_bin_forward_post_chine,1.4,0.12208835366378593,0.5895483536637859,1.853925640452157,False
longitudinal_bin_middle_post_chine,1.4,-0.10945789254027892,0.35800210745972105,1.1257927907538399,False
longitudinal_bin_pre_chine,1.4,0.33764451860074113,0.8051045186007411,2.5317752157256006,False
post_chine_bem,1.4,-0.043252780077319246,0.42420721992268073,1.3339849683103167,False
pre_chine_bem,1.4,0.33764451860074113,0.8051045186007411,2.5317752157256006,False
raw_bem,1.4,0.06273615010965632,0.5301961501096563,1.6672834909108687,False
resolved_station_bem,1.4,0.0723693917843959,0.5398293917843959,1.6975767037245155,False
total,1.4,0.1654318907586002,0.6328918907586002,1.9902260715679252,False
transom,1.4,nan,nan,nan,False
transom_extrapolation,1.4,-0.436652327971467,0.030807672028532962,0.0968794717878395,False
