z_over_Vt,reference_cp,window_mean_cp,window_std_cp
-0.9816933638443935,7.663551401869159,6.649396645716551,1.239680758554143
-0.9725400457665904,7.632398753894081,6.652271738846357,1.2410892569785439
-0.9679633867276888,7.632398753894081,6.653709285411261,1.2417935070679051
-0.9633867276887872,7.632398753894081,6.655146831976164,1.2424977577407146
-0.9588100686498856,7.663551401869159,6.656584378541067,1.2432020089959808
-0.954233409610984,7.601246105919003,6.65802192510597,1.2439062608327143
-0.9359267734553776,7.632398753894081,6.663772111365584,1.2467232739746135
-0.931350114416476,7.632398753894081,6.665209657930487,1.2474275287039218
-0.9267734553775744,7.632398753894081,6.666647204495391,1.2481317840088093
-0.9221967963386728,7.632398753894081,6.668084751060293,1.2488360398883005
-0.9176201372997712,7.663551401869159,6.669522297625197,1.249540296341425
-0.9038901601830663,7.663551401869159,6.673834937319906,1.2516530691329144
-0.8993135011441648,7.632398753894081,6.67527248388481,1.252357327870899
-0.8947368421052632,7.632398753894081,6.676710030449714,1.2530615871776918
-0.8901601830663616,7.601246105919003,6.678147577014617,1.2537658470523336
-0.88558352402746,7.632398753894081,6.67958512357952,1.2544701074938687
-0.8810068649885583,7.663551401869159,6.681022670144423,1.2551743685013428
-0.8672768878718535,7.663551401869159,6.685335309839134,1.2572871549098863
-0.8627002288329519,7.632398753894081,6.686774620463918,1.2579940617109826
-0.8581235697940504,7.632398753894081,6.688571170700814,1.2590071985320814
-0.8535469107551488,7.632398753894081,6.690503475984115,1.2602170950158453
-0.8489702517162472,7.663551401869159,6.692435781267416,1.2614269918770333
-0.8443935926773456,7.663551401869159,6.694368086550716,1.2626368891145612
-0.8306636155606407,7.663551401869159,6.7001650024006185,1.2662665830743935
-0.8260869565217391,7.663551401869159,6.702097307683919,1.267476481806512
-0.8077803203661327,7.663551401869159,6.709826528817123,1.272316080434167
-0.7940503432494279,7.663551401869159,6.715623444667026,1.2759457832595844
-0.7894736842105263,7.663551401869159,6.717555749950327,1.2771556849300494
-0.7848970251716247,7.725856697819315,6.719488055233628,1.2783655869631199
-0.7803203661327232,7.694704049844237,6.7214203605169285,1.2795754893577678
-0.7757437070938216,7.694704049844237,6.7233526658002285,1.280785392112968
-0.7711670480549199,7.663551401869159,6.72528497108353,1.2819952952276998
-0.7574370709382151,7.663551401869159,6.731081886933431,1.285625006718933
