node,y_over_Vt,material_dphi_dt_over_V2,similarity_material_dphi_dt_over_V2,auxiliary_psi_over_V2,difference_over_V2,cp_from_auxiliary,cp_from_finite_difference,cp_from_similarity_derivative
59,0.37708629408694305,-2.011333499917209,-3.5555728593596783,-2.894382517394326,-0.8830490174771168,6.743860677514329,4.977762642560094,8.066241361445034
60,0.7541725881738861,-2.050333322592093,-3.637036961481415,-2.963945270520048,-0.9136119479279547,6.8027099725147,4.97548607665879,8.148893354437435
61,1.1312588822608292,-2.1051975587353806,-3.7547960600038195,-3.066223710469281,-0.9610261517339005,6.909668258537329,4.987615955069528,8.286812957606406
62,1.5083451763477722,-2.180170115500854,-3.9157199369818825,-3.2064967789530057,-1.0263266634521515,7.068987759567772,5.016334432663468,8.487434075625526
63,1.8854314704347155,-2.2792093258937607,-4.130582821633635,-3.3953493936719368,-1.116140067778176,7.293538704632154,5.061258569075802,8.764005560555551
64,2.2625177645216583,-2.4095533038180075,-4.4184794266442875,-3.651426124499514,-1.2418728206815066,7.605866601602575,5.122120960239561,9.13997320589212
65,2.6396040586086014,-2.584275960663608,-4.813643731911251,-4.008284267966034,-1.424008307302426,8.045676868726401,5.1976602541215495,9.656395796616835
66,3.0166903526955444,-2.8292928785297184,-5.382747782162186,-4.531363080316886,-1.7020702017871678,8.6871616478363,5.283021244261963,10.389931051526899
67,3.393776646782488,-3.2074201886807057,-6.27720090759537,-5.366535089410741,-2.159114900730035,9.68174053716867,5.3635107357086,11.503072173537928
68,3.770862940869431,-3.9441096596164047,-7.952662700860557,-6.916379319314522,-2.9722696596981177,11.353998767857597,5.409459448461361,13.426565530949667
