lambda,thickness,s_lambda,s_tau,subiterations,body_xi,body_eta,free_xi,free_eta
0.0,0.011053495738185986,2.037119619863128,-2.226784714351883,0,2.2908492952945783,0.3226224573111889,2.2963760431636713,0.3130498492012968
0.009156666303422531,0.010118870842313755,2.2061181688005336,-2.2175804728574295,148,2.298779200927319,0.3272007904629001,2.303838636348476,0.3184375912558428
0.018313332606845062,0.010025309636681775,2.20830805356023,-2.2084233285705115,118,2.30670910656006,0.3317791236146114,2.311721761378401,0.3230969507884401
0.027469998910267593,0.009983324647073837,2.1992434477952285,-2.199266566013167,102,2.3146390121928007,0.33635745676632267,2.3196306745163375,0.32771164400772945
0.036626665213690124,0.00994175723724721,2.1900872390622137,-2.1901098053609607,102,2.3225689178255418,0.3409357899180339,2.3275397964441655,0.33232597559232
0.045783331517112655,0.00990019189998433,2.1809305750090258,-2.1809530447181626,102,2.3304988234582824,0.3455141230697452,2.335448919408275,0.33694030538201786
0.054939997820535186,0.009858626569915832,2.171773908713381,-2.171796284075397,102,2.3384287290910235,0.35009245622145646,2.3433580423759817,0.3415546351654851
0.06409666412395772,0.009817061236855416,2.1626172424067374,-2.162639523432618,102,2.346358634723764,0.35467078937316776,2.351267165342192,0.3461689649515435
0.07325333042738025,0.009775495900739048,2.153460576100039,-2.1534827627898254,102,2.3542885403565053,0.359249122524879,2.359176288306875,0.3507832947402484
0.08240999673080278,0.009733930561552214,2.1443039097933383,-2.1443260021470185,102,2.362218445989246,0.36382745567659025,2.367085411270022,0.35539762453161233
0.09156666303422531,0.009692365303683233,2.1351472435763568,-2.1351692415045807,101,2.370148351621987,0.36840578882830155,2.374994534273829,0.360011954252553
0.10072332933764784,0.009650800042775489,2.125990577269717,-2.126012480862129,101,2.3780782572547277,0.3729841219800128,2.3829036572761155,0.3646262839761253
0.10987999564107037,0.009609234778405931,2.1168339109626464,-2.116855720219662,101,2.3860081628874688,0.37756245513172404,2.3908127802766717,0.36924061370269556
0.1190366619444929,0.009567669510556202,2.1076772446555716,-2.1076989595771787,101,2.3939380685202094,0.38214078828343534,2.3987219032754874,0.3738549434322799
0.12819332824791543,0.009526104239209745,2.0985205783484955,-2.09854219893468,101,2.4018679741529505,0.3867191214351466,2.406631026272555,0.3784692731648923
0.13734999455133795,0.009484538964349865,2.089363912041418,-2.0893854382921653,101,2.409797879785691,0.39129745458685783,2.414540149267866,0.3830836029005475
0.1465066608547605,0.009442973685959723,2.0802072457343392,-2.0802286776496346,101,2.417727785418432,0.39587578773856913,2.4224492722614115,0.38769793263926006
0.15566332715818304,0.00940140840402233,2.0710505794272587,-2.0710719170070875,101,2.425657691051173,0.4004541208902804,2.430358395253184,0.39231226238104455
0.16481999346160559,0.009359843118520545,2.0618939131201763,-2.0619151563645244,101,2.433587596683914,0.4050324540419917,2.4382675182431743,0.3969265921259159
0.17397665976502813,0.009318277829437071,2.052737246813093,-2.052758395721945,101,2.4415175023166547,0.4096107871937029,2.4461766412313732,0.4015409218738891
0.18313332606845067,0.009276712536754467,2.043580580506008,-2.0436016350793493,101,2.4494474079493953,0.4141891203454142,2.4540857642177727,0.4061552516249793
0.19228999237187322,0.009235147240455125,2.0344239141989213,-2.0344448744367374,101,2.4573773135821364,0.41876745349712546,2.461994887202364,0.41076958137920155
0.20144665867529576,0.009193581940521278,2.025267247891833,-2.0252881137941086,101,2.4653072192148775,0.42334578664883676,2.469904010185138,0.4153839111365715
0.2106033249787183,0.009152016636935009,2.0161105815847433,-2.0161313531514633,101,2.473237124847618,0.427924119800548,2.4778131331660855,0.41999824089710447
0.21975999128214085,0.00911045132967822,2.006953915277653,-2.0069745925088016,101,2.481167030480359,0.4325024529522593,2.485722256145198,0.42461257066081626
0.2289166575855634,0.00906888601873267,1.9977972489705602,-1.997817831866123,101,2.4890969361131,0.43708078610397055,2.4936313791224665,0.42922690042772255
0.23807332388898594,0.009027320704079932,1.988640582663466,-1.9886610712234276,101,2.497026841745841,0.44165911925568185,2.501540502097881,0.43384123019783943
0.2472299901924085,0.008985755385701417,1.9794839163563707,-1.9795043105807153,101,2.5049567473785816,0.4462374524073931,2.5094496250714324,0.43845555997118285
0.25638665649583103,0.008944190063578359,1.9703272500492737,-1.9703475499379859,101,2.5128866530113223,0.4508157855591044,2.5173587480431117,0.4430698897477692
0.2655433227992536,0.008902624737691824,1.9611705837421751,-1.9611907892952394,101,2.5208165586440634,0.45539411871081564,2.5252678710129093,0.4476842195276148
0.2746999891026761,0.00886105940802269,1.952013917435075,-1.9520340286524758,101,2.5287464642768045,0.4599724518625269,2.533176993980816,0.45229854931073615
0.28385665540609867,0.008819494074551666,1.9428572511279736,-1.9428772680096948,101,2.536676369909545,0.4645507850142382,2.541086116946821,0.4569128790971501
0.2930133217095212,0.008777928737259275,1.9337005848208701,-1.9337205073668966,101,2.544606275542286,0.4691291181659495,2.5489952399109153,0.4615272088868735
0.30216998801294376,0.008736363396125848,1.9245439185137656,-1.924563746724081,101,2.552536181175027,0.47370745131766073,2.5569043628730896,0.46614153867992325
0.3113266543163663,0.008694798051131544,1.91538725220666,-1.915406986081248,101,2.560466086807768,0.478285784469372,2.5648134858333336,0.4707558684763166
0.32048332061978885,0.008653232702256312,1.906230585899552,-1.906250225438397,101,2.5683959924405086,0.4828641176210833,2.572722608791637,0.4753701982760711
0.3296399869232114,0.008611667349479931,1.8970739195924433,-1.8970934647955287,101,2.5763258980732493,0.4874424507727946,2.580631731747989,0.47998452807920394
0.33879665322663394,0.008570101992781963,1.8879172532853328,-1.8879367041526425,101,2.5842558037059904,0.4920207839245058,2.5885408547023814,0.48459885788573304
0.3479533195300565,0.008528536632141783,1.8787605869782207,-1.8787799435097383,101,2.5921857093387315,0.49659911707621707,2.5964499776548022,0.4892131876956761
0.357109985833479,0.008486971267538558,1.8696039206711073,-1.8696231828668162,101,2.600115614971472,0.5011774502279284,2.6043591006052416,0.49382751750905135
0.36626665213690157,0.008445405898951258,1.860447254363992,-1.8604664222238758,101,2.608045520604213,0.5057557833796397,2.6122682235536883,0.49844184732587693
0.3754233184403241,0.008403840526358642,1.8512905880568755,-1.8513096615809175,101,2.615975426236954,0.5103341165313509,2.6201773465001335,0.5030561771461711
0.38457998474374666,0.008362275149739258,1.8421339217497572,-1.8421529009379407,101,2.6239053318696945,0.5149124496830622,2.6280864694445643,0.5076705069699526
0.3937366510471692,0.008320709769071436,1.8329772554426378,-1.8329961402949457,101,2.6318352375024356,0.5194907828347735,2.6359955923869713,0.5122848367972402
0.40289331735059175,0.008279144384333293,1.8238205891355164,-1.823839379651932,101,2.6397651431351763,0.5240691159864848,2.643904715327343,0.5168991666280529
0.4120499836540143,0.008237578995502731,1.8146639228283938,-1.8146826190089,101,2.6476950487679174,0.5286474491381961,2.6518138382656686,0.5215134964624096
0.42120664995743684,0.00819601360255742,1.80550725652127,-1.8055258583658493,101,2.655624954400658,0.5332257822899072,2.6597229612019366,0.5261278263003297
0.4303633162608594,0.008154448205474809,1.7963505902141446,-1.7963690977227798,101,2.663554860033399,0.5378041154416185,2.6676320841361365,0.530742156141833
0.43951998256428193,0.008112882804232115,1.7871939239070174,-1.7872123370796913,101,2.67148476566614,0.5423824485933298,2.675541207068256,0.5353564859869389
0.4486766488677045,0.008071317398806316,1.7780372575998886,-1.7780555764365837,101,2.679414671298881,0.546960781745041,2.683450329998284,0.5399708158356674
0.457833315171127,0.008029751989174157,1.7688805912927585,-1.768898815793457,101,2.6873445769316215,0.5515391148967523,2.691359452926209,0.5445851456880388
0.46698998147454956,0.007988186575312145,1.7597239249856267,-1.7597420551503113,101,2.6952744825643626,0.5561174480484636,2.6992685758520185,0.5491994755440736
0.4761466477779721,0.007946621157196531,1.7505672586784937,-1.7505852945071463,101,2.7032043881971033,0.5606957812001749,2.7071776987757015,0.5538138054037919
0.48530331408139465,0.007905055734803334,1.7414105923713588,-1.741428533863962,101,2.7111342938298444,0.5652741143518862,2.715086821697246,0.5584281352672147
0.4944599803848172,0.0078634903081083,1.732253926064223,-1.732271773220758,101,2.719064199462585,0.5698524475035974,2.722995944616639,0.563042465134363
0.5036166466882397,0.007821924877086935,1.723097259757085,-1.7231150125775343,101,2.726994105095326,0.5744307806553086,2.7309050675338695,0.5676567950052579
0.5127733129916622,0.0077803594417144755,1.7139405934499459,-1.7139582519342909,101,2.734924010728067,0.5790091138070199,2.738814190448924,0.572271124879921
0.5219299792950847,0.007738794001965896,1.7047839271428054,-1.7048014912910276,101,2.742853916360808,0.5835874469587312,2.746723313361791,0.5768854547583742
