reuse_step,step_factor,source_curvature_energy,source_maximum_turning_angle_deg,normalized_objective,normalized_relative_decrease,maximum_root_relative_mismatch,maximum_condition_number,maximum_condition_number_ratio,maximum_displacement_ratio,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,dipole_coefficient,accepted,rejection_reason,outer_shape_dipole_coefficient
1,0.5,8.697984041174786,10.687484038931327,0.9280656130536565,0.07193438694634346,1.3775214165659812e-06,115269.64189238194,1.0001453275855199,0.12896956720053068,8.40956316654584,0.9668404916284498,10.727307370934732,3.009737691379609,True,,3.0061379304804055
2,0.5,8.40956316654584,10.727307370934732,0.9285966934102294,0.07140330658977057,1.4356857542696416e-06,115286.36763460981,1.0001451010143354,0.128936861919185,8.155027762196587,0.9697326247144652,10.772118692605368,3.013333344769813,True,,3.009737691379609
3,0.5,8.155027762196587,10.772118692605368,0.9296115175740379,0.07038848242596207,1.4826401718070281e-06,115303.07054981869,1.000144881966465,0.1289020911745999,7.932674747567163,0.9727342418550476,10.821518998233095,3.016924955480879,True,,3.013333344769813
4,0.5,7.932674747567163,10.821518998233095,0.9314210566589373,0.06857894334106274,1.390125756072857e-06,115319.5360616601,1.0001428020226626,0.12886513460916135,7.740765752725887,0.9758077822489656,10.875099193370605,3.0205163183387715,True,,3.016924955480879
5,0.5,7.740765752725887,10.875099193370605,0.9335168478645508,0.0664831521354492,1.4048295922966363e-06,115335.97926065238,1.0001425881508461,0.12882589949057918,7.577542918726014,0.9789138646984125,10.932441198532977,3.0241005518290014,True,,3.0205163183387715
6,0.5,7.577542918726014,10.932441198532977,0.9364165111390876,0.06358348886091236,1.4091349185001658e-06,115352.38948061677,1.000142281883318,0.12878429166915464,7.441244983143037,0.9820129114351632,10.9931193251737,3.0276804764490337,True,,3.0241005518290014
7,0.5,7.441244983143037,10.9931193251737,0.9401615701883521,0.059838429811647886,1.4601327428071747e-06,115368.5851990053,1.0001404021059879,0.12874021520261947,7.330122981819715,0.9850667460115812,11.056701742432313,3.031255379393506,True,,3.0276804764490337
8,0.5,7.330122981819715,11.056701742432313,0.944592612986173,0.05540738701382697,1.4903638609107564e-06,115384.896421432,1.0001413835698385,0.12869357221505276,7.242455367637833,0.9880400895865845,11.12275200839178,3.034825534552642,True,,3.031255379393506
9,0.5,7.242455367637833,11.12275200839178,0.9499390934206319,0.050060906579368125,1.5721577540910423e-06,115400.85847127374,1.0001383374295565,0.12864426289938485,7.176562322799911,0.9909018362567538,11.19083064066063,3.0383912550112493,True,,3.034825534552642
10,0.5,7.176562322799911,11.19083064066063,0.9564148052267171,0.04358519477328293,1.478260539579222e-06,115416.79826325337,1.000138125419806,0.1285921856791052,7.130819030664621,0.9936260161790884,11.260496701799685,3.041956138127103,True,,3.0383912550112493
11,0.5,7.130819030664621,11.260496701799685,0.963160174580928,0.03683982541907205,1.4714356662593388e-06,115432.80282444207,1.0001386675226718,0.12853723754402507,7.103667680208819,0.9961923938415709,11.331309376442585,3.04551388666253,True,,3.041956138127103
12,0.5,7.103667680208819,11.331309376442585,0.9708208244516455,0.029179175548354475,6.333096407448058e-07,115448.48809105348,1.0001358822320843,0.12847931457123982,7.093627999906879,0.9985866906007004,11.402829518747998,3.0490671253053527,True,,3.04551388666253
13,0.5,7.093627999906879,11.402829518747998,0.9790615969221017,0.020938403077898293,1.5364893706056222e-06,115464.18484530298,1.0001359632673346,0.12841831263918618,7.099306156103882,1.0008004586929393,11.474621151241141,3.0526155803023296,True,,3.0490671253053527
14,0.5,7.099306156103882,11.474621151241141,0.9875335883919987,0.012466411608001327,1.5741946578363738e-06,115479.87655987387,1.0001359011452489,0.12835412833691168,7.119401900403311,1.0028306631461654,11.546252898822237,3.056158772865406,True,,3.0526155803023296
