period_s,matrix,scaled_change,passed
1.6,A,0.008134150179698759,True
1.6,B,0.004656101908686208,True
2.0,A,0.007320030428315591,True
2.0,B,0.008401866394035435,True
3.0,A,0.008151737689067325,True
3.0,B,0.008495416964291734,True
5.0,A,0.012429844793560345,True
5.0,B,0.0027527582080071147,True
8.0,A,0.01396448050018904,True
8.0,B,0.03126907984210531,True
