grid,period_s,negative_section_damping_count,mass_positive,passive,candidate_admissible,residual,condition,heave_baseline,pitch_baseline,heave_candidate,pitch_candidate,A33,A35,A53,A55,B33,B35,B53,B55
0,1.6,0,True,True,True,6.081202261320553e-15,236.89427611410704,0.5162220195088539,0.3390434508705586,0.24559985601126585,0.21216409857210417,1743.8493239595946,471.8056373468038,471.8056373468038,5422.28968360679,6578.892859276716,1732.888518406045,1732.888518406045,23732.815454757547
0,2.0,0,True,True,True,6.762510854730435e-15,296.5954289201647,0.2730667791222024,0.577301635483301,0.14044650802264058,0.42626447618268565,1943.7928418622212,501.30980680275593,501.30980680275593,6294.4877591853065,7342.296419740492,1751.4725345051074,1751.4725345051074,24920.69953428782
0,3.0,0,True,True,True,1.1601021529768105e-14,386.76455672929904,0.9378559961636376,0.5202512017740231,0.9450347050884504,0.5081513237945068,2749.2458287881864,641.2754393948661,641.2754393948661,8950.684659328303,7403.285951824301,1745.4204496207922,1745.4204496207922,23292.892764444754
0,5.0,0,True,True,True,3.643280398375791e-14,1038.5102068751787,1.0586058157947371,0.1889332173383723,1.0956025523058934,0.1876707427159597,3910.765030583853,959.8783015063383,959.8783015063383,11774.2068675231,5902.714343082002,1411.4292947132012,1411.4292947132012,18413.238811413165
0,8.0,0,True,True,True,3.958354548546223e-14,2273.0624313432695,1.0329412993225078,0.07079668629177603,1.0492253182803157,0.0687767600526804,4243.06524452346,1087.125795806569,1087.125795806569,12293.444392869635,5167.394843199633,1176.4595254325136,1176.4595254325136,16991.021986007785
1,1.6,0,True,True,True,2.6194984303862173e-14,1091.677433317884,0.5182954485643552,0.33682296898876324,0.23962603889702289,0.2050453052400355,1745.6216487477723,477.1653629113968,477.1653629113968,5475.552644538317,6804.480346684582,1781.6374006099031,1781.6374006099031,24591.757956816924
1,2.0,0,True,True,True,3.4054678254591347e-14,1324.7985639381222,0.2735440639861028,0.5797530440288564,0.1388003418652298,0.42583928169333984,1976.522632710022,514.1603286666248,514.1603286666248,6464.83913639914,7604.781933979984,1811.1416735055022,1811.1416735055022,25732.555829426357
1,3.0,0,True,True,True,3.92731826467257e-14,1680.5000972386786,0.9382885735923423,0.520683651545187,0.9524827111916128,0.5127299542355153,2856.874598807843,672.6855295713342,672.6855295713342,9414.111995391751,7598.434820243787,1758.107524408652,1758.107524408652,23970.158868932915
1,5.0,0,True,True,True,5.796122980953069e-14,2125.6044124822565,1.0586890412974108,0.18898452045165418,1.114787209225825,0.19156313993036508,4565.919951801584,1031.0973267576528,1031.0973267576528,14654.319116765766,6090.217601466694,1457.2078555785142,1457.2078555785142,18413.117975479534
1,8.0,0,True,True,True,7.11772352511052e-14,2507.7913456725773,1.0329630202474684,0.07080752121796113,1.0732431312672732,0.07058995250121786,6509.880592430416,1500.3529837818303,1500.3529837818303,20252.638675178754,4336.840662761034,1095.0287510551707,1095.0287510551707,12732.253381311695
2,1.6,0,True,True,True,2.18131643922678e-13,4823.03331067192,0.5188494423354139,0.3363381356226496,0.24144810565339156,0.20594571176426976,1759.1725429167768,480.2143868787662,480.2143868787662,5520.456869777638,6789.321994806535,1781.6577954796312,1781.6577954796312,24477.786886573933
2,2.0,0,True,True,True,2.2422141940209243e-13,5769.5108124572425,0.2736466024965055,0.5803627528361315,0.14032265442500833,0.4283596412291492,1991.097527194832,518.8365662987213,518.8365662987213,6490.595947775892,7552.940403154986,1805.6738701790337,1805.6738701790337,25518.15569465765
2,3.0,0,True,True,True,3.2573235849724885e-13,7456.7389450322535,0.9383824485898713,0.5207899460157142,0.9517007126300674,0.5123268963134671,2840.551144620346,671.2837061412979,671.2837061412979,9337.99114106694,7534.426723639566,1742.6109299053687,1742.6109299053687,23817.75291026704
2,5.0,0,True,True,True,4.692842481149306e-13,9513.624266682296,1.0587086008130242,0.18899610432299688,1.1132284871556983,0.19131572542958836,4514.051562660751,1024.6017533504314,1024.6017533504314,14474.40451516308,6088.6949514812395,1456.1956940283205,1456.1956940283205,18463.944750944887
2,8.0,0,True,True,True,5.20592918976517e-13,11387.396487752423,1.032968427102082,0.07080965943308792,1.0722359539164508,0.07055679925031548,6420.2254789231765,1478.6931761432595,1478.6931761432595,20111.19085250914,4423.7696392608605,1098.2449148448118,1098.2449148448118,13143.230092455859
