component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.4,0.05560182501252563,0.5230618250125256,1.6448485063286968,False
front,1.4,0.6077504952282362,1.0752104952282362,3.381165079334076,False
longitudinal_bin_aft_post_chine,1.4,-0.344754564392285,0.12270543560771496,0.3858661497097955,False
longitudinal_bin_forward_post_chine,1.4,0.11611459398327413,0.5835745939832742,1.8351402326518056,False
longitudinal_bin_middle_post_chine,1.4,-0.11139508273576086,0.3560649172642391,1.1197009976862864,False
longitudinal_bin_pre_chine,1.4,0.3774878143330239,0.8449478143330239,2.657068598531522,False
post_chine_bem,1.4,-0.07294171483069245,0.39451828516930754,1.2406235382682627,False
pre_chine_bem,1.4,0.3776448510873638,0.8451048510873638,2.6575624248030305,False
raw_bem,1.4,0.05560182501252563,0.5230618250125256,1.6448485063286968,False
resolved_station_bem,1.4,0.059000815151089236,0.5264608151510892,1.6555371545631736,False
total,1.4,0.10097324168052718,0.5684332416805271,1.787525917234362,False
transom,1.4,nan,nan,nan,False
transom_extrapolation,1.4,-0.620421176060329,-0.152961176060329,-0.4810099876110975,False
