component,sigma,omega_rad_s,motion_dof,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_matrix_is_zero,restoring_subtraction,restoring_matrices_sha256,response_calibration_used
bem,1.4,7.774541989381373,heave,A33,-22.119848363346684,-0.6878611564302362,0.03743012934528902,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
bem,1.4,7.774541989381373,heave,A53,-11.807918681192579,-1.154688588074381,0.04873785833108191,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
bem,1.4,7.774541989381373,heave,B33,359.94128983748806,2.0155961997398424,0.03743012934528902,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
bem,1.4,7.774541989381373,heave,B53,34.91511357436966,0.6148344609528371,0.04873785833108191,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
front,1.4,7.774541989381373,heave,A33,0.7903431356255887,0.02457730877346141,0.1162572714325338,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
front,1.4,7.774541989381373,heave,A53,-2.5999803355801174,-0.2542503639946263,0.09028970655144537,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
front,1.4,7.774541989381373,heave,B33,92.75787488385937,0.5194247656229255,0.1162572714325338,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
front,1.4,7.774541989381373,heave,B53,48.57567661474656,0.855388881471975,0.09028970655144537,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,heave,A33,0.3695651808943249,0.011492372304303555,0.008679539950591795,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,heave,A53,-0.12436636719239876,-0.012161705107781716,0.011001079644713606,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,heave,B33,37.27576677223209,0.2087365244549239,0.008679539950591795,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,heave,B53,-12.34902151232786,-0.2174589513694332,0.011001079644713606,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,heave,A33,3.1462459733153527,0.09783884401327049,0.039886213506715416,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,heave,A53,0.11440242684069137,0.011187337945625046,0.037128122000536425,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,heave,B33,137.39866191562655,0.7694038684239688,0.039886213506715416,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,heave,B53,17.10348813445094,0.30118229130658747,0.037128122000536425,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,heave,A33,2.5005718006578075,0.07776030749774446,0.021947174552272637,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,heave,A53,-0.18872829470402014,-0.018455615593675558,0.008204205429475683,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
