pair,case,mode,component,absolute_change,dimensionless_change,tolerance,passed
coarse_mid,fn167,3,original,12.968252887444418,0.001641501703491175,0.033586175575196185,True
coarse_mid,fn167,3,delta,10.95981373707327,0.0013872765341251033,0.001,False
coarse_mid,fn167,3,candidate,5.1600448013687705,0.0006531506136604033,0.03430009459788587,True
coarse_mid,fn167,3,normal,0.0,0.0,0.001,True
coarse_mid,fn167,3,tangent,10.959813737073217,0.0013872765341250964,0.0017768429186941674,True
coarse_mid,fn167,5,original,0.6113455971480539,4.072799725242668e-05,0.00479910115121379,True
coarse_mid,fn167,5,delta,7.963153029862186,0.0005305072551987916,0.001,True
coarse_mid,fn167,5,candidate,8.306327506364342,0.0005533696250290235,0.0048414758714298714,True
coarse_mid,fn167,5,normal,0.0,0.0,0.001,True
coarse_mid,fn167,5,tangent,7.963153029862199,0.0005305072551987925,0.001,True
coarse_mid,fn226,3,original,12.083853611994222,0.0015295557898960287,0.030191395304415475,True
coarse_mid,fn226,3,delta,13.129093666665183,0.0016618606844096726,0.0011776647781012674,False
coarse_mid,fn226,3,candidate,10.225538650520884,0.0012943331117637278,0.03112499492823838,True
coarse_mid,fn226,3,normal,0.0,0.0,0.0012916940769546513,True
coarse_mid,fn226,3,tangent,13.129093666665124,0.0016618606844096653,0.0024693583621856557,True
coarse_mid,fn226,5,original,4.048413127036179,0.0002697062994872384,0.0027379146080389943,True
coarse_mid,fn226,5,delta,7.168149586690278,0.0004775439261092819,0.001,True
coarse_mid,fn226,5,candidate,8.765370038485106,0.0005839511538307002,0.0027024618169622797,True
coarse_mid,fn226,5,normal,0.0,0.0,0.001,True
coarse_mid,fn226,5,tangent,7.168149586690322,0.00047754392610928483,0.001,True
coarse_mid,fn282,3,original,9.237504650949504,0.0011692692725958575,0.02756681933225292,True
coarse_mid,fn282,3,delta,15.615255886004434,0.001976555312407863,0.0014929842355844904,False
coarse_mid,fn282,3,candidate,15.506796226554751,0.001962826653868277,0.028656906223422093,True
coarse_mid,fn282,3,normal,0.0,0.0,0.0016122924351067117,True
coarse_mid,fn282,3,tangent,15.615255886004281,0.001976555312407844,0.0031052734405134902,True
coarse_mid,fn282,5,original,3.8421042156841563,0.00025596194798802995,0.0016001625624284784,True
coarse_mid,fn282,5,delta,6.358321170086868,0.0004235929535657223,0.001,True
coarse_mid,fn282,5,candidate,7.450776312514477,0.0004963725895797128,0.0014611398664032794,True
coarse_mid,fn282,5,normal,0.0,0.0,0.001,True
coarse_mid,fn282,5,tangent,6.3583211700868425,0.00042359295356572056,0.001,True
mid_fine,fn167,3,original,1.0005635534906154,0.00012664981102398077,0.033592420366475105,True
mid_fine,fn167,3,delta,4.592490339748331,0.0005813104341342959,0.001,True
mid_fine,fn167,3,candidate,5.545687631428429,0.0007019646958637952,0.034331931597467016,True
mid_fine,fn167,3,normal,0.0,0.0,0.001,True
mid_fine,fn167,3,tangent,4.592490339748453,0.0005813104341343113,0.0018058941938504831,True
mid_fine,fn167,5,original,2.743271810102812,0.0001827574571007648,0.004795902694240431,True
mid_fine,fn167,5,delta,3.4051441667700506,0.00022685155976471537,0.001,True
mid_fine,fn167,5,candidate,0.9231764938005437,6.150224991954557e-05,0.004840104822515348,True
mid_fine,fn167,5,normal,0.0,0.0,0.001,True
mid_fine,fn167,5,tangent,3.4051441667699995,0.00022685155976471196,0.001,True
mid_fine,fn226,3,original,3.090843192041282,0.00039123422476377206,0.03020761735429045,True
mid_fine,fn226,3,delta,6.003294896135078,0.0007598879266232109,0.0012155896766492225,True
mid_fine,fn226,3,candidate,7.686041569515168,0.0009728874381897889,0.031172686805284636,True
mid_fine,fn226,3,normal,0.0,0.0,0.0012916940769546513,True
mid_fine,fn226,3,tangent,6.003294896135049,0.0007598879266232073,0.002507280577660132,True
mid_fine,fn226,5,original,2.2879785755094213,0.00015242570744218774,0.0027335537042545437,True
mid_fine,fn226,5,delta,3.3638605185682025,0.00022410123275102818,0.001,True
mid_fine,fn226,5,candidate,2.203600398185472,0.0001468044120730116,0.002697603082294345,True
mid_fine,fn226,5,normal,0.0,0.0,0.001,True
mid_fine,fn226,5,tangent,3.3638605185681993,0.00022410123275102797,0.001,True
mid_fine,fn282,3,original,2.580360293857371,0.00032661807683352195,0.027551215909832262,True
mid_fine,fn282,3,delta,7.479999344155207,0.0009468069270480804,0.0015401969210262951,True
mid_fine,fn282,3,candidate,5.196231747013541,0.0006577311021375785,0.028678556077243563,True
mid_fine,fn282,3,normal,0.0,0.0,0.0016122924351067117,True
mid_fine,fn282,3,tangent,7.47999934415541,0.000946806927048106,0.003152489216349563,True
mid_fine,fn282,5,original,1.0720923963892046,7.14230647577766e-05,0.001601770772097541,True
mid_fine,fn282,5,delta,3.1465809503072997,0.00020962601333271381,0.001,True
mid_fine,fn282,5,candidate,3.8537324640635875,0.0002567366248160914,0.001459751045445096,True
mid_fine,fn282,5,normal,0.0,0.0,0.001,True
mid_fine,fn282,5,tangent,3.14658095030728,0.0002096260133327125,0.001,True
