case_code,fn_b,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wave_amplitude_m,source_wave_amplitude_m,wave_amplitude_scale,component,transom_correction_enabled,heave_force_real_n_per_m,heave_force_imag_n_per_m,pitch_moment_real_nm_per_m,pitch_moment_imag_nm_per_m,response_calibration_used
C7,2.82,3.14,8.924826727941545,1.006,0.00875,0.035,0.25,total,True,4380.725660677479,-4078.438001518962,1581.3101880607194,-939.6455942468122,False
C7,2.82,3.14,8.924826727941545,1.006,0.00875,0.035,0.25,bem,True,3053.3511957897053,-3574.19345939127,652.6052410643409,-478.74533968006045,False
C7,2.82,3.14,8.924826727941545,1.006,0.00875,0.035,0.25,front,True,1327.3744648877714,-504.2445421277003,928.7049469963791,-460.90025456675215,False
C7,2.82,3.14,8.924826727941545,1.006,0.00875,0.035,0.25,transom,True,8.383861374198832e-14,2.481407660690813e-13,-7.65498459459037e-14,-1.3106083396817454e-13,False
C7,2.82,3.14,8.924826727941545,1.006,0.00875,0.035,0.25,raw_bem,True,3019.2161988442012,-3690.7521704357787,675.7111643356088,-399.9636970401402,False
C7,2.82,3.14,8.924826727941545,1.006,0.00875,0.035,0.25,resolved_station,True,3065.714931570893,-3520.985754167543,644.5579733011211,-511.1265365037199,False
C7,2.82,3.14,8.924826727941545,1.006,0.00875,0.035,0.25,transom_extrapolation,True,-46.498732726693866,-169.76641626823482,31.153191034487843,111.16283946358034,False
C7,2.82,3.14,8.924826727941545,1.006,0.00875,0.035,0.25,pre_chine_bem,True,1850.723969427473,-2276.1905681061985,719.9324889418077,-926.2773180437936,False
C7,2.82,3.14,8.924826727941545,1.006,0.00875,0.035,0.25,post_chine_bem,True,1168.4922294167272,-1414.5616023295738,-44.22132460619821,526.3136210036544,False
