case,omega,mode,original_real,original_imag,delta_real,delta_imag,candidate_real,candidate_imag,complex_relative_change
fn167,8.6966,3,-75.15540974253113,-5319.797201026592,-42.455151294660105,-64.28491656731798,-117.61056103719125,-5384.08211759391,0.014480101209923888
fn167,8.6966,5,1181.4893008094828,-832.3068775653726,-26.84747295729821,-43.61270783715702,1154.6418278521846,-875.9195854025296,0.03543677048906342
fn226,10.4354,3,-753.5346311490904,-4698.695859119135,-84.40398692323714,-71.46623277762565,-837.9386180723275,-4770.162091896761,0.023240612146225588
fn226,10.4354,5,681.316928636654,-477.04719994277536,-38.99109840399247,-35.87560482218864,642.3258302326615,-512.922804764964,0.06370442050248398
fn282,12.10175,3,-1131.5895411280162,-4196.827057992417,-124.10307266083397,-66.00468893298124,-1255.6926137888502,-4262.831746925399,0.03233801357293743
fn282,12.10175,5,447.72908307563375,-184.80632903131453,-39.966091433470446,-24.65251878097952,407.7629916421633,-209.45884781229404,0.0969460542916532
