outer_iteration,krylov_iteration,preconditioned_relative_residual,gmres_info
1,1,0.9999040899077943,1
1,2,0.9981314319894093,1
1,3,0.9978374920329617,1
1,4,0.9973566652104465,1
1,5,0.9972098459664721,1
1,6,0.9971047654755502,1
1,7,0.9970333000041889,1
1,8,0.996883863840838,1
1,9,0.9968581195504373,1
1,10,0.9967412027385371,1
1,11,0.9967397737558269,1
1,12,0.9967303550358543,1
1,13,0.9963998273662644,1
1,14,0.9962538773734835,1
1,15,0.9958826804017465,1
1,16,0.9955078663169651,1
1,17,0.9953262189257123,1
1,18,0.9950749712131031,1
1,19,0.9950613544869843,1
1,20,0.9948367833682886,1
1,21,0.9947058738937848,1
1,22,0.9945211195026711,1
1,23,0.994301988218059,1
1,24,0.9942643341551606,1
1,25,0.9940974510097185,1
1,26,0.9940877925692707,1
1,27,0.9940471355685516,1
1,28,0.9939908990017389,1
1,29,0.9939219168584632,1
1,30,0.9937538528763289,1
1,31,0.9930420223428246,1
1,32,0.9925860515570909,1
