lambda,thickness,s_lambda,s_tau,subiterations,body_xi,body_eta,free_xi,free_eta
0.0,0.0642146826582419,4.006886938398938,-4.192823535224246,0,4.537359519307518,0.02669963829670685,4.551531535060913,-0.03593165929790038
0.0015146188208635801,0.06378330323337177,4.030946846668889,-4.191248683364319,16,4.538836791142945,0.027033910785506734,4.552913602563749,-0.035176644199828036
0.0030292376417271603,0.06338682799719292,4.053121111789562,-4.189683032450029,13,4.540314062978372,0.027368183274306616,4.554303373331503,-0.034455672634149316
0.004543856462590741,0.06302477482647058,4.073366800258659,-4.188125742280874,10,4.541791334813799,0.0277024557631065,4.555700740960809,-0.033768274365669634
0.006058475283454321,0.06269662810672237,4.09164915427703,-4.186575984092577,11,4.543268606649226,0.02803672825190638,4.557105591656877,-0.033113946493763285
0.0075730941043179005,0.062401824116357696,4.1079428771358115,-4.185032941784262,14,4.544745878484653,0.028371000740706264,4.558517801007796,-0.03249213919690595
0.009087712925181481,0.06213973107966235,4.122233737833976,-4.183495813639832,17,4.54622315032008,0.028705273229506147,4.559937229582288,-0.03190223627750651
0.010602331746045062,0.06190962140564278,4.134520654837939,-4.181963814738203,20,4.547700422155507,0.02903954571830603,4.5613637168028855,-0.03134352808527692
0.012116950566908643,0.06171063227528761,4.144818509289709,-4.180436180342638,24,4.549177693990933,0.029373818207105912,4.562797072247645,-0.03081517307632045
0.013631569387772224,0.061541708636542694,4.1531620786497845,-4.178912170707418,28,4.550654965826361,0.029708090695905794,4.564237063069287,-0.03031614221371837
0.015146188208635804,0.061401519615882784,4.159611684586871,-4.1773910779640175,33,4.552132237661787,0.030042363184705677,4.565683395547436,-0.029845137440198233
0.016660807029499385,0.06128833588265245,4.164261378836886,-4.175872236059808,40,4.553609509497215,0.03037663567350556,4.567135688023253,-0.02940047206638566
0.018175425850362966,0.06119985549585586,4.1672504798881524,-4.174355035034446,47,4.555086781332641,0.030710908162305442,4.568593432464264,-0.028979900911808104
0.019690044671226547,0.0611329848591117,4.168777954631837,-4.172838940758164,56,4.556564053168069,0.031045180651105328,4.570055946121684,-0.028580406660992284
0.021204663492090128,0.06108366259581095,4.169113592017577,-4.1713235190814775,65,4.5580413250034955,0.03137945313990521,4.571522332660111,-0.02819802808145192
0.02271928231295371,0.06104699896648319,4.168587333292268,-4.169808456576421,73,4.559518596838923,0.03171372562870509,4.572991512926587,-0.027827996003345234
0.02423390113381729,0.061018072159713284,4.167533578677994,-4.168293561552776,79,4.5609958686743495,0.03204799811750497,4.5744624006899555,-0.027465509975705495
0.02574851995468087,0.060993078053870414,4.166211518176756,-4.166778736520688,82,4.562473140509776,0.03238227060630486,4.575934156390332,-0.027106859677713785
0.02726313877554445,0.06096980224000902,4.164772195317938,-4.165263938865546,83,4.5639504123452035,0.03271654309510474,4.577406291313342,-0.02674988530261061
0.02877775759640803,0.06094721170648358,4.163286101053201,-4.1637491515851925,84,4.56542768418063,0.03305081558390462,4.578878577475964,-0.026393579310420495
0.030292376417271612,0.06092488285377361,4.161782145991502,-4.162234368184776,84,4.5669049560160575,0.0333850880727045,4.580350921390871,-0.026037528546604183
0.03180699523813519,0.06090265213503131,4.160271492773843,-4.160719586227737,84,4.568382227851484,0.03371936056150439,4.581823286963693,-0.025681573496999607
0.03332161405899877,0.06088045795586909,4.158758345525437,-4.159204804806507,84,4.5698594996869115,0.03405363305030427,4.583295660600707,-0.025325654085993868
0.03483623287986235,0.06085827734346512,4.157244272269256,-4.157690023583993,84,4.571336771522338,0.034387905539104154,4.584768037231869,-0.024969747907221597
0.03635085170072593,0.06083610176221536,4.155729855609521,-4.156175242435141,84,4.572814043357765,0.03472217802790403,4.5862404149733935,-0.02461384663554695
0.03786547052158951,0.060813928045650674,4.154215311676236,-4.154660461313585,84,4.574291315193192,0.03505645051670392,4.58771279312645,-0.024257947182578565
0.039380089342453094,0.06079175501995124,4.152700720589487,-4.153145680202143,84,4.575768587028619,0.035390723005503805,4.5891851714319785,-0.023902048403440297
0.040894708163316675,0.06076958225015814,4.15118611203777,-4.151630899094446,84,4.577245858864046,0.035724995494303684,4.590657549793985,-0.023546149873898317
0.042409326984180255,0.06074740957514535,4.1496714970188835,-4.150116117988136,84,4.578723130699473,0.03605926798310356,4.592129928176909,-0.023190251436799585
0.043923945805043836,0.06072523693524063,4.148156879605812,-4.148601336882341,84,4.5802004025349,0.03639354047190345,4.593602306567582,-0.022834353033943225
