outer_iteration,node_index,normal_displacement
1,0,2.9567981547866067e-05
1,1,2.8520861889601137e-05
1,2,3.499276867489887e-05
1,3,1.9038410459428724e-05
1,4,2.3625462101434495e-05
1,5,2.4245028247513716e-05
1,6,1.7265066328777772e-05
1,7,2.2046816064052612e-05
1,8,1.7647766574714746e-05
1,9,1.3669425273594278e-05
1,10,2.094062569728274e-05
1,11,6.216357617726618e-06
1,12,2.0833466390165835e-05
1,13,6.157697729863297e-06
1,14,1.5516934533385063e-05
1,15,1.2166817090995806e-05
1,16,8.484229868540566e-06
1,17,1.6678741948994805e-05
1,18,8.058947350866519e-06
1,19,1.3706547014006818e-05
1,20,1.540115494345771e-05
1,21,6.279131555533397e-06
1,22,2.1890133334564715e-05
1,23,4.3522462810438595e-06
1,24,2.0352179024836613e-05
1,25,1.1210947953854239e-05
1,26,1.1226455316876103e-05
1,27,2.2210144437715304e-05
1,28,-1.3853164060278306e-06
1,29,3.4410480229260544e-05
1,30,-9.613394304855188e-06
1,31,2.968958957599823e-05
1,32,1.7307367404408579e-06
1,33,1.527972319351757e-05
1,34,7.442660663114042e-06
1,35,1.1737116099826523e-05
1,36,1.1242878043324306e-05
1,37,1.7636502347195082e-06
1,38,2.0639671244138764e-05
1,39,-3.0114517457832176e-06
1,40,1.731665908066863e-05
1,41,4.642310098651912e-06
1,42,8.591149833084011e-06
1,43,1.130848118354011e-05
1,44,4.5412166234227614e-06
1,45,1.2090830095053031e-05
1,46,5.227344476887633e-06
1,47,9.584924750828672e-06
1,48,6.9456532392796316e-06
1,49,7.393805279080235e-06
1,50,6.867486303805209e-06
1,51,7.025741285072454e-06
1,52,5.6766872569426525e-06
1,53,7.003108565953185e-06
1,54,5.029270919144121e-06
1,55,6.359487762620033e-06
1,56,5.29264588519278e-06
1,57,5.393007345413701e-06
1,58,5.658801700259623e-06
1,59,4.8471067952551915e-06
1,60,5.532994737613588e-06
1,61,4.794835552283131e-06
1,62,5.0320889338500146e-06
1,63,4.840222476730196e-06
1,64,4.492347631630667e-06
1,65,4.538344302323141e-06
1,66,4.254487910609722e-06
1,67,3.866232877080912e-06
1,68,4.0230999559422475e-06
1,69,3.6824346870164827e-06
1,70,3.0079880840508485e-06
1,71,4.262434135072108e-06
1,72,2.064813218323123e-06
1,73,4.143703860442576e-06
1,74,2.2277318126831758e-06
1,75,3.3400041513800664e-06
1,76,2.638218173990556e-06
1,77,2.6642813881630465e-06
1,78,2.73072119647751e-06
1,79,2.268935854049772e-06
1,80,2.4958835597312735e-06
1,81,2.029255973697665e-06
1,82,2.1814508971658413e-06
1,83,1.7865758890299888e-06
1,84,1.9329814169719808e-06
1,85,1.579078345245437e-06
1,86,1.6755263476382462e-06
1,87,1.4916323514313369e-06
1,88,1.3174487925759903e-06
1,89,1.5181459752410066e-06
1,90,8.297942490752985e-07
1,91,1.5988903287411662e-06
1,92,3.7836710073280106e-07
1,93,1.4841805545566532e-06
1,94,3.3826068186937153e-07
1,95,1.0488705872582097e-06
1,96,5.656260672320425e-07
1,97,4.058047100344168e-07
1,98,8.573411997370792e-07
1,99,1.0125639991955483e-07
1,100,5.966913375854884e-07
1,101,2.091791386850773e-07
1,102,1.5893772998819569e-07
1,103,2.50702899199062e-07
1,104,-1.5610687048552312e-08
1,105,9.906064659749061e-08
1,106,-1.2412582803108097e-07
1,107,-1.0675209540659366e-07
1,108,-1.5033493209771742e-07
1,109,-1.5534640889208845e-07
1,110,-5.703431937731122e-07
1,111,1.5584140528358376e-07
1,112,-9.74340612524962e-07
1,113,2.0682336634097627e-08
1,114,-4.582686799329607e-07
1,115,-9.6142538644646e-07
1,116,2.7591246933117246e-07
1,117,-1.4161583931555303e-06
1,118,8.615229074156796e-08
1,119,-8.095609513467617e-07
1,120,-9.354749297426039e-07
1,121,1.5274005861432126e-07
1,122,-1.5817662395419711e-06
1,123,2.601014242053639e-07
1,124,-9.185377380264093e-07
1,125,-8.623057954534543e-07
1,126,6.040830172014511e-08
1,127,-1.0008447433613076e-06
1,128,-8.192175921760035e-07
1,129,3.303094801451129e-07
1,130,-1.900154080793407e-06
1,131,-1.5592543013426294e-07
1,132,-7.553669020995836e-09
1,133,-3.080597730036405e-06
1,134,1.854676462233508e-06
1,135,-3.1676752756645164e-06
1,136,-7.386278454594334e-07
1,137,5.153294332273915e-07
1,138,-3.770170211764938e-06
1,139,7.979461252342933e-07
1,140,-1.5196941085034944e-06
1,141,-2.2807122102818448e-06
1,142,-2.9467711138587924e-07
1,143,-3.907115836998538e-07
1,144,-3.166671766287287e-06
1,145,6.406122068198596e-07
1,146,-1.1275228906372462e-06
1,147,-2.118739676566666e-06
1,148,7.156316949613191e-07
1,149,-2.5735567294917766e-06
1,150,8.218677687187391e-07
1,151,-2.4763119151025846e-06
1,152,1.8412432222821703e-07
1,153,-1.3930388591723527e-06
1,154,-1.5090534376481e-06
1,155,-1.0386608494048268e-07
1,156,-2.3980769379910273e-06
1,157,-2.265663146319541e-07
1,158,-2.338876470001873e-06
1,159,-3.355645302106918e-07
1,160,-2.312808625941852e-06
1,161,-7.458973546533078e-07
1,162,-1.3602013541099823e-06
1,163,-1.8484428134411076e-06
1,164,2.103665067669352e-07
1,165,-2.42699723746082e-06
1,166,4.3285336226136386e-07
1,167,-1.6989147887696684e-06
1,168,1.106390410594002e-07
1,169,-9.704309184206029e-07
1,170,-4.4778331075446325e-07
1,171,-2.8483429053129346e-07
1,172,-1.1587666954842557e-06
1,173,2.8369987362492137e-07
1,174,-1.4557141307023243e-06
1,175,-6.596626724068644e-07
1,176,-6.257705320921921e-07
1,177,-1.6059776885472908e-06
1,178,-4.853609173753604e-07
1,179,-1.6547422636127247e-06
1,180,-1.028711638676272e-06
1,181,-1.0335411605886635e-06
1,182,-1.0176847849325078e-06
1,183,-6.842199744149145e-07
1,184,-1.1606668672344434e-06
1,185,3.213879515241091e-07
1,186,-7.147507136880829e-07
1,187,2.7127256265456763e-07
1,188,4.2900589687030384e-07
1,189,-8.581561936001007e-07
1,190,2.0560417051456357e-06
1,191,-1.4380244572361199e-06
1,192,1.6859063582925523e-06
1,193,-1.3149666738771912e-06
1,194,5.461990432445901e-07
1,195,-3.377579039646026e-07
1,196,-1.5124446469467902e-06
1,197,1.8133097317529652e-07
1,198,-2.6371075736984824e-06
1,199,9.277493022100927e-07
1,200,-2.2489661836345876e-06
1,201,-8.76119676027418e-08
1,202,-8.241613649365301e-07
1,203,-6.149647365140708e-07
1,204,1.7971386738459516e-06
1,205,-1.4075819118587055e-06
1,206,2.6824682095948174e-06
1,207,-3.8294517170507465e-07
1,208,2.6205400926996106e-06
1,209,8.164185002826249e-07
1,210,1.3862878340162305e-06
1,211,9.059109872641538e-07
1,212,1.485143011765591e-06
1,213,9.356699081599664e-07
1,214,-1.0496755408454482e-06
1,215,7.462020624247011e-08
1,216,-3.704653356289131e-07
1,217,2.8624787315889954e-07
1,218,-1.957974505317787e-06
1,219,-5.809937052086353e-07
1,220,-4.4912429180812697e-07
1,221,2.1238817773258042e-07
1,222,4.935533793038781e-07
1,223,-2.943832061321694e-07
1,224,2.6993153646192094e-06
1,225,-2.5934845149482023e-07
1,226,4.315466101914236e-06
1,227,2.3844677624889357e-06
1,228,2.445854793493172e-06
1,229,3.0789440168415144e-06
1,230,3.535666556362678e-06
1,231,3.6911765791745207e-06
1,232,2.9650624927815735e-06
1,233,5.93032009135458e-07
1,234,2.8036939579576867e-06
1,235,1.7348826348807415e-06
1,236,9.774032137198618e-07
1,237,1.1314499989169474e-06
1,238,-2.3163191488847396e-06
1,239,1.533397436839814e-06
1,240,-5.073602655460839e-07
1,241,-9.935032820461224e-07
1,242,-5.48284078274935e-07
1,243,-3.881225463479423e-06
1,244,2.219099130987535e-06
1,245,-1.5980789115578278e-06
1,246,-5.586592939934418e-07
1,247,1.6844975517689496e-07
1,248,3.2842320069621046e-08
1,249,1.2742279834987908e-06
1,250,4.853427275108209e-06
1,251,2.207232848055147e-06
1,252,5.532797172419027e-06
1,253,7.626790282284384e-06
1,254,7.577283032997108e-06
1,255,1.1684323131400408e-05
1,256,1.138250812962889e-05
1,257,1.1394199580814602e-05
1,258,1.282837231551683e-05
1,259,1.0924191400893564e-05
1,260,1.0014645428347215e-05
1,261,9.655556451172917e-06
1,262,6.373397621303706e-06
1,263,5.574387540925015e-06
1,264,5.269289017361284e-06
1,265,1.3152857327816327e-06
1,266,4.000916188446091e-06
1,267,1.3167335947491663e-06
1,268,3.7125388010468384e-06
1,269,3.108471963694103e-06
1,270,5.5648572233026205e-06
1,271,6.793791625283645e-06
1,272,8.141562367768615e-06
1,273,6.342210571517708e-06
1,274,1.1177750471459672e-05
1,275,8.29506214146351e-06
1,276,3.1638523405290413e-06
1,277,4.87642099393878e-06
1,278,2.660968615834625e-06
1,279,-5.045576159403631e-06
1,280,-8.953489262506954e-06
1,281,-7.0953076552544275e-06
1,282,-1.3593505618276374e-05
1,283,-1.748041399390887e-05
1,284,-1.931831123682034e-05
1,285,-1.912161391814935e-05
1,286,-1.578267777907595e-05
1,287,-1.4418203803186886e-09
1,288,-4.719585655144763e-08
1,289,-1.476038312724798e-07
1,290,-2.379981401678895e-07
1,291,-2.898590964385956e-07
1,292,-3.168095597461488e-07
1,293,-3.1076141414172254e-07
1,294,-2.8968066341802347e-07
1,295,-2.442804283060399e-07
1,296,-1.9740560801454043e-07
1,297,-1.4143694535696982e-07
1,298,-9.873382996240326e-08
1,299,-6.19160194287226e-08
1,300,-4.7614716599253717e-08
1,301,-4.8120763380353016e-08
1,302,-7.167209324043114e-08
1,303,-1.1078305532908e-07
1,304,-1.6675061143247165e-07
1,305,-2.3118402453514678e-07
1,306,-3.0416226453993575e-07
1,307,-3.744355630396949e-07
1,308,-4.4678214721160057e-07
