component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,diagnostic_zero_restoring_component,response_calibration_used
raw_bem,1.4,7.774541989381373,A33,-20.28844092173672,-0.6309098600204369,0.028523200771489773,zero_diagnostic_only,False,False
raw_bem,1.4,7.774541989381373,A53,-9.232073087986409,-0.9027983446350987,0.04738088742354967,zero_diagnostic_only,False,False
raw_bem,1.4,7.774541989381373,B33,312.0084951418554,1.747182540181508,0.028523200771489773,zero_diagnostic_only,False,False
raw_bem,1.4,7.774541989381373,B53,4.922193721433615,0.08667691476864146,0.04738088742354967,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,A33,-16.461943057863152,-0.5119172158356162,0.08248347916124803,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,A53,-10.767374608628012,-1.0529344687906432,0.09947556410955857,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,B33,309.5027091227493,1.733150660760973,0.08248347916124803,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,B53,6.193518551995677,0.10906419170616732,0.09947556410955857,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,A33,-3.8264978638735543,-0.1189926441848203,0.2280804750982934,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,A53,1.5353015206416052,0.15013612415554475,0.23041140280072298,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,B33,2.505786019105964,0.014031879420534268,0.2280804750982934,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,B53,-1.2713248305620652,-0.022387276937525926,0.23041140280072298,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,A33,-20.490824638058697,-0.6372033885684247,0.048466665311429395,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,A53,-8.486922640900453,-0.8299305733640167,0.04912633262276055,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,B33,72.04270197839874,0.4034241150611305,0.048466665311429395,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,B53,24.542229717097793,0.43217412272057704,0.04912633262276055,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,A33,0.2023837163219708,0.006293528547987625,0.010340618696062152,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,A53,-0.7451504470859561,-0.07286777127108195,0.014719841151759418,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,B33,239.96579316345668,1.3437584251203776,0.010340618696062152,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,B53,-19.62003599566418,-0.3454972079519356,0.014719841151759418,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,A33,1.0571515219667011,0.03287425196037735,0.004767849895897439,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,A53,-0.35052904009230784,-0.03427800388123742,0.005234636350436498,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,B33,63.442451331858365,0.35526450400955206,0.004767849895897439,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,B53,-21.92351646478501,-0.38606013407648176,0.005234636350436498,zero_diagnostic_only,False,False
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,A33,0.6969515238353418,0.02167310884262592,0.010729160458786738,zero_diagnostic_only,False,False
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,A53,-0.12492667053694519,-0.012216496802683729,0.005482394031423651,zero_diagnostic_only,False,False
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,B33,79.89450591868149,0.44739258055804987,0.010729160458786738,zero_diagnostic_only,False,False
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,B53,-9.1775836221891,-0.16161180937244285,0.005482394031423651,zero_diagnostic_only,False,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,A33,-1.5517193294800458,-0.04825383225501482,0.020678189197626547,zero_diagnostic_only,False,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,A53,-0.2696947364567033,-0.026373270587160817,0.021205105947084264,zero_diagnostic_only,False,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,B33,96.62883591291684,0.5411013405527757,0.020678189197626547,zero_diagnostic_only,False,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,B53,11.481064091309932,0.20217473549698897,0.021205105947084264,zero_diagnostic_only,False,False
longitudinal_bin_pre_chine,1.4,7.774541989381373,A33,-20.490824638058697,-0.6372033885684247,0.048466665311429395,zero_diagnostic_only,False,False
longitudinal_bin_pre_chine,1.4,7.774541989381373,A53,-8.486922640900453,-0.8299305733640167,0.04912633262276055,zero_diagnostic_only,False,False
longitudinal_bin_pre_chine,1.4,7.774541989381373,B33,72.04270197839874,0.4034241150611305,0.048466665311429395,zero_diagnostic_only,False,False
longitudinal_bin_pre_chine,1.4,7.774541989381373,B53,24.542229717097793,0.43217412272057704,0.04912633262276055,zero_diagnostic_only,False,False
bem,1.4,7.774541989381373,A33,-20.28844092173672,-0.6309098600204369,0.028523200771489773,zero_diagnostic_only,False,False
bem,1.4,7.774541989381373,A53,-9.232073087986409,-0.9027983446350987,0.04738088742354967,zero_diagnostic_only,False,False
bem,1.4,7.774541989381373,B33,312.0084951418554,1.747182540181508,0.028523200771489773,zero_diagnostic_only,False,False
bem,1.4,7.774541989381373,B53,4.922193721433615,0.08667691476864146,0.04738088742354967,zero_diagnostic_only,False,False
front,1.4,7.774541989381373,A33,0.7512910005261317,0.023362904118902645,0.12344912172094329,zero_diagnostic_only,False,False
front,1.4,7.774541989381373,A53,-2.493422042875039,-0.2438300987579405,0.09546739411419639,zero_diagnostic_only,False,False
front,1.4,7.774541989381373,B33,87.97995485744026,0.49266940934729697,0.12344912172094329,zero_diagnostic_only,False,False
front,1.4,7.774541989381373,B53,46.547845421251644,0.8196799757541077,0.09546739411419639,zero_diagnostic_only,False,False
transom,1.4,7.774541989381373,A33,-0.0,-0.0,0.0,zero_diagnostic_only,False,False
transom,1.4,7.774541989381373,A53,-0.0,-0.0,0.0,zero_diagnostic_only,False,False
transom,1.4,7.774541989381373,B33,0.0,0.0,0.0,zero_diagnostic_only,False,False
transom,1.4,7.774541989381373,B53,0.0,0.0,0.0,zero_diagnostic_only,False,False
total,1.4,7.774541989381373,A33,-19.537149921210606,-0.6075469559015348,0.013548712500666141,zero_diagnostic_only,False,False
total,1.4,7.774541989381373,A53,-11.725495130861454,-1.1466284433930398,0.022541231438512308,zero_diagnostic_only,False,False
total,1.4,7.774541989381373,B33,399.98844999929577,2.2398519495288056,0.013548712500666141,zero_diagnostic_only,False,False
total,1.4,7.774541989381373,B53,51.47003914268526,0.906356890522749,0.022541231438512308,zero_diagnostic_only,False,False
