station_index,x_m,omega_rad_s,waterplane_beam_m,draft_m,added_mass_per_m,damping_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,section_solver,status
0,0.0,0.9112006086908124,1.6484864516727733,0.3,1824.8099133420885,2810.423592019024,555.5594963445749,1.4269571569008208e-14,12,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
1,2.2,0.9112006086908124,1.8682846452291433,0.34,1758.0269603836052,3485.711451127762,522.3388140199066,9.909960190509694e-15,12,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
2,4.4,0.9112006086908124,1.978183742007328,0.36,1700.033801314389,3800.790803751807,506.6285569127011,1.0657919425369205e-14,12,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
3,6.6,0.9112006086908124,1.4850521120497775,0.3,1758.1870114329543,2291.178735166936,580.1838073232288,1.08472347145586e-14,12,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
4,8.8,0.9112006086908124,0.8984147095616863,0.2,1064.2234028465098,602.8120237797646,629.077770724598,9.04820964937565e-15,12,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
5,11.0,0.9112006086908124,0.2256871758415598,0.06,67.18433818627388,6.525737333595523,538.5657991172264,6.912813729095543e-15,12,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
0,0.0,1.0,1.6484864516727733,0.3,1169.05897002083,2890.844981307978,493.3989136674141,6.899674393853113e-15,12,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
1,2.2,1.0,1.8682846452291433,0.34,1050.9348218480252,3416.033815455601,457.78429659473306,1.3129729741680679e-14,12,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
2,4.4,1.0,1.978183742007328,0.36,988.7603230729792,3656.1027590699896,442.6732373678771,9.516135949874334e-15,12,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
3,6.6,1.0,1.4850521120497775,0.3,1186.558144912028,2452.8935554970312,522.563506269416,1.0182516560524078e-14,12,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
