station_index,x_m,omega_rad_s,wavenumber_rad_m,transverse_wavenumber_rad_m,waterplane_beam_m,draft_m,vertical_force_abs_per_m,lateral_force_abs_per_m,roll_moment_abs_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,status
0,0.0,6.283185307179586,4.025678249387654,0.0,1.6484864516727733,0.3,2551.019564087047,1.591657608732679e-12,2.2739143831779087e-12,47.13752955512382,2.7033400949082044e-15,12,16,experimental_2d_free_surface_source_panel_not_validated
1,2.2,6.283185307179586,4.025678249387654,0.0,1.8682846452291433,0.34,2150.234363655673,3.1263911913855334e-12,6.025419157305736e-12,52.64163579547338,2.3970652579581927e-15,12,16,experimental_2d_free_surface_source_panel_not_validated
2,4.4,6.283185307179586,4.025678249387654,0.0,1.978183742007328,0.36,1917.957727787074,9.436129420556416e-12,1.819012856856053e-11,55.99928580862306,5.4098136444984726e-15,12,16,experimental_2d_free_surface_source_panel_not_validated
3,6.6,6.283185307179586,4.025678249387654,0.0,1.4850521120497775,0.3,2694.016665952817,5.684515355781502e-13,2.275141446545404e-13,11.127387247054932,1.061239986454859e-15,12,16,experimental_2d_free_surface_source_panel_not_validated
4,8.8,6.283185307179586,4.025678249387654,0.0,0.8984147095616863,0.2,2319.9103049100077,1.7053025658242404e-13,5.687116766346677e-14,9.657322082068491,4.3968906086524194e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
5,11.0,6.283185307179586,4.025678249387654,0.0,0.2256871758415598,0.06,1722.5523166571277,2.5579548124714435e-13,3.552716118254551e-14,6.183121292852023,2.4663862876604316e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
0,0.0,2.284794657156213,0.5323210908281195,0.0,1.6484864516727733,0.3,17669.416787485043,1.3673656050212696e-12,4.0959876805241945e-12,81.1546808169386,3.890869228861671e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
1,2.2,2.284794657156213,0.5323210908281195,0.0,1.8682846452291433,0.34,29082.62578736627,2.0745901100434206e-12,4.169378558092887e-12,182.64546610917773,2.307147275745421e-15,12,16,experimental_2d_free_surface_source_panel_not_validated
2,4.4,2.284794657156213,0.5323210908281195,0.0,1.978183742007328,0.36,51998.65999290535,9.275062463698822e-12,1.623135931147294e-11,471.3205630425357,1.0971131582646653e-14,12,16,experimental_2d_free_surface_source_panel_not_validated
3,6.6,2.284794657156213,0.5323210908281195,0.0,1.4850521120497775,0.3,14488.24299337309,4.549693413077341e-13,1.1370362860490568e-12,18.306021357403626,3.2684025969027576e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
4,8.8,2.284794657156213,0.5323210908281195,0.0,0.8984147095616863,0.2,8236.885186257703,1.1368683772161603e-13,2.2737367713729795e-13,8.651451426463847,3.477915402238081e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
5,11.0,2.284794657156213,0.5323210908281195,0.0,0.2256871758415598,0.06,2183.515487050556,2.2737367552429576e-13,4.6185277834714457e-14,6.54397576469478,3.1795428199479113e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.3962634015954636,0.1987989258956866,0.0,1.6484864516727733,0.3,15927.200014622287,1.5916167193728734e-12,3.183233198672549e-12,55.89488023167799,7.414859911782079e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
1,2.2,1.3962634015954636,0.1987989258956866,0.0,1.8682846452291433,0.34,18115.462799540564,9.094964364947499e-13,1.8189924528619107e-12,58.03489919212667,1.892400081892043e-15,12,16,experimental_2d_free_surface_source_panel_not_validated
2,4.4,1.3962634015954636,0.1987989258956866,0.0,1.978183742007328,0.36,19241.62820767222,2.2740880088047373e-13,9.095159518872572e-13,59.299975272876566,9.587762892423745e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
3,6.6,1.3962634015954636,0.1987989258956866,0.0,1.4850521120497775,0.3,14296.250262284311,1.0231816358680662e-12,1.818989620386278e-12,12.55444190007095,3.268092042614917e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
4,8.8,1.3962634015954636,0.1987989258956866,0.0,0.8984147095616863,0.2,8700.631994890644,6.938893903907228e-18,5.684341928432449e-14,8.507354555275409,3.8743032196831703e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
5,11.0,1.3962634015954636,0.1987989258956866,0.0,0.2256871758415598,0.06,2236.2376687317437,3.4106051316624396e-13,4.973799150347289e-14,6.626074875119271,4.26526012192658e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.0053096491487339,0.10305736318432394,0.0,1.6484864516727733,0.3,16174.289656245392,1.5916157523035655e-12,3.865352526481007e-12,55.652328902266994,6.297006374280252e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
1,2.2,1.0053096491487339,0.10305736318432394,0.0,1.8682846452291433,0.34,18320.1783957545,9.094947441245746e-13,2.046363187409303e-12,57.19331918473719,9.40485763332822e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
2,4.4,1.0053096491487339,0.10305736318432394,0.0,1.978183742007328,0.36,19397.231594304983,6.82121082798557e-13,1.591615790057033e-12,58.02099007976085,4.573969901315664e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
3,6.6,1.0053096491487339,0.10305736318432394,0.0,1.4850521120497775,0.3,14561.285365526974,9.094947055845765e-13,1.5916157330033151e-12,12.484749286583892,3.0843333051996214e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
4,8.8,1.0053096491487339,0.10305736318432394,0.0,0.8984147095616863,0.2,8854.737023275904,1.1368683773485092e-13,1.734723475976807e-18,8.556424783304228,2.417176688044464e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
5,11.0,1.0053096491487339,0.10305736318432394,0.0,0.2256871758415598,0.06,2251.7204851649117,2.842170943041693e-13,4.263256414562876e-14,6.65108609557672,3.5312989588931647e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
0,0.0,0.7853981633974483,0.06290122264668209,0.0,1.6484864516727733,0.3,16314.733103711897,1.4779288920099179e-12,3.637978811565106e-12,55.75892583798241,4.041711057374242e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
1,2.2,0.7853981633974483,0.06290122264668209,0.0,1.8682846452291433,0.34,18475.341762722503,6.821210298590001e-13,1.818989411169153e-12,57.21907434951594,3.0095497093002124e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
2,4.4,0.7853981633974483,0.06290122264668209,0.0,1.978183742007328,0.36,19556.297641428882,4.547473542745959e-13,4.547473644389911e-13,57.991136342941765,9.29599258820137e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
3,6.6,0.7853981633974483,0.06290122264668209,0.0,1.4850521120497775,0.3,14694.956050774732,7.958078643235728e-13,1.364242053294667e-12,12.507478218207623,2.783572458919457e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
4,8.8,0.7853981633974483,0.06290122264668209,0.0,0.8984147095616863,0.2,8922.060950758449,8.673617379884035e-19,1.7053025658242404e-13,8.583522833618485,3.456345861598972e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
5,11.0,0.7853981633974483,0.06290122264668209,0.0,0.2256871758415598,0.06,2258.2619769142257,2.8421709430406623e-13,4.263256414560874e-14,6.661785536974017,3.349021277681419e-16,12,16,experimental_2d_free_surface_source_panel_not_validated
