panel_count,shape_mode,value,source_signed_root_defect,finite_difference_step
320,0,-0.5157212120493221,-0.0009477122301300977,2.4047716477306644e-05
320,1,-1.1116094767524352,-0.0009477122301300977,1.1130669369064647e-05
320,2,-1.6044663490142903,-0.0009477122301300977,7.639789604595053e-06
320,3,-1.918529697033536,-0.0009477122301300977,6.255651166011957e-06
320,4,-2.0728079525914502,-0.0009477122301300977,5.573524719501382e-06
320,5,-2.101873587747624,-0.0009477122301300977,5.185475429097989e-06
320,6,-2.0324351457589818,-0.0009477122301300977,4.940997948867419e-06
320,7,-1.8870379821829275,-0.0009477122301300977,4.774805482949189e-06
320,8,-1.6838251817917564,-0.0009477122301300977,4.655025894159392e-06
320,9,-1.4410618739258436,-0.0009477122301300977,4.564628681877886e-06
320,10,-1.174337913894933,-0.0009477122301300977,4.493841475478052e-06
320,11,-0.8996731603806484,-0.0009477122301300977,4.4367244025895455e-06
320,12,-0.6299998345327928,-0.0009477122301300977,4.389491903002285e-06
320,13,-0.3778511730602021,-0.0009477122301300977,4.349633908332113e-06
320,14,-0.1519735186373709,-0.0009477122301300977,4.315429211867989e-06
320,15,0.0398950519931411,-0.0009477122301300977,4.285662948549111e-06
320,16,0.1940826625927519,-0.0009477122301300977,4.259455804810957e-06
320,17,0.3079732352252408,-0.0009477122301300977,4.236157125451869e-06
320,18,0.3826561487926,-0.0009477122301300977,4.215275978672049e-06
320,19,0.4198953640796918,-0.0009477122301300977,4.196435522553676e-06
320,20,0.4242454390230251,-0.0009477122301300977,4.179342081842178e-06
320,21,0.400336907812111,-0.0009477122301300977,4.163763732885756e-06
320,22,0.3545015434379644,-0.0009477122301300977,4.149515157944352e-06
320,23,0.2923774007303389,-0.0009477122301300977,4.136446709081512e-06
320,24,0.2205322402542351,-0.0009477122301300977,4.124436353950744e-06
320,25,0.1439445361898968,-0.0009477122301300977,4.1133836412822285e-06
320,26,0.0681765166566844,-0.0009477122301300977,4.103205121887371e-06
320,27,-0.0034570257390437,-0.0009477122301300977,4.093830849607776e-06
320,28,-0.0674377248735317,-0.0009477122301300977,4.085201702844756e-06
320,29,-0.1224579132899865,-0.0009477122301300977,4.077267336577377e-06
320,30,-0.1676873809148613,-0.0009477122301300977,4.069984616129839e-06
320,31,-0.2037564341672752,-0.0009477122301300977,4.063316411424242e-06
640,0,-0.5527293309493452,-0.0008693597846478389,2.4047716477306644e-05
640,1,-1.191563737051545,-0.0008693597846478389,1.1130669369064647e-05
640,2,-1.721114856562508,-0.0008693597846478389,7.639789604595053e-06
640,3,-2.0611114506415245,-0.0008693597846478389,6.255651166011957e-06
640,4,-2.2331361072063496,-0.0008693597846478389,5.573524719501382e-06
640,5,-2.274420656815854,-0.0008693597846478389,5.185475429097989e-06
640,6,-2.2138786465830487,-0.0008693597846478389,4.940997948867419e-06
640,7,-2.075027491404557,-0.0008693597846478389,4.774805482949189e-06
640,8,-1.87697988626885,-0.0008693597846478389,4.655025894159392e-06
640,9,-1.6381968560260578,-0.0008693597846478389,4.564628681877886e-06
640,10,-1.3748033938979405,-0.0008693597846478389,4.493841475478052e-06
640,11,-1.1027467074521942,-0.0008693597846478389,4.4367244025895455e-06
640,12,-0.8353524457104592,-0.0008693597846478389,4.389491903002285e-06
640,13,-0.5849830490309875,-0.0008693597846478389,4.349633908332113e-06
640,14,-0.3607280490402524,-0.0008693597846478389,4.315429211867989e-06
640,15,-0.1701157212531959,-0.0008693597846478389,4.285662948549111e-06
640,16,-0.0171459773013536,-0.0008693597846478389,4.259455804810957e-06
640,17,0.0957974483642205,-0.0008693597846478389,4.236157125451869e-06
640,18,0.1694893989179804,-0.0008693597846478389,4.215275978672049e-06
640,19,0.2059423547013921,-0.0008693597846478389,4.196435522553676e-06
640,20,0.2094065436655786,-0.0008693597846478389,4.179342081842178e-06
640,21,0.1847748113171757,-0.0008693597846478389,4.163763732885756e-06
640,22,0.1380844511015461,-0.0008693597846478389,4.149515157944352e-06
640,23,0.0752524061091738,-0.0008693597846478389,4.136446709081512e-06
640,24,0.0025624431587372,-0.0008693597846478389,4.124436353950744e-06
640,25,-0.074720151718577,-0.0008693597846478389,4.1133836412822285e-06
640,26,-0.1513064183611268,-0.0008693597846478389,4.103205121887371e-06
640,27,-0.2235931011828121,-0.0008693597846478389,4.093830849607776e-06
640,28,-0.2883354635765354,-0.0008693597846478389,4.085201702844756e-06
640,29,-0.3439321190710256,-0.0008693597846478389,4.077267336577377e-06
640,30,-0.3898346275171607,-0.0008693597846478389,4.069984616129839e-06
640,31,-0.4263838665498833,-0.0008693597846478389,4.063316411424242e-06
1280,0,-0.5528832340064621,-0.0008349934214187632,2.4047716477306644e-05
1280,1,-1.1918757815311782,-0.0008349934214187632,1.1130669369064647e-05
1280,2,-1.7215545866884443,-0.0008349934214187632,7.639789604595053e-06
1280,3,-2.0616076004372195,-0.0008349934214187632,6.255651166011957e-06
1280,4,-2.2336534087137867,-0.0008349934214187632,5.573524719501382e-06
1280,5,-2.274917468555793,-0.0008349934214187632,5.185475429097989e-06
1280,6,-2.2143609323735016,-0.0008349934214187632,4.940997948867419e-06
1280,7,-2.0754655091707948,-0.0008349934214187632,4.774805482949189e-06
1280,8,-1.8773942018535303,-0.0008349934214187632,4.655025894159392e-06
1280,9,-1.6385682270009492,-0.0008349934214187632,4.564628681877886e-06
1280,10,-1.3751485065209164,-0.0008349934214187632,4.493841475478052e-06
1280,11,-1.1030586586328306,-0.0008349934214187632,4.4367244025895455e-06
1280,12,-0.8356486285513536,-0.0008349934214187632,4.389491903002285e-06
1280,13,-0.5852505231116392,-0.0008349934214187632,4.349633908332113e-06
1280,14,-0.3609931803185057,-0.0008349934214187632,4.315429211867989e-06
1280,15,-0.1703646022490073,-0.0008349934214187632,4.285662948549111e-06
1280,16,-0.0174000931464631,-0.0008349934214187632,4.259455804810957e-06
1280,17,0.0955495248769878,-0.0008349934214187632,4.236157125451869e-06
1280,18,0.169216100360594,-0.0008349934214187632,4.215275978672049e-06
1280,19,0.2056650787678347,-0.0008349934214187632,4.196435522553676e-06
1280,20,0.209091814801631,-0.0008349934214187632,4.179342081842178e-06
1280,21,0.1844356854660556,-0.0008349934214187632,4.163763732885756e-06
1280,22,0.1377047414170944,-0.0008349934214187632,4.149515157944352e-06
1280,23,0.0748402928728248,-0.0008349934214187632,4.136446709081512e-06
1280,24,0.0020937895711437,-0.0008349934214187632,4.124436353950744e-06
1280,25,-0.0752225039275306,-0.0008349934214187632,4.1133836412822285e-06
1280,26,-0.1518645825535392,-0.0008349934214187632,4.103205121887371e-06
1280,27,-0.2241819368063544,-0.0008349934214187632,4.093830849607776e-06
1280,28,-0.288975649354028,-0.0008349934214187632,4.085201702844756e-06
1280,29,-0.3445940439167348,-0.0008349934214187632,4.077267336577377e-06
1280,30,-0.3905277161150847,-0.0008349934214187632,4.069984616129839e-06
1280,31,-0.4270948689263547,-0.0008349934214187632,4.063316411424242e-06
