stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,80,0.0026561027464909468,-7.256044547957017e-06,7.256044547957017e-06,47143.965037031245,2.515565481465938
source,160,0.0017245318860613767,0.0006668337027101154,0.0006668337027101154,47335.54352830002,2.5120623232305106
source,320,0.0014122200744886655,0.0009561348565923978,0.0009561348565923978,110961.82883241685,2.5096586316319387
candidate_factor_1,80,0.0026166556648925953,3.974333238349181e-05,3.974333238349181e-05,26161.966445168928,2.515299870854726
candidate_factor_1,160,0.0016764456605000643,0.0007887674281978765,0.0007887674281978765,47229.63828270915,2.511808413088514
candidate_factor_1,320,0.0013604629327095994,0.001077097648920063,0.001077097648920063,110777.98968454015,2.5094055114502156
candidate_factor_0.5,80,0.0026262804948986975,1.6337434855456524e-05,1.6337434855456524e-05,48231.37168725082,2.5154306777905147
candidate_factor_0.5,160,0.001689830307603799,0.0006890468999573105,0.0006890468999573105,47335.125246154115,2.511936982029098
candidate_factor_0.5,320,0.001374656421361661,0.0009778847172451192,0.0009778847172451192,110960.74298924093,2.5095338285237605
candidate_factor_0.25,80,0.002638663040909512,4.564312115512077e-06,4.564312115512077e-06,47679.98455855163,2.51549408237751
candidate_factor_0.25,160,0.0017043110697545793,0.0006779781201574366,0.0006779781201574366,47335.33481984205,2.512000071495606
candidate_factor_0.25,320,0.0013903193829679615,0.000967052288441177,0.000967052288441177,110961.28703434762,2.5095966844960818
candidate_factor_0.125,80,0.002646749800779691,-1.3380782758766757e-06,1.3380782758766757e-06,47410.08427167386,2.5155255033735773
candidate_factor_0.125,160,0.0017137037625182996,0.0006724234635945489,0.0006724234635945489,47335.43928020122,2.512031302160763
candidate_factor_0.125,320,0.0014004897591157173,0.0009616123207239646,0.0009616123207239646,110961.55821389589,2.5096277718124536
