step,time_s,panels,newly_exposed,edge_extrapolated,relative_phi_eta_error
1,0.0125,76,0,0,2.623854144483633e-05
2,0.025,76,0,0,5.203995406426064e-05
3,0.037500000000000006,74,0,0,7.79444091096907e-05
4,0.05,74,0,0,0.0001041356027088253
5,0.0625,74,0,0,0.00013008625480740696
6,0.07500000000000001,74,0,0,0.00015586347544724641
7,0.08750000000000001,72,0,0,0.00018169650063004275
8,0.1,72,0,0,0.00020775849510274843
9,0.1125,72,0,0,0.00023376597202194601
10,0.125,72,0,0,0.0002596898518526501
11,0.1375,72,0,0,0.00028556853947945085
12,0.15000000000000002,70,0,0,0.00031145462156588905
13,0.1625,70,0,0,0.0003374417332802835
14,0.17500000000000002,70,0,0,0.0003634340965936577
15,0.1875,70,0,0,0.00038941039990396316
16,0.2,70,0,0,0.0004153709672182384
17,0.21250000000000002,70,0,0,0.0004413219681954612
18,0.225,70,0,0,0.0004672692673228932
19,0.23750000000000002,70,0,0,0.0004932167112661471
20,0.25,70,0,0,0.0005191661444030134
21,0.2625,70,0,2,0.0005451178622927109
22,0.275,70,0,2,0.0005710709951324479
23,0.28750000000000003,70,0,2,0.0005970237329041775
24,0.30000000000000004,70,0,2,0.000622973543942165
25,0.3125,70,0,2,0.0006489177137625735
26,0.325,70,0,2,0.0006748546955987874
27,0.3375,70,0,2,0.0007007869192711069
28,0.35000000000000003,70,0,2,0.0007267258107874719
29,0.36250000000000004,72,2,2,0.0007510947872488282
30,0.375,72,2,0,0.0007749219046346435
31,0.3875,72,0,2,0.0007984772034832351
32,0.4,72,0,2,0.0008219914694320667
33,0.41250000000000003,72,0,2,0.0008457564895598294
34,0.42500000000000004,74,2,2,0.000868662185080682
35,0.4375,74,2,0,0.0008907594974959835
36,0.45,74,0,2,0.0009127189035362756
37,0.4625,74,0,2,0.0009346916648635495
38,0.47500000000000003,76,2,2,0.0009564938288418785
39,0.48750000000000004,76,2,0,0.000977914695423146
40,0.5,76,0,2,0.0009991872567813092
41,0.5125000000000001,76,0,2,0.001020385847798124
42,0.525,78,2,2,0.0010414645794051959
43,0.5375,78,2,0,0.0010624283186476619
44,0.55,78,0,2,0.0010833769754919297
45,0.5625,78,0,2,0.0011043738312342896
46,0.5750000000000001,80,2,2,0.0011253957195857876
47,0.5875,80,2,0,0.0011464437103548186
48,0.6000000000000001,80,0,2,0.0011675887437709413
49,0.6125,80,0,2,0.0011888754360286197
50,0.625,80,0,2,0.0012103561106627343
51,0.6375000000000001,82,2,2,0.001231977063334583
52,0.65,82,0,2,0.0012538174407019794
53,0.6625000000000001,82,0,2,0.0012759133446468521
54,0.675,82,0,2,0.0012982968444856613
55,0.6875,82,0,2,0.001320998139163588
56,0.7000000000000001,82,0,2,0.001344044309703097
57,0.7125,82,0,2,0.0013674588601204464
58,0.7250000000000001,82,0,2,0.001391262052503569
59,0.7375,82,0,2,0.0014154717318984218
60,0.75,82,0,2,0.0014401041974012876
61,0.7625000000000001,82,0,0,0.001465174703814673
62,0.775,82,0,0,0.0014906973360142215
63,0.7875000000000001,82,0,0,0.0015166842249672353
64,0.8,82,0,0,0.0015431443006211432
65,0.8125,82,0,0,0.001570081938139837
66,0.8250000000000001,82,0,0,0.0015974959040149046
67,0.8375,82,0,0,0.0016253789280200725
68,0.8500000000000001,82,0,0,0.0016537180272623612
69,0.8625,82,0,0,0.0016824954299152941
70,0.875,80,0,0,0.0017116884676956245
71,0.8875000000000001,80,0,0,0.001741266106385682
72,0.9,80,0,0,0.0017712227773287615
73,0.9125000000000001,80,0,0,0.001801504188529266
74,0.925,80,0,0,0.001832058566409042
75,0.9375,78,0,0,0.0018627585622029168
76,0.9500000000000001,78,0,0,0.0018935685362591265
77,0.9625,78,0,0,0.0019246258191290594
78,0.9750000000000001,78,0,0,0.001955881482745633
79,0.9875,76,0,0,0.001987439321310617
80,1.0,76,0,0,0.0020192748697156096
