step,time_s,panels,newly_exposed,edge_extrapolated,relative_phi_eta_error
1,0.025,38,0,0,0.0002092574010916471
2,0.05,38,0,0,0.00041600615530487043
3,0.07500000000000001,38,0,0,0.000621997340131805
4,0.1,36,0,0,0.0008291717476538259
5,0.125,36,0,0,0.0010369816709576616
6,0.15000000000000002,36,0,0,0.0012443056355875134
7,0.17500000000000002,36,0,0,0.0014513279399965679
8,0.2,36,0,0,0.001658292859165271
9,0.225,36,0,0,0.0018653228445854807
10,0.25,36,0,0,0.0020724477625053217
11,0.275,36,0,2,0.0022796542232908336
12,0.30000000000000004,36,0,2,0.0024869095412740137
13,0.325,36,0,2,0.0026941640123433162
14,0.35000000000000003,36,0,2,0.002901351782846022
15,0.375,36,0,2,0.0031084180627308114
16,0.4,36,0,2,0.003315400194642692
17,0.42500000000000004,38,2,2,0.0035144957992657463
18,0.45,38,2,0,0.0036946271339312335
19,0.47500000000000003,38,0,2,0.0038708800171543835
20,0.5,38,0,2,0.00404696657394458
21,0.525,40,2,2,0.004221357478090492
22,0.55,40,2,0,0.004386813863716709
23,0.5750000000000001,40,0,2,0.004553351063417485
24,0.6000000000000001,40,0,2,0.004722792744290063
25,0.625,40,0,2,0.004896467498411125
26,0.65,42,2,2,0.00507025015761956
27,0.675,42,0,2,0.005247916642628498
28,0.7000000000000001,42,0,2,0.005430501048624952
29,0.7250000000000001,42,0,2,0.005618900002331818
30,0.75,42,0,2,0.00581392772617011
31,0.775,42,0,0,0.006016254671448277
32,0.8,42,0,0,0.006226316635911589
33,0.8250000000000001,42,0,0,0.00644420370929042
34,0.8500000000000001,42,0,0,0.006669557489333886
35,0.875,40,0,0,0.006901310759224738
36,0.9,40,0,0,0.0071307452561759545
37,0.925,40,0,0,0.0073666301933589485
38,0.9500000000000001,40,0,0,0.007608891532234944
39,0.9750000000000001,40,0,0,0.007857200862045497
40,1.0,38,0,0,0.008121355033381858
