step,time_s,panels,newly_exposed,edge_extrapolated,relative_phi_eta_error
1,0.00625,152,0,0,3.250816515564027e-06
2,0.0125,150,0,0,6.570114142114659e-06
3,0.018750000000000003,150,0,0,9.864334083732311e-06
4,0.025,150,0,0,1.3065127078034803e-05
5,0.03125,150,0,0,1.623454877469411e-05
6,0.037500000000000006,148,0,0,1.95069030945305e-05
7,0.043750000000000004,148,0,0,2.2777599132099346e-05
8,0.05,148,0,0,2.600787246705802e-05
9,0.05625,148,0,0,2.9216653327848093e-05
10,0.0625,146,0,0,3.2477105966353796e-05
11,0.06875,146,0,0,3.574058187276022e-05
12,0.07500000000000001,146,0,0,3.8981298124467866e-05
13,0.08125,146,0,0,4.220593703066818e-05
14,0.08750000000000001,144,0,0,4.545031681262224e-05
15,0.09375,144,0,0,4.871123387909851e-05
16,0.1,144,0,0,5.196099827144675e-05
17,0.10625000000000001,144,0,0,5.5197958537971815e-05
18,0.1125,144,0,0,5.842869642010791e-05
19,0.11875000000000001,142,0,0,6.16804557191241e-05
20,0.125,142,0,0,6.493598222744818e-05
21,0.13125,142,0,0,6.818510937087092e-05
22,0.1375,142,0,0,7.142704819513745e-05
23,0.14375000000000002,142,0,0,7.466455655581298e-05
24,0.15000000000000002,140,0,0,7.790411106944291e-05
25,0.15625,140,0,0,8.115522379512674e-05
26,0.1625,140,0,0,8.440689195366721e-05
27,0.16875,140,0,0,8.765602894901892e-05
28,0.17500000000000002,140,0,0,9.090214764855037e-05
29,0.18125000000000002,140,0,0,9.414590969954897e-05
30,0.1875,140,0,0,9.738830493779001e-05
31,0.19375,140,0,0,0.00010063023785053383
32,0.2,140,0,0,0.00010387236337513505
33,0.20625000000000002,138,0,0,0.00010711810787438164
34,0.21250000000000002,138,0,0,0.00011036555695183302
35,0.21875,138,0,0,0.00011361313106841269
36,0.225,138,0,0,0.00011686045234544848
37,0.23125,138,0,0,0.00012010740056579833
38,0.23750000000000002,138,0,0,0.00012335397493199216
39,0.24375000000000002,138,0,0,0.00012660021687633857
40,0.25,138,0,0,0.00012984617025323697
41,0.25625000000000003,138,0,2,0.0001330918640536336
42,0.2625,138,0,2,0.00013633730916123277
43,0.26875,138,0,2,0.00013958250537129797
44,0.275,138,0,2,0.0001428274584976781
45,0.28125,138,0,2,0.00014607221041612275
46,0.28750000000000003,138,0,2,0.00014931688763206603
47,0.29375,138,0,2,0.00015256177665605436
48,0.30000000000000004,140,2,2,0.0001557871820551178
49,0.30625,140,2,0,0.00015892958732735495
50,0.3125,140,0,2,0.00016205647284617993
51,0.31875000000000003,140,0,2,0.00016517117087584283
52,0.325,140,0,2,0.00016827930870749158
53,0.33125000000000004,140,0,2,0.00017138952043001552
54,0.3375,140,0,2,0.00017451411820054418
55,0.34375,140,0,2,0.0001776698501600641
56,0.35000000000000003,140,0,2,0.00018087875429991207
57,0.35625,142,2,2,0.0001839270246457262
58,0.36250000000000004,142,2,0,0.00018687877699984066
59,0.36875,142,0,2,0.0001898204812833916
60,0.375,142,0,2,0.0001927644989258019
61,0.38125000000000003,142,0,2,0.00019572476468366555
62,0.3875,144,2,2,0.00019871077537765073
63,0.39375000000000004,144,2,0,0.00020159187287397654
64,0.4,144,0,2,0.00020445693273532344
65,0.40625,144,0,2,0.000207312424560632
66,0.41250000000000003,144,0,2,0.00021016884811422278
67,0.41875,146,2,2,0.0002130151058327321
68,0.42500000000000004,146,2,0,0.0002158060395599864
69,0.43125,146,0,2,0.00021858450277899253
70,0.4375,146,0,2,0.00022135593118151813
71,0.44375000000000003,148,2,2,0.00022412689457269717
72,0.45,148,2,0,0.00022686550539060212
73,0.45625000000000004,148,0,2,0.0002295914043995021
74,0.4625,148,0,2,0.0002323090129211448
75,0.46875,150,2,2,0.00023502624024021978
76,0.47500000000000003,150,2,0,0.00023771445304536563
77,0.48125,150,0,2,0.00024039322340167822
78,0.48750000000000004,150,0,2,0.00024306641551054536
79,0.49375,152,2,2,0.0002457384131676844
80,0.5,152,2,0,0.0002483913911971913
81,0.50625,152,0,2,0.00025103758268873284
82,0.5125000000000001,152,0,2,0.0002536813845162805
83,0.51875,154,2,2,0.0002563244668074876
84,0.525,154,2,0,0.00025895315848898276
85,0.53125,154,0,2,0.00026157883062028533
86,0.5375,154,0,2,0.00026420576645922003
87,0.5437500000000001,156,2,2,0.0002668339635157612
88,0.55,156,2,0,0.00026945378280195277
89,0.55625,156,0,2,0.0002720741705290681
90,0.5625,156,0,2,0.00027469901970386484
91,0.56875,158,2,2,0.0002773296453037071
92,0.5750000000000001,158,2,0,0.00027995545137303153
93,0.58125,158,0,2,0.0002825856086307614
94,0.5875,158,0,2,0.00028522294584780846
95,0.59375,158,0,2,0.00028787237251551035
96,0.6000000000000001,160,2,2,0.0002905214589812084
97,0.6062500000000001,160,2,0,0.00029317713960660724
98,0.6125,160,0,2,0.0002958420433288937
99,0.61875,160,0,2,0.00029851849248523115
100,0.625,160,0,2,0.00030120982233842623
101,0.6312500000000001,162,2,2,0.0003039079257962533
102,0.6375000000000001,162,2,0,0.000306617912274366
103,0.64375,162,0,2,0.0003093418493582134
104,0.65,162,0,2,0.0003120812389805244
105,0.65625,162,0,2,0.00031483787544208676
106,0.6625000000000001,162,0,2,0.0003176136991596419
107,0.6687500000000001,164,2,2,0.0003204050503264954
108,0.675,164,2,0,0.0003232117355046209
109,0.68125,164,0,2,0.00032603770514418094
110,0.6875,164,0,2,0.0003288838723998403
111,0.6937500000000001,164,0,2,0.0003317511706419908
112,0.7000000000000001,164,0,2,0.00033464050902738365
113,0.70625,164,0,2,0.0003375527438930616
114,0.7125,164,0,2,0.00034048866004754766
115,0.71875,164,0,2,0.00034344896465518873
116,0.7250000000000001,164,0,2,0.0003464342930511918
117,0.7312500000000001,164,0,2,0.0003494452234935263
118,0.7375,164,0,2,0.00035248229656661696
119,0.74375,164,0,2,0.00035554603453733825
120,0.75,164,0,2,0.00035863695640115485
121,0.7562500000000001,164,0,0,0.0003617555853495441
122,0.7625000000000001,164,0,0,0.0003649024468435682
123,0.76875,164,0,0,0.0003680780570721008
124,0.775,164,0,0,0.00037128290319855497
125,0.78125,164,0,0,0.00037451741818346333
126,0.7875000000000001,164,0,0,0.0003777819539292945
127,0.7937500000000001,164,0,0,0.00038107675695468095
128,0.8,164,0,0,0.00038440195061215175
129,0.80625,164,0,0,0.00038775752694486754
130,0.8125,164,0,0,0.00039114334973617415
131,0.8187500000000001,164,0,0,0.0003945591680807387
132,0.8250000000000001,164,0,0,0.00039800463707485086
133,0.83125,164,0,0,0.00040147933913975105
134,0.8375,162,0,0,0.00040497987379942455
135,0.84375,162,0,0,0.0004085064769989742
136,0.8500000000000001,162,0,0,0.00041206301839511025
137,0.8562500000000001,162,0,0,0.0004156480386896608
138,0.8625,162,0,0,0.00041926016914432416
139,0.86875,162,0,0,0.00042289821663312594
140,0.875,160,0,0,0.00042656059316802553
141,0.8812500000000001,160,0,0,0.0004302436429990255
142,0.8875000000000001,160,0,0,0.00043395255523418744
143,0.89375,160,0,0,0.0004376845256275978
144,0.9,160,0,0,0.0004414374663194753
145,0.90625,158,0,0,0.00044520883159839464
146,0.9125000000000001,158,0,0,0.00044899183480712294
147,0.9187500000000001,158,0,0,0.00045279703278208966
148,0.925,158,0,0,0.0004566206687110809
149,0.93125,158,0,0,0.00046046036686998404
150,0.9375,156,0,0,0.0004643114336906811
151,0.9437500000000001,156,0,0,0.0004681779363142806
152,0.9500000000000001,156,0,0,0.00047205731262814777
153,0.95625,156,0,0,0.00047594634128995337
154,0.9625,154,0,0,0.00047983561041349277
155,0.96875,154,0,0,0.0004837332747081225
156,0.9750000000000001,154,0,0,0.00048764158528326643
157,0.9812500000000001,154,0,0,0.0004915574899064898
158,0.9875,152,0,0,0.0004954825335436778
159,0.99375,152,0,0,0.0004994129019260038
160,1.0,152,0,0,0.0005033412950411854
