panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
320,0.0,0.1,0.723134509433958
320,0.1,0.25,0.010551185490265435
320,0.25,0.5,0.003945461420298833
320,0.5,0.75,0.00590876533169691
320,0.75,0.9,0.008637291085827056
320,0.9,1.0,0.2478227872379537
640,0.0,0.1,0.4654664607024214
640,0.1,0.25,0.00853348845141303
640,0.25,0.5,0.0059718622440048125
640,0.5,0.75,0.011208357074553239
640,0.75,0.9,0.016393756662590558
640,0.9,1.0,0.49242607486501694
1280,0.0,0.1,0.3574207915533263
1280,0.1,0.25,0.006747040792006354
1280,0.25,0.5,0.006584428778348104
1280,0.5,0.75,0.013247696397449611
1280,0.75,0.9,0.019292566949804562
1280,0.9,1.0,0.5967074755290652
