panel_shift,outer_root_xi,outer_root_eta,outer_panel_count,status,termination_reason,iteration_count,initial_s_lambda,final_s_lambda,measured_s_lambda,relative_mismatch,root_thickness,root_s_tau,delta_lambda,reason
0.0,2.097110208091605,0.1880512564404937,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,1.1622815734868355,2.099094121023402,2.554858787609086,0.2171244547926599,0.019672534970313973,-2.0898738912592982,0.009220690365126433,
0.125,2.09937259760923,0.18760919949151925,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,1.0745837584920714,2.1014012987001363,2.5345003887158204,0.20610013436442923,0.021186562276857834,-2.0921822111629034,0.009219154425647646,
0.25,2.101634987126855,0.1871671425425448,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,0.9885877160953199,2.1037076689613414,2.512482361410762,0.19431154740774606,0.022700589583401702,-2.094489627408482,0.00921796652245754,
0.375,2.10389737664448,0.18672508559357034,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,0.9045384071364192,2.1060126084598503,2.48923467176323,0.18196570227736397,0.024214616889945344,-2.096796139835579,0.009216779182408154,
0.5,2.106159766162105,0.1862830286445959,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,0.8226191027759506,2.108317210957278,2.4650963312571026,0.16922459222245298,0.0257286441964894,-2.0991017480223633,0.009215592305240624,
0.625,2.10842215567973,0.18584097169562144,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,0.7429669592192486,2.1106206861105887,2.440342977624929,0.15622053440684597,0.027242671503033073,-2.1014064515821893,0.009214405839444878,
0.75,2.110684545197355,0.185398914746647,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,0.6656797599179582,2.11292312678063,2.4151984538668523,0.14306025773251216,0.028756698809576715,-2.1037102501636795,0.009213219782396661,
0.875,2.11294693471498,0.18495685779767254,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,0.5908219525297456,2.1152246675067072,2.3898443894491663,0.12983004886481558,0.030270726116120802,-2.1060131434507063,0.009212034180446681,
1.0,2.115209324232605,0.1845148008486981,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,0.5184282801356725,2.117525803176916,2.364425740803374,0.1165983135865616,0.03178475342266448,-2.1083151311499613,0.009210927291882904,
1.125,2.117451109130088,0.1839885173491095,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,0.4439099903415868,2.119828842653877,2.3390341732390048,0.10340708937175236,0.03336142075164245,-2.110619592161644,0.00920966269989194,
1.25,2.1196928940275708,0.18346223384952093,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,2.0,0.37221515341437933,2.122131963478396,2.313741635768067,0.09029112024475729,0.03493808808062,-2.1129235570254714,0.009208476551582296,
1.375,2.121934678925054,0.18293595034993232,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,3.0,0.30331700074420437,2.1244342635202305,2.2886355409959886,0.07729176670483244,0.03651475540959781,-2.115227025532864,0.009207290680584294,
1.5,2.124176463822537,0.18240966685034374,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,3.0,0.23717183855055654,2.1267360200852634,2.263783493056418,0.06444028392656848,0.03809142273857581,-2.117529997475433,0.009206105083517076,
1.625,2.12641824872002,0.18188338335075516,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,3.0,0.1737238947860471,2.129037382272185,2.239238346682437,0.05176093446167748,0.039668090067553376,-2.119832472657478,0.009204919757069538,
1.75,2.128660033617503,0.18135709985116655,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,3.0,0.11290797640218038,2.131338225759599,2.2150411657982474,0.039272481029526456,0.04124475739653137,-2.122134450896059,0.009203734698002888,
1.875,2.1309018185149857,0.18083081635157797,80,ROOT_NOT_CONSISTENT,NO_BRACKET_IN_PHYSICAL_DOMAIN,3.0,0.054651705866929835,2.1336384550817247,2.191223075810865,0.026988930852830325,0.042821424725508955,-2.124435932020976,0.009202549903151573,
2.0,2.133143603412469,0.18030453285198939,80,INELIGIBLE,,,,,,,,,,"The jet root requires thickness>0, S_lambda>0, S_tau<0 and delta_lambda>0."
