run,path,summary_file,outer_panels,outer_panels_per_radius,far_radius,pseudo_cfl,grid_mode,root_spacing_ratio,far_spacing_ratio,endpoint_decay,linear_gradient_recovery,linear_corner_treatment,completed_iterations,cumulative_pseudo_time,kinematic_integral,kinematic_integral_linear_exact,kinematic_acceptance_integral,kinematic_rms,condition_number,free_surface_nrmse,pressure_nrmse,pressure_peak_relative_error,pressure_peak_location_relative_error,reference_used_during_solve,grid_distribution_relative_linf,grid_contract_pass
self_similar_wedge_20deg_shared_corner_four_step_v156,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\self_similar_wedge_20deg_shared_corner_four_step_v156,regrid_summary.json,80,4.0,20.0,0.25,double_ended,0.04,0.25,4.0,connected_nodal,shared_node,4,0.003333377618681334,0.00353872611881656,0.009172712937653763,0.009172712937653763,0.013423567981758845,36933.83831047318,0.11148249281613067,0.026877001581211254,0.002617347638948679,0.008270516817548422,False,3.439594151194348e-06,True
self_similar_wedge_20deg_double_corner_four_step_v157,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\self_similar_wedge_20deg_double_corner_four_step_v157,regrid_summary.json,80,4.0,20.0,0.25,double_ended,0.04,0.25,4.0,connected_nodal,displaced_double_node,4,0.0033044853880982565,0.0028587862832552017,0.00625625246233223,0.00625625246233223,0.012334218005440425,49008.79633992076,0.11148220944125219,0.026218730552575675,0.0024855502746518477,0.007686139729677601,False,9.985810348885226e-07,True
