case_name,coefficient,total_rows,pass_rows,fail_rows,error_rows,finite_gate_rows,median_gate_error_ratio,max_gate_error_ratio,median_abs_error,median_rel_error,max_heave_residual,max_pitch_residual,max_heave_condition_number,max_pitch_condition_number,a1_grid_recommendation_status,a1_control_radius_ok,a1_inner_free_surface_panels_ok,a1_outer_or_control_panels_ok,a1_station_count_ok,a1_min_station_count_for_fn,pass_fraction,diagnostic_conclusion,gate_role
st41_bp8_fs24_cp10_r3p0_h2_fsm_clipfs_onezonefs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0_hqtrapezoid_hp1p0_hc1p0_cim1p0_cp1p0_cnm1p0_cd1p0_pgsbackward_pg1p0,A35,1,1,0,0,1,0.21755853421841637,0.21755853421841637,0.013053512053104982,0.06526756026552491,1.2371150506013808e-15,2.9208251105969897e-15,418.23117884841605,418.23117884841605,A1_GRID_RECOMMENDED,True,True,True,True,40,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st41_bp8_fs24_cp10_r3p0_h2_fsm_clipfs_onezonefs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0_hqtrapezoid_hp1p0_hc1p0_cim1p0_cp1p0_cnm1p0_cd1p0_pgscentral_pg1p0,A35,1,1,0,0,1,0.25002714157979594,0.25002714157979594,0.015001628494787755,0.07500814247393878,1.2371150506013808e-15,2.9208251105969897e-15,418.23117884841605,418.23117884841605,A1_GRID_RECOMMENDED,True,True,True,True,40,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st41_bp8_fs24_cp10_r3p0_h2_fsm_clipfs_onezonefs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0_hqtrapezoid_hp1p0_hc1p0_cim1p0_cp1p0_cnm1p0_cd1p0_pgsforward_pg1p0,A35,1,1,0,0,1,0.6240668516852427,0.6240668516852427,0.03744401110111456,0.1872200555055728,1.2371150506013808e-15,2.9208251105969897e-15,418.23117884841605,418.23117884841605,A1_GRID_RECOMMENDED,True,True,True,True,40,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st41_bp8_fs24_cp10_r3p0_h2_fsm_clipfs_onezonefs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0_hqtrapezoid_hp1p0_hc1p0_cim1p0_cp1p0_cnm1p0_cd1p0_pgsbackward_pg1p0,A53,1,1,0,0,1,0.7352261771582947,0.7352261771582947,0.033085177972123264,0.22056785314748845,1.351989908607372e-15,4.307791910505325e-15,418.23117884841605,418.23117884841605,A1_GRID_RECOMMENDED,True,True,True,True,40,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st41_bp8_fs24_cp10_r3p0_h2_fsm_clipfs_onezonefs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0_hqtrapezoid_hp1p0_hc1p0_cim1p0_cp1p0_cnm1p0_cd1p0_pgscentral_pg1p0,A53,1,1,0,0,1,0.7352261771582947,0.7352261771582947,0.033085177972123264,0.22056785314748845,1.351989908607372e-15,4.307791910505325e-15,418.23117884841605,418.23117884841605,A1_GRID_RECOMMENDED,True,True,True,True,40,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st41_bp8_fs24_cp10_r3p0_h2_fsm_clipfs_onezonefs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0_hqtrapezoid_hp1p0_hc1p0_cim1p0_cp1p0_cnm1p0_cd1p0_pgsforward_pg1p0,A53,1,1,0,0,1,0.7352261771582947,0.7352261771582947,0.033085177972123264,0.22056785314748845,1.351989908607372e-15,4.307791910505325e-15,418.23117884841605,418.23117884841605,A1_GRID_RECOMMENDED,True,True,True,True,40,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st41_bp8_fs24_cp10_r3p0_h2_fsm_clipfs_onezonefs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0_hqtrapezoid_hp1p0_hc1p0_cim1p0_cp1p0_cn1p0_cd1p0_pgsforward_pg1p0,A35,1,0,1,0,1,2.2198937132647543,2.2198937132647543,0.13319362279588526,0.6659681139794262,5.01708453162707e-15,2.275403776696845e-15,113.95001957184003,113.95001957184003,A1_GRID_RECOMMENDED,True,True,True,True,40,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st41_bp8_fs24_cp10_r3p0_h2_fsm_clipfs_onezonefs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0_hqtrapezoid_hp1p0_hc1p0_ci1p0_cp1p0_cn1p0_cd1p0_pgscentral_pg1p0,A55,1,0,1,0,1,2.6766591465021525,2.6766591465021525,0.02529442893444534,0.40149887197532286,3.8267601590155196e-15,3.705789033268641e-15,113.94877021527233,113.94877021527233,A1_GRID_RECOMMENDED,True,True,True,True,40,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st41_bp8_fs24_cp10_r3p0_h2_fsm_clipfs_onezonefs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0_hqtrapezoid_hp1p0_hc1p0_cim1p0_cp1p0_cn1p0_cd1p0_pgsbackward_pg1p0,A53,1,0,1,0,1,2.7687208886420382,2.7687208886420382,0.12459243998889172,0.8306162665926115,3.679817864173535e-15,3.0514815925250303e-15,113.95001957184003,113.95001957184003,A1_GRID_RECOMMENDED,True,True,True,True,40,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st41_bp8_fs24_cp10_r3p0_h2_fsm_clipfs_onezonefs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0_hqtrapezoid_hp1p0_hc1p0_cim1p0_cp1p0_cn1p0_cd1p0_pgscentral_pg1p0,A53,1,0,1,0,1,2.7687208886420382,2.7687208886420382,0.12459243998889172,0.8306162665926115,3.679817864173535e-15,3.0514815925250303e-15,113.95001957184003,113.95001957184003,A1_GRID_RECOMMENDED,True,True,True,True,40,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
