case,grid,clock_minus_local_time_s
free_surface_fn167,mid,-0.02601273526274339
free_surface_fn167,fine,-0.027579810347072353
free_surface_fn226,mid,-0.06421896650343106
free_surface_fn226,fine,-0.06524491081083
free_surface_fn282,mid,-0.07413822177926693
free_surface_fn282,fine,-0.07489202774394538
