iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio,kinematic_integral,provisional_matching_surface_shift_panels,final_matching_surface_shift_panels,provisional_matching_surface_root_displacement_ratio,final_matching_surface_root_displacement_ratio,provisional_matching_surface_trigger_code,final_matching_surface_trigger_code,rk2_rejected_attempt_count,jet_point_count,shallow_jet_panel_count_per_side,boundary_panel_count,jet_tip_thickness,jet_tip_s_lambda
0,0.0,0.01525783563163722,8.203307266181879,0.1458152954407185,2.0602082773923254,2.0522775649923037,0.0038494711855346013,0.5529211477752627,8.857494067705895,35151.70469394535,,,0.004466787569727777,,,,,,,,513.0,256.0,680.0,9.222689902124203e-05,0.005559799193052288
1,0.0004742301782985421,0.015052091444744217,8.202834114441718,0.14384414396693185,2.0607039917378644,2.071944880498374,0.005454877947331829,0.552901810404292,8.736713285781152,35098.1003722309,0.0004742301782985421,0.12450011812760431,0.004384579200703219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,256.0,680.0,5.925526350494621e-05,0.00361689856674689
2,0.0009495358161843602,0.014882787569258234,8.20236251719609,0.14187334838910673,2.064834149481238,2.0910136742756995,0.012678754272365592,0.5528969514322493,8.61601598514705,35048.160808070934,0.00047530563788581804,0.12447811185449147,0.0043225419206109035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,256.0,680.0,2.8789762818408173e-05,0.0017764893894182073
3,0.0014258818166951327,0.01474092732478149,8.20193013569025,0.13990375972896618,2.071808429576691,2.1097373673972153,0.018307164542367412,0.5529069742523298,8.495427510131828,35000.64523151781,0.00047634600051077246,0.12445346988734483,0.004275352170253973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,256.0,680.0,5.493652253197961e-08,3.3673692642515557e-06
4,0.00190324597454852,0.014619262181631612,8.201533210746632,0.13793627041757878,2.081031998368192,2.1283150228013423,0.022720950216155535,0.5529322754852444,8.375001656233207,38543.853751713556,0.0004773641578533874,0.12442636727535791,0.004238671618816551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,256.0,680.0,0.00010364768742296961,0.006515066898311788
5,0.0023816152092896886,0.01451175519613904,8.201169323061961,0.1359718215215077,2.0920585822478945,2.146902197560039,0.026215143197957414,0.5529732446148079,8.254795003172243,42991.72431183444,0.00047836923474116837,0.12439702666712861,0.004208897666145406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,256.0,680.0,7.620557432418e-05,0.004829181002422807
6,0.0028609831955488368,0.01441331487574534,8.200836407811222,0.13401140711042675,2.104554440642771,2.1656200961354126,0.02901595431002062,0.5530302633635418,8.13486714757042,48730.620372523066,0.000479367986259148,0.12436562416589622,0.004182974193144615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,256.0,680.0,4.9635921196290034e-05,0.0031695248389767535
7,0.0033413486331279646,0.014921798810617464,8.204577027518093,0.1483492855550469,2.100814627364618,2.014617707364148,0.04103023602258545,0.5529445838257534,9.012695321271467,60261.826337874256,0.00048036543757912784,0.1253501075061661,0.004185430113768999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,257.0,682.0,1.5662482167604878e-05,0.0009111178521905143
8,0.0038130121195085664,0.014654408261902497,8.203937916168014,0.14638056006907987,2.0865898237871128,2.037806176150907,0.023379605843023135,0.5529024949100227,8.892112088533892,35191.00413774589,0.00047166348638060185,0.12452945627005428,0.004073017977102616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,256.0,680.0,0.00011583674577991557,0.006869964792210614
9,0.0042858990452277704,0.01445417982143148,8.203367758093437,0.14441077874389113,2.079415542005208,2.059457213966816,0.00959804696811386,0.5528741080559703,8.771423840424905,35130.78709307817,0.0004728869257192038,0.12451628795399736,0.003998559087176692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,256.0,680.0,7.87145996836459e-05,0.00474409036789137
