run,path,deadrise_deg,outer_panel_count,kinematic_integral_linear_exact,root_relative_mismatch,body_vertical_force_coefficient,solved_dipole_coefficient,bem_condition_number,finite,reference_used_during_solve,checkpoint_sha256,outer_nodes_sha256
self_similar_wedge_12p5deg_n320_globaldct192_direction_reuse12_v873,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\self_similar_wedge_12p5deg_n320_globaldct192_direction_reuse12_v873,12.5,320,0.0009828191468656353,9.820616443756838e-07,49.039287636550945,7.999397986815974,253122.54446999473,True,False,88c24820ba7c6b0e12a9b9226decc930a53a610dec964302f65dff9444490b8f,7a010f76508f09c397d184ac4a6e86fe0be4679168e8179f24db5b3b7c1b792b
self_similar_wedge_12p5deg_n640_mapped_v872_direction_v875,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\self_similar_wedge_12p5deg_n640_mapped_v872_direction_v875,12.5,640,0.0009757449045483612,1.1110741116419131e-07,49.04320267988208,7.998299443617291,572641.5148886244,True,False,d379f1da20ad29c8237a7caebb5abdbaf60003df7429040ba68ba27747175f3c,2fd6002ae2ea47631140aefaa9151c4203ba26e3a49aa3a114c2b0fe0c08b4f4
self_similar_wedge_12p5deg_n1280_mapped_v872_direction_reuse_pass_v882,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\self_similar_wedge_12p5deg_n1280_mapped_v872_direction_reuse_pass_v882,12.5,1280,0.0009969300780202828,1.9022572292384898e-08,49.06267650310354,7.99959943069475,1384972.9474412275,True,False,6a3f8480f4a10d1fccb058ce7b2f92635128fefb42be67584575445155534d37,c772f750c7b13a2a8f108e773d219afa87f3f39dfffd0e62f3231fd82b127488
