matrix_contract,grid_label,omega_e_sqrt_l_over_g,solver_omega_rad_s,solver_frequency_role,encounter_omega_rad_s,encounter_frequency_role,speed_mps,fn_l,row_dof,col_dof,source_row_index_zero_based,source_col_index_zero_based,added_mass_coefficient,radiation_damping_coefficient,added_mass_dimensional,added_mass_unit,added_mass_nondimensional,radiation_damping_dimensional,radiation_damping_unit,radiation_damping_nondimensional,complex_force_real,complex_force_imag,force_harmonic_convention,matrix_reconstruction_relative_residual,provider_route,force_assembly_route,station_x_origin,pitch_moment_origin,geometry_vertical_axis,reported_heave_force_axis,pitch_lever_expression,added_mass_reference_value,added_mass_reference_status,damping_reference_value,damping_reference_status,empirical_output_scaling_used
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,heave,2,2,A33,B33,84.67246086042078,kg,1.0590676780540436,271.95622837833474,kg/s,1.8813986628426318,1107.137584395794,-983.3966298982714,F=omega^2*A-i*omega*B,1.559242152906916e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,1.07,PASS,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,pitch,2,4,A35,B35,-40.29974564123539,kg*m,-0.1680206197258094,89.31524566166429,kg*m/s,0.2059615558495307,-526.940667456828,-322.96488337832085,F=omega^2*A-i*omega*B,1.559242152906916e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,,NO_REFERENCE_AT_FREQUENCY,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,heave,4,2,A53,B53,44.576037497583584,kg*m,0.18584964560176603,-70.61872765188366,kg*m/s,-0.16284725985520185,582.8554641675707,255.35807432935653,F=omega^2*A-i*omega*B,1.559242152906916e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.19,PASS,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,pitch,4,4,A55,B55,33.97486396086694,kg*m^2,0.047216821570241034,105.48441312395012,kg*m^2/s,0.0810825881738146,444.239466215781,-381.4327658220803,F=omega^2*A-i*omega*B,1.559242152906916e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,,NO_REFERENCE_AT_FREQUENCY,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,heave,2,2,A33,B33,74.248859573556,kg,0.9286911766548593,295.59071653338475,kg/s,2.044902527699964,1206.9768336004304,-1191.777998851681,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.941,PASS,2.05,PASS,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,pitch,2,4,A35,B35,-30.60281134406587,kg*m,-0.1275914585952298,69.0611506164641,kg*m/s,0.1592554767593378,-497.47409653800474,-278.4443329118841,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,-0.125,PASS,0.163,PASS,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,heave,4,2,A53,B53,34.27030000126369,kg*m,0.14288221805821844,-46.87292358635844,kg*m/s,-0.10808927633287838,557.092168413504,188.98468709442307,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.145,PASS,-0.106,PASS,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,pitch,4,4,A55,B55,31.39471554637533,kg*m^2,0.04363104099280846,89.79354466245275,kg*m^2/s,0.06902150551833151,510.34715657027976,-362.03427571288614,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.0458,PASS,0.0703,PASS,False
heave_pitch_2x2_v1,refined,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,heave,2,2,A33,B33,84.77234267187045,kg,1.0603169815118254,271.97473403017244,kg/s,1.8815266853145938,1108.4435923507976,-983.4635465332011,F=omega^2*A-i*omega*B,3.115227196255225e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,1.07,PASS,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,refined,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,pitch,2,4,A35,B35,-40.03672849760781,kg*m,-0.16692402959186078,89.81140831399419,kg*m/s,0.2071057102553239,-523.5015780280875,-324.759012834712,F=omega^2*A-i*omega*B,3.115227196255225e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,,NO_REFERENCE_AT_FREQUENCY,,NO_REFERENCE_AT_FREQUENCY,False
