coefficient,omega_e_sqrt_l_over_g,base_value,base_gate_status,refined_value,refined_gate_status,absolute_change,relative_change,relative_change_limit,finite,status
A33,2.0,1.0590676780540436,PASS,1.0603169815118254,PASS,0.0012493034577818474,0.0011782358290636451,0.02,True,PASS
A33,2.23,0.9286911766548593,PASS,0.9301845466084048,PASS,0.0014933699535454314,0.0016054555614694814,0.02,True,PASS
A35,2.23,-0.1275914585952298,PASS,-0.1264977169660903,PASS,0.0010937416291394997,0.008646334932927638,0.02,True,PASS
A53,2.0,0.18584964560176603,PASS,0.186630836199343,PASS,0.0007811905975769751,0.004185753080710492,0.02,True,PASS
A53,2.23,0.14288221805821844,PASS,0.14372720078906961,PASS,0.0008449827308511793,0.005879073176212862,0.02,True,PASS
A55,2.23,0.04363104099280846,PASS,0.04399079244617599,PASS,0.00035975145336752945,0.008177880719191311,0.02,True,PASS
B33,2.23,2.044902527699964,PASS,2.0446823498137836,PASS,0.00022017788618056144,0.00010768317445524671,0.02,True,PASS
B35,2.23,0.1592554767593378,PASS,0.16090549519753886,PASS,0.0016500184382010619,0.010254581027051833,0.02,True,PASS
B53,2.23,-0.10808927633287838,PASS,-0.1087778896832713,PASS,0.0006886133503929276,0.00633045329706215,0.02,True,PASS
B55,2.23,0.06902150551833151,PASS,0.06921522111321068,PASS,0.00019371559487917078,0.002798742700862332,0.02,True,PASS
