frequency_index,term,F3_real,F3_imag,M5_real,M5_imag
0,rigid_inertia,255.66020119056998,-1656.5689688597813,1310.3536182920866,283.4215871661438
0,added_inertia,1394.8316294023634,-3212.740428151294,1756.113533873874,-52.09403265290416
0,radiation_damping,-1287.2720715306016,1135.329429769098,-659.436648881091,-242.10603001622474
0,restoring,49.426179768544586,980.6326057610513,-403.1474796830568,121.62152457197334
1,rigid_inertia,214.60763229963842,-2220.720408063442,1515.9562235603148,-47.397360152712906
1,added_inertia,1872.5418044236394,-4927.266545296215,2124.232018410239,-451.0877122073197
1,radiation_damping,-1855.327239044256,1352.914955497076,-1062.3759655008535,-220.47165182677492
1,restoring,151.95965382278342,1842.9311606682027,-672.3805870656818,418.81198510723164
2,rigid_inertia,-485.26482626110277,-2938.594894649068,1864.217810987821,-735.4847885598107
2,added_inertia,1521.6256040572553,-8361.868060527593,2753.618888624062,-1190.3871311346186
2,radiation_damping,-2110.693436104979,2953.401091229834,-1962.8251167002124,7.815790844057176
2,restoring,1252.0115626432396,3533.259043048693,-1067.247390028271,1288.0811017166948
3,rigid_inertia,-1740.3899051283781,-3375.1081920923248,2067.502257174835,-1604.551585689647
3,added_inertia,-878.8967945296617,-11866.65398592229,3404.9071891434564,-2391.059580133568
3,radiation_damping,-1056.5436475381962,5311.134988980122,-3007.145778465381,749.8351323581657
3,restoring,3723.2790798389296,4822.94924477649,-1078.946860788883,2497.788306825949
4,rigid_inertia,-4559.11110923378,-2131.2937458462047,1134.7156969852713,-3329.0905843600035
4,added_inertia,-10468.351366323523,-13307.388643438175,2703.434786855455,-5716.148992149639
4,radiation_damping,4759.638171110497,7480.0396604984435,-3525.9062907459256,3750.558743367224
4,restoring,10187.296071906292,2643.5911014351636,866.5196906321235,4461.529009960885
5,rigid_inertia,-3422.5466933015778,2102.3684152455307,-1459.9342648114518,-2357.85291105956
5,added_inertia,-14070.959591943432,330.6931969433317,-2368.3025955834737,-5595.346388402312
5,radiation_damping,8938.82024926483,-409.56263089712184,766.3050742775858,5060.202109705766
5,restoring,8356.91988806539,-7474.259013464136,4035.557853741074,2002.7144659947146
6,rigid_inertia,-957.435987702089,1936.5195970842321,-1206.6477222603185,-770.0845584716493
6,added_inertia,-6576.334261976965,3945.224432441818,-3037.5561860426055,-2745.5022143733954
6,radiation_damping,4870.95002064408,-3527.075799145018,2034.4378128976255,2706.308371544502
6,restoring,2365.5575960887845,-7881.875728761775,2988.470529639511,-114.67654698256774
7,rigid_inertia,-257.53622998372975,1222.54613876964,-713.2125239460681,-313.89120615838726
7,added_inertia,-3172.996420858128,3081.385802734607,-2571.233604463771,-1655.7487598707903
7,radiation_damping,2698.912639510115,-3261.9664624254065,1799.7948427226913,1566.4657338983911
7,restoring,358.5977995958108,-6598.571635980801,2087.5787082021125,-535.8294547215136
