frequency_index,omega_e_rad_s,i,j,A,B,C,M
0,16.733999999999998,3,3,66.92793317146608,331.9689186297432,5172.462057024546,32.60032733
0,16.733999999999998,3,5,7.356522528437405,-182.6687660279735,-460.049846202537,0.0
0,16.733999999999998,5,3,8.225573457104828,226.83570701222345,1113.5850944364274,0.0
0,16.733999999999998,5,5,14.304408123778202,19.216490197597736,880.780322777691,11.080492655866367
1,13.7884,3,3,71.6897554309022,385.271602337619,5172.462057024546,32.60032733
1,13.7884,3,5,10.237390681451751,-154.88850321418903,-460.049846202537,0.0
1,13.7884,5,3,5.664128377857731,214.29266053159915,1113.5850944364274,0.0
1,13.7884,5,5,15.253989321343557,11.908693029807116,880.780322777691,11.080492655866367
2,11.1048,3,3,80.83874411098735,378.888579271289,5172.462057024546,32.60032733
2,11.1048,3,5,16.19638784812177,-161.4155220062538,-460.049846202537,0.0
2,11.1048,5,3,1.0832875534338522,227.37642884368145,1113.5850944364274,0.0
2,11.1048,5,5,16.462736810427117,19.60119234647123,880.780322777691,11.080492655866367
3,9.86,3,3,86.5660637641955,352.2260261022112,5172.462057024546,32.60032733
3,9.86,3,5,20.057354933277807,-179.88147559217705,-460.049846202537,0.0
3,9.86,5,3,-1.7344468728255737,244.1221494459916,1113.5850944364274,0.0
3,9.86,5,5,17.75188169217556,30.222765176321914,880.780322777691,11.080492655866367
4,8.6966,3,3,92.54278206425406,314.20232016611675,5172.462057024546,32.60032733
4,8.6966,3,5,24.154982683050658,-206.14049050178969,-460.049846202537,0.0
4,8.6966,5,3,-4.6572745282570125,265.63946165747075,1113.5850944364274,0.0
4,8.6966,5,5,20.038953664388796,44.25696297520013,880.780322777691,11.080492655866367
5,7.5978,3,3,98.51068899136631,268.7086764538647,5172.462057024546,32.60032733
5,7.5978,3,5,28.300631553939628,-237.7264799355305,-460.049846202537,0.0
5,7.5978,5,3,-7.5645597639368,290.1789911346477,1113.5850944364274,0.0
5,7.5978,5,5,24.002249024112597,60.58077044137059,880.780322777691,11.080492655866367
6,6.560399999999999,3,3,104.19397550905772,219.94991613691784,5172.462057024546,32.60032733
6,6.560399999999999,3,5,32.28947023977966,-271.8012535701712,-460.049846202537,0.0
6,6.560399999999999,5,3,-10.326028848554122,315.79261352916484,1113.5850944364274,0.0
6,6.560399999999999,5,5,30.67832879440222,77.87059206159894,880.780322777691,11.080492655866367
7,5.601,3,3,109.27498315123336,172.6714563729943,5172.462057024546,32.60032733
7,5.601,3,5,35.884278003254714,-305.0398138450233,-460.049846202537,0.0
7,5.601,5,3,-12.790479151818746,340.2345393649968,1113.5850944364274,0.0
7,5.601,5,5,41.5165640628323,94.55210559262589,880.780322777691,11.080492655866367
