configuration,running_trim_deg,keel_wetted_length_m,mean_wetted_length_over_b,matrix,row_dof,column_dof,value,matrix_contract
FnB=1.67,3.972,1.49,2.805984949095208,rigid_mass,heave,heave,32.60032733,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,rigid_mass,pitch,pitch,11.080492655866367,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,added_mass,heave,heave,69.04284036216406,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,added_mass,heave,pitch,-9.871856036026127,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,added_mass,pitch,heave,-9.871856036026127,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,added_mass,pitch,pitch,8.962606427974311,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,radiation_damping,heave,heave,369.15593399233614,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,radiation_damping,heave,pitch,-384.90185360847084,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,radiation_damping,pitch,heave,72.09734030657567,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,radiation_damping,pitch,pitch,104.65886887484777,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,restoring,heave,heave,3802.1473370820772,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,restoring,heave,pitch,-1146.0577799823568,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,restoring,pitch,heave,450.0815468911,heave_pitch_2x2_v1
FnB=1.67,3.972,1.49,2.805984949095208,restoring,pitch,pitch,489.4729516052187,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,rigid_mass,heave,heave,32.60032733,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,rigid_mass,pitch,pitch,11.080492655866367,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,added_mass,heave,heave,58.23162340715469,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,added_mass,heave,pitch,-13.25449835913348,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,added_mass,pitch,heave,-13.25449835913348,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,added_mass,pitch,pitch,7.667281016415077,heave_pitch_2x2_v1
FnB=2.26,4.174,1.3,2.3921433109895345,radiation_damping,heave,heave,462.48229270944694,heave_pitch_2x2_v1
