frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,fn_b,speed_mps,lambda_over_l
0,5.655284970861961,16.74364272255437,3.2612816916742378,1.9265999999999999,0.01,0.009386600272979793,-0.009298853604834316,0.049163027765403544,0.017715010457973617,0.013212756830005027,0.05225729513271764,0.01602354536442708,0.06957455236430894,45.26905831821631,109.81571262252226,99.94214683923019,-45.26905831821631,109.81571262252226,3.704190717218378,19.505195951025392,0.0037772233303099206,0.019889764548572032,6.09334234511816,3.6930495445764413e-16,0.013995610492069628,0.3166142589302131,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.014
1,5.620244580566254,16.571620136368367,3.2209928105300336,1.9506983333333334,0.01,0.008724817684080304,-0.009095964693165051,0.047592396854633866,0.018199307499819066,0.012603928646249374,0.05095342021731156,0.015819166081568144,0.0672082018106136,43.80689394159651,110.92682776032507,100.97731020345475,-43.80689394159651,110.92682776032507,3.461273163004635,18.45662188274132,0.003529516361861222,0.01882051657063454,6.113215001577189,1.7805259483336497e-16,0.02665369519297985,0.3278739711187729,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.0266833333333334
2,5.585847557002136,16.403584089072403,3.181687215314785,1.9747966666666668,0.01,0.008050537394960438,-0.008764074943587564,0.04578322530841196,0.01871508454655784,0.011900426965637652,0.049460672349106026,0.015545422601892235,0.0646079018628492,42.5700791956815,112.23356657839884,102.28795154976547,-42.5700791956815,112.23356657839884,3.2021379813871707,17.384537298547176,0.003265272015812913,0.017727294538448072,6.133577997341146,1.635051280023325e-16,0.03927383644233807,0.3389410362575901,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.0393666666666668
3,5.552074450332887,16.23939421670911,3.1433293430518296,1.9988949999999999,0.01,0.007362716524014725,-0.008300441248102725,0.043738274665450806,0.019262418336011142,0.01109535576384122,0.04779202266970832,0.015204268294491688,0.061796176904742234,41.57389542450284,113.76878281791187,103.925860426712,-41.57389542450284,113.76878281791187,2.926044193914306,16.296759516940707,0.0029837347044243505,0.01661806989842679,6.1544438050125505,7.17030587829714e-17,0.051840678746535564,0.349814767996201,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.05205
4,5.518906624083483,16.07891673010324,3.105885325299929,2.022993333333333,0.01,0.006660168269862819,-0.007702480726567557,0.041460159144588914,0.019841254133875726,0.010182634763460397,0.045963247947677505,0.01479875885090475,0.058802722831349456,40.849261860294035,115.57400235941446,105.95775693745026,-40.849261860294035,115.57400235941446,2.632532483030501,15.202359854804465,0.0026844360541372443,0.015502092819468898,6.17582528925406,1.7892827126420474e-16,0.06434045463354054,0.3604950129221303,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.0647333333333333
5,5.486326211925033,15.92202403252935,3.0693228884130344,2.0470916666666668,0.01,0.005941571415295437,-0.0069677495737195125,0.0389513271875214,0.02045141215146171,0.009157063121171781,0.0439939330892147,0.0143334327109395,0.05566727658646427,40.45504334316621,117.70173909253555,108.46941042261864,-40.45504334316621,117.70173909253555,2.32141484887276,14.112258565231839,0.0023671843584432604,0.014390498860703543,6.197735720873264,6.016793286635184e-17,0.07676085680614177,0.3709820890156251,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.0774166666666667
6,5.45431607723286,15.768594363826843,3.033611260762936,2.07119,0.01,0.005205478330576238,-0.006093923370336715,0.03621404570619619,0.02109259314680871,0.008014543448858128,0.0419088844049477,0.013814849960178436,0.052443726121534744,40.504218874114486,120.21833271283589,111.57020768103439,-40.504218874114486,120.21833271283589,1.9928047534227156,13.040057411764801,0.0020320953163646257,0.01329715796093957,6.220188791512292,1.0187157435583628e-16,0.08909091913558503,0.3812767299824449,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.0901
7,5.422859775210269,15.618511468848578,2.998721086364209,2.0952883333333334,0.01,0.0044503215875508215,-0.005078778766023568,0.033250386654751704,0.02176438322986554,0.006752729521225675,0.039740113110897694,0.013252353909006084,0.0492058889145112,41.22672950095239,123.20716597768353,115.39695762953716,-41.22672950095239,123.20716597768353,1.6472466620694117,12.003181234167785,0.0016797241280859536,0.01223983851179331,6.243198628968063,7.686935229462733e-17,0.10132090608094489,0.39138003495199986,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.1027833333333334
8,5.391941517387847,15.471664288320284,2.9646243443918934,2.1193866666666663,0.01,0.003674419286214409,-0.003920176442767918,0.030062215590402886,0.022466257892461115,0.005373001063962014,0.037529582330402156,0.012659135853551206,0.0460552718126408,43.146585204786874,126.77169669852196,120.11368828585393,-43.146585204786874,126.77169669852196,1.2861481375877934,11.024360755337145,0.0013115061081896402,0.011241719399934886,6.266779813169953,2.32093882451874e-16,0.1134422100990699,0.40129342306686006,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.1154666666666666
9,5.361546138324173,15.327946670359896,2.931294274128154,2.143485,0.01,0.002875979185676408,-0.0026160452710847497,0.026651181927237873,0.023197585283016357,0.0038877948938709226,0.035332894886798444,0.012053683998447206,0.04313044709391881,47.70974952370398,131.03679621060365,125.90024257373983,-47.70974952370398,131.03679621060365,0.9134216613609273,10.133323828856,0.0009314308773749725,0.010333114599640042,6.290947392842892,7.73489233747086e-17,0.125447256600573,0.41101859252668527,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.12815
