,,rms_difference,rms_difference,relative_rms,relative_rms,reflection_residual,reflection_residual
,,median,max,median,max,median,max
case,field,,,,,,
free_surface_fn167,elevation_local,0.0034406673321454883,0.01589163035332055,0.039824263761968196,3.1597987705686603,6.745233057960568e-15,1.1320056306385985e-14
free_surface_fn167,normal_derivative_local,0.18960986993643147,0.9574163974401563,0.13440828168583577,0.6017957067953057,2.3663457730534867e-13,7.315571473756632e-13
free_surface_fn167,phi_local,0.0015506229063846166,0.003362232371725442,0.014859725944273459,3.1597987705686625,7.368569535002364e-15,1.643889428558636e-14
free_surface_fn226,elevation_local,0.0026835306097921195,0.015284012293846704,0.042466209511262815,4.913293138423144,6.202688089373156e-15,1.3086628810764637e-14
free_surface_fn226,normal_derivative_local,0.1724258091046372,0.9529589414453732,0.12415567485963445,0.6027828473089177,2.2938056730340313e-13,4.259600362773001e-13
free_surface_fn226,phi_local,0.0005430930096632009,0.00295595952134628,0.015353896282597979,4.913293138423146,2.809215289030219e-15,1.2825358657371927e-14
free_surface_fn282,elevation_local,0.0012588853860477825,0.01243796988838087,0.043455085878388436,7.346325663158006,5.696861476186531e-15,1.2635586715532696e-14
free_surface_fn282,normal_derivative_local,0.16294912032351955,0.6416487726361758,0.10629135598670644,0.48372352537881186,1.7904080373671445e-13,3.87836101934724e-13
free_surface_fn282,phi_local,0.0002984648543260138,0.0019071696093373512,0.01654210049923225,7.346325663158008,9.459268290533357e-16,9.458585439727834e-15
