pair,case,mode,component,absolute_change,dimensionless_change,tolerance,passed
coarse_mid,fn167,3,original,1.1599439702544312,0.00014682394148639912,0.033611741436709724,True
coarse_mid,fn167,3,delta,0.4645937868580117,5.8807574094827024e-05,0.001,True
coarse_mid,fn167,3,candidate,0.8507276881116335,0.00010768381534218756,0.034343233580834784,True
coarse_mid,fn167,3,normal,0.024725355641601658,3.1296978673518493e-06,0.001,True
coarse_mid,fn167,3,tangent,0.4670265658734982,5.9115511558169135e-05,0.0017976764975108671,True
coarse_mid,fn167,5,original,0.1933493578347638,1.288098278844011e-05,0.004792894222430578,True
coarse_mid,fn167,5,delta,0.2992612713047448,1.9936861068953817e-05,0.001,True
coarse_mid,fn167,5,candidate,0.10615646059331289,7.072170071300483e-06,0.004835976519524523,True
coarse_mid,fn167,5,normal,0.022586146475631893,1.5046947518617138e-06,0.001,True
coarse_mid,fn167,5,tangent,0.28456707021337435,1.8957929701053567e-05,0.001,True
coarse_mid,fn226,3,original,0.8816210331144643,0.00011159424791077088,0.03021827150483828,True
coarse_mid,fn226,3,delta,0.31677071237314897,4.009635441949702e-05,0.001204591140515186,True
coarse_mid,fn226,3,candidate,0.6142968319563231,7.775675758774089e-05,0.031173115309920098,True
coarse_mid,fn226,3,normal,0.038595934563807825,4.885414626334415e-06,0.00129173672602529,True
coarse_mid,fn226,3,tangent,0.3209959477817181,4.063117828366862e-05,0.0024963265616784426,True
coarse_mid,fn226,5,original,0.3106555106562102,2.0695948156789e-05,0.0027299789678451795,True
coarse_mid,fn226,5,delta,0.13278813306281861,8.84637878111291e-06,0.001,True
coarse_mid,fn226,5,candidate,0.1780769254607123,1.186352950723556e-05,0.002693516756703668,True
coarse_mid,fn226,5,normal,0.03010096383402771,2.005333772005195e-06,0.001,True
coarse_mid,fn226,5,tangent,0.10845306339498026,7.225170326855724e-06,0.001,True
coarse_mid,fn282,3,original,0.5448525362896062,6.896660438637742e-05,0.027542471576763723,True
coarse_mid,fn282,3,delta,0.29824073576321336,3.7750858196153786e-05,0.001526365395458919,True
coarse_mid,fn282,3,candidate,0.2503999842318524,3.1695248715322426e-05,0.028657784998419634,True
coarse_mid,fn282,3,normal,0.02975763619092232,3.7666762765370225e-06,0.0016123201813720966,True
coarse_mid,fn282,3,tangent,0.2995491546038407,3.791647586064652e-05,0.0031386841878807505,True
coarse_mid,fn282,5,original,0.13528695764161408,9.01285110225867e-06,0.0016023341601941127,True
coarse_mid,fn282,5,delta,0.09466469484790399,6.306585750602092e-06,0.001,True
coarse_mid,fn282,5,candidate,0.04067999147624101,2.710111250988272e-06,0.00146123354503568,True
coarse_mid,fn282,5,normal,0.02121842904366415,1.4135770729724882e-06,0.001,True
coarse_mid,fn282,5,tangent,0.07482216350277682,4.98467132793256e-06,0.001,True
mid_fine,fn167,3,original,1.7224229450054165,0.00021802167361310994,0.03362258063319776,True
mid_fine,fn167,3,delta,0.8591250199524382,0.00010874673681982216,0.001,True
mid_fine,fn167,3,candidate,1.0844523732935936,0.00013726833009556477,0.034349726715418964,True
mid_fine,fn167,3,normal,0.029907732308269385,3.785675214516645e-06,0.001,True
mid_fine,fn167,3,tangent,0.8568984439074447,0.00010846490021449593,0.0017923126731100665,True
mid_fine,fn167,5,original,0.6215321257181406,4.140662634462866e-05,0.00479303390070435,True
mid_fine,fn167,5,delta,0.5905395153405794,3.934189085591104e-05,0.001,True
mid_fine,fn167,5,candidate,0.048757649678679155,3.24824686954785e-06,0.0048361115813040974,True
mid_fine,fn167,5,normal,0.026324777713199698,1.753763304055151e-06,0.001,True
mid_fine,fn167,5,tangent,0.568832696096022,3.789577710507111e-05,0.001,True
mid_fine,fn226,3,original,1.0855597635707244,0.0001374085018706001,0.03022445150359508,True
mid_fine,fn226,3,delta,0.6326531187102243,8.008026841358809e-05,0.0012006020384871966,True
mid_fine,fn226,3,candidate,0.5168630739829798,6.54237408676831e-05,0.031176381354793337,True
mid_fine,fn226,3,normal,0.031145948623059833,3.942406750187648e-06,0.0012917732779480027,True
mid_fine,fn226,3,tangent,0.6302346860407183,7.977414688887473e-05,0.0024923738333516793,True
mid_fine,fn226,5,original,0.3695949301445999,2.4622507088727158e-05,0.002729484300477869,True
mid_fine,fn226,5,delta,0.313338697878824,2.087470276357796e-05,0.001,True
mid_fine,fn226,5,candidate,0.0844988930858526,5.629337483558019e-06,0.002693272673741951,True
mid_fine,fn226,5,normal,0.02416273885400826,1.6097277321502084e-06,0.001,True
mid_fine,fn226,5,tangent,0.2911413218736088,1.9395907998114807e-05,0.001,True
mid_fine,fn282,3,original,1.0419594817411044,0.00013188964458757247,0.027546672074891178,True
mid_fine,fn282,3,delta,0.5485841889184935,6.943895129388463e-05,0.001522907955387845,True
mid_fine,fn282,3,candidate,0.4935799609372008,6.247659987198066e-05,0.02865981341445389,True
mid_fine,fn282,3,normal,0.03341554908291153,4.229689320432551e-06,0.0016123609015843512,True
mid_fine,fn282,3,tangent,0.5462455095727424,6.91429248234503e-05,0.0031352675839849326,True
mid_fine,fn282,5,original,0.23219418228434463,1.5468834751117094e-05,0.0016019158776925042,True
mid_fine,fn282,5,delta,0.18510320685340997,1.233162213862367e-05,0.001,True
mid_fine,fn282,5,candidate,0.048507077190037884,3.231553667410592e-06,0.0014612030600876418,True
mid_fine,fn282,5,normal,0.023526424039669935,1.567336279376282e-06,0.001,True
mid_fine,fn282,5,tangent,0.1619293301949679,1.0787772654344927e-05,0.001,True
