case,field,region,integrated_discrepancy_sq,integrated_reference_sq,discrepancy_share
free_surface_fn167,elevation_local,control,3.140366661258104e-08,0.00021069631065166684,0.0016955665620255922
free_surface_fn167,elevation_local,interior,1.922091652534954e-06,0.04332612259148318,0.10377878403157981
free_surface_fn167,elevation_local,waterline,1.6567550870313143e-05,0.04074612495345874,0.8945256494063947
free_surface_fn167,normal_derivative_local,control,1.5380840264805076e-06,0.007809177441957171,7.149084433166509e-05
free_surface_fn167,normal_derivative_local,interior,0.00018330661739527547,1.3945363412278982,0.00852017485621798
free_surface_fn167,normal_derivative_local,waterline,0.021329574954120786,5.246391282455068,0.9914083342994503
free_surface_fn167,phi_local,control,2.9124094510995062e-08,0.00033763245009495977,0.002173113113219187
free_surface_fn167,phi_local,interior,6.322848774659487e-06,0.08952993208933868,0.4717834430844575
free_surface_fn167,phi_local,waterline,7.0500421174546115e-06,0.1350356281470011,0.5260434438023233
free_surface_fn226,elevation_local,control,3.805905554277581e-09,3.9403958648884e-05,0.0003994238905073252
free_surface_fn226,elevation_local,interior,5.054055549544508e-07,0.013275310370799586,0.05304152984485678
free_surface_fn226,elevation_local,waterline,9.019276055457176e-06,0.03466802771268521,0.9465590462646358
free_surface_fn226,normal_derivative_local,control,6.128497926173365e-07,0.0029761871368393796,3.99201872683996e-05
free_surface_fn226,normal_derivative_local,interior,1.9364636596109553e-05,0.8633303661616503,0.001261385625994466
free_surface_fn226,normal_derivative_local,waterline,0.015331899209401773,4.964782085782718,0.9986986941867372
free_surface_fn226,phi_local,control,2.429044168685292e-09,2.9907149680146854e-05,0.0006415871448779001
free_surface_fn226,phi_local,interior,6.122979101295385e-07,0.010789676646578754,0.16172718184344081
free_surface_fn226,phi_local,waterline,3.171265623759993e-06,0.04284827625814173,0.8376312310116814
free_surface_fn282,elevation_local,control,1.532463117170024e-09,1.1850413900569229e-05,0.00033254632551094786
free_surface_fn282,elevation_local,interior,1.514603326103804e-07,0.004511772383239168,0.03286707295328649
free_surface_fn282,elevation_local,waterline,4.455276788413662e-06,0.023707475609647775,0.9668003807212024
free_surface_fn282,normal_derivative_local,control,4.064788003466733e-07,0.0015147595170034512,3.385350660892977e-05
free_surface_fn282,normal_derivative_local,interior,1.1386825574621611e-05,0.5601562734520518,0.0009483495191296959
free_surface_fn282,normal_derivative_local,waterline,0.01199519920727975,4.855813665196113,0.9990177969742614
free_surface_fn282,phi_local,control,1.2290255959509948e-09,5.033884949155866e-06,0.0008744469498552223
free_surface_fn282,phi_local,interior,1.0398544734782783e-07,0.001955614828771921,0.07398524291292671
free_surface_fn282,phi_local,waterline,1.3002745577566865e-06,0.013201209553343939,0.9251403101372181
