case,field,x,region,discrepancy_sq,reference_sq
free_surface_fn167,phi_local,1.7902623815836317e-05,waterline,1.7502298766494864e-06,0.2783256800517946
free_surface_fn167,phi_local,1.7902623815836317e-05,interior,1.4766095291691747e-05,0.33964425273497445
free_surface_fn167,phi_local,1.7902623815836317e-05,control,1.596823415927478e-07,0.00153450048248373
free_surface_fn167,phi_local,0.021330123770672976,waterline,1.8798515108291335e-06,0.2743330850084219
free_surface_fn167,phi_local,0.021330123770672976,interior,1.459184293446219e-05,0.3197584039500575
free_surface_fn167,phi_local,0.021330123770672976,control,1.440926149649847e-07,0.001409905509208323
free_surface_fn167,phi_local,0.04264234491753012,waterline,1.970011572864989e-06,0.27012363567186115
free_surface_fn167,phi_local,0.04264234491753012,interior,1.4384145041220314e-05,0.30048186392382215
free_surface_fn167,phi_local,0.04264234491753012,control,1.297120967120512e-07,0.0012939526363420625
free_surface_fn167,phi_local,0.06395456606438725,waterline,2.03930739410018e-06,0.2656894463831024
free_surface_fn167,phi_local,0.06395456606438725,interior,1.4142517055767283e-05,0.28183707018674087
free_surface_fn167,phi_local,0.06395456606438725,control,1.1647448737998146e-07,0.0011861556077203696
free_surface_fn167,phi_local,0.0852667872112444,waterline,2.1182485224361313e-06,0.2610241959391257
free_surface_fn167,phi_local,0.0852667872112444,interior,1.3867307319762269e-05,0.2638438748120543
free_surface_fn167,phi_local,0.0852667872112444,control,1.0431619565026891e-07,0.0010860476821791497
free_surface_fn167,phi_local,0.10657900835810154,waterline,2.2399826485373114e-06,0.2561231275288136
free_surface_fn167,phi_local,0.10657900835810154,interior,1.3559607950953516e-05,0.24651931729987892
free_surface_fn167,phi_local,0.10657900835810154,control,9.317606065116406e-08,0.0009931813768480713
free_surface_fn167,phi_local,0.12789122950495868,waterline,2.43076750419827e-06,0.25098307312838397
free_surface_fn167,phi_local,0.12789122950495868,interior,1.3221147361092385e-05,0.22987744495312148
free_surface_fn167,phi_local,0.12789122950495868,control,8.299507010483528e-08,0.0009071281724414261
free_surface_fn167,phi_local,0.14920345065181584,waterline,2.7027581182733685e-06,0.24560250759260227
free_surface_fn167,phi_local,0.14920345065181584,interior,1.2854172213061326e-05,0.2139291823440467
free_surface_fn167,phi_local,0.14920345065181584,control,7.371609491458395e-08,0.0008274781834590072
free_surface_fn167,phi_local,0.17051567179867297,waterline,3.050831138851831e-06,0.23998162867747524
free_surface_fn167,phi_local,0.17051567179867297,interior,1.2461326182545209e-05,0.19868225016646657
free_surface_fn167,phi_local,0.17051567179867297,control,6.528366056930127e-08,0.0007538397964276532
free_surface_fn167,phi_local,0.1918278929455301,waterline,3.4539503421611857e-06,0.23412245300096382
free_surface_fn167,phi_local,0.1918278929455301,interior,1.2045532164579382e-05,0.18414113258631604
free_surface_fn167,phi_local,0.1918278929455301,control,5.764377344990868e-08,0.0006858392795190735
free_surface_fn167,phi_local,0.21314011409238726,waterline,3.880358229259775e-06,0.22802891577380047
free_surface_fn167,phi_local,0.21314011409238726,interior,1.1609883565510906e-05,0.1703070911663039
free_surface_fn167,phi_local,0.21314011409238726,control,5.074381563542692e-08,0.0006231203670483772
free_surface_fn167,phi_local,0.23445233523924439,waterline,4.2949810299107706e-06,0.22170696394324269
free_surface_fn167,phi_local,0.23445233523924439,interior,1.1157549085053336e-05,0.15717822256150624
