reuse_step,step_factor,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number
1,1.0,80,0.0022310075054031778,0.0004578390933839758,0.0004578390933839758,25812.953085569545
1,1.0,160,0.001170413264917913,0.0010320920339218379,0.0010320920339218379,46966.572546480034
1,1.0,320,0.0008375700865029263,0.0012705472053198472,0.0012705472053198472,110187.9294964205
1,0.5,80,0.0022234056511780563,1.3400980508512526e-05,1.3400980508512526e-05,25840.901659190764
1,0.5,160,0.0011644862658689492,0.0005887560995912261,0.0005887560995912261,46974.32821416502
1,0.5,320,0.0008317727506594972,0.0008374379718338766,0.0008374379718338766,110206.36938141934
1,0.25,80,0.002221829234056235,-0.00020774362792915776,0.00020774362792915776,25854.773625719965
1,0.25,160,0.001163987007809735,0.0003681742354685394,0.0003681742354685394,46978.204617368596
1,0.25,320,0.0008315111607798879,0.0006182969925737113,0.0006182969925737113,110215.71521346075
1,0.125,80,0.002221599148126279,-0.00031804816531039236,0.00031804816531039236,25861.68422901594
1,0.125,160,0.00116435568391169,0.00025815397121211437,0.00025815397121211437,46980.14246042539
1,0.125,320,0.0008320256718583501,0.0005090001167116649,0.0005090001167116649,110220.38741426231
2,1.0,80,0.0022338309651124045,0.0005693473074148117,0.0005693473074148117,25805.914908650248
2,1.0,160,0.0011729239921329626,0.0011432031354212163,0.0011432031354212163,46964.63275006328
2,1.0,320,0.0008400515604481063,0.0013816837685161564,0.0013816837685161564,110183.22770313559
2,0.5,80,0.002224748949672514,0.00012422345496667953,0.00012422345496667953,25833.934476099625
2,0.5,160,0.0011653538426708734,0.0006991749561361248,0.0006991749561361248,46972.3895234004
2,0.5,320,0.0008325520359136233,0.0009471375196261083,0.0009471375196261083,110201.69539547064
2,0.25,80,0.002222429683277633,-9.726300062080035e-05,9.726300062080035e-05,25847.84154638207
2,0.25,160,0.0011640299547084633,0.00047824800678083655,0.00047824800678083655,46976.26647942998
2,0.25,320,0.0008314294386759136,0.000727647794034417,0.000727647794034417,110211.04237524843
2,0.125,80,0.0022218274875977864,-0.00020773820801634987,0.00020773820801634987,25854.76960603386
2,0.125,160,0.001163985561769033,0.0003680554568609358,0.0003680554568609358,46978.204598720855
2,0.125,320,0.0008315126705356684,0.0006181768101137927,0.0006181768101137927,110215.71514962518
