station_index,x_m,omega_rad_s,waterplane_beam_m,draft_m,added_mass_per_m,damping_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,status
0,0.0,0.7853981633974483,0.24,0.14,10.96629338470358,0.0009163928165774876,8.358656333072414,3.7099024214558343e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,0.7853981633974483,0.36,0.2,21.459450299767376,0.0020939904975268947,8.513803508088218,2.114810854493643e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,0.7853981633974483,0.32,0.18,17.706118728827654,0.0015898345853424633,8.477974409930532,2.1279364332252248e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,0.7853981633974483,0.1,0.08,2.3118004441375426,0.00018661998052805782,7.0737707263294505,2.667579507065785e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.0,0.24,0.14,10.948249262234164,0.0018759382514906132,8.343243257845751,2.8317549104658277e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,1.0,0.36,0.2,21.41826805741735,0.00427629026429334,8.490975632946446,2.7525022214678215e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,1.0,0.32,0.18,17.67483814880075,0.003249540438632601,8.457180716752491,2.365053339662616e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,1.0,0.1,0.08,2.3081227531299477,0.0003826713315195843,7.068305443606543,2.185638440179729e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.1087974071493387,0.24,0.14,10.937515395058648,0.002544666028018221,8.334059780567221,1.4755255281240564e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,1.1087974071493387,0.36,0.2,21.393816904226625,0.005792407218128256,8.478356998619471,1.8340878849736057e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,1.1087974071493387,0.32,0.18,17.65625306934201,0.0044039036042398,8.44480442995862,1.7408091340328993e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,1.1087974071493387,0.1,0.08,2.3059320783461366,0.0005196051293653232,7.06503824409445,1.9694107353894606e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.8849555921538759,0.24,0.14,10.831710123101812,0.01190056494089913,8.242665777040587,2.5632848657975263e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,1.8849555921538759,0.36,0.2,21.154648407499973,0.02671272453460025,8.408816123396715,2.4380873676681206e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,1.8849555921538759,0.32,0.18,17.47395914056819,0.02041169324144082,8.336228293985341,2.7572142960466917e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,1.8849555921538759,0.1,0.08,2.284220245761321,0.0024542494762350765,7.032225534300358,1.510148284371938e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,6.283185307179586,0.24,0.14,9.669972264411488,0.23373129316386063,7.071301245147296,2.263354708035126e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,6.283185307179586,0.36,0.2,18.729065552382703,0.4544825630442359,7.688811012429428,2.991519577013068e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,6.283185307179586,0.32,0.18,15.574341679553102,0.36433876301505835,7.2475238220783655,2.6248089919144815e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,6.283185307179586,0.1,0.08,2.030572745345703,0.05409445883708188,6.577974596427835,2.1995770699809967e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
