station_index,x_m,omega_rad_s,wavenumber_rad_m,transverse_wavenumber_rad_m,waterplane_beam_m,draft_m,vertical_force_abs_per_m,lateral_force_abs_per_m,roll_moment_abs_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,status
0,0.0,6.283185307179586,4.025678249387654,0.0,0.24,0.14,1554.482477124691,5.68434798471475e-14,1.4210861491463966e-14,7.071301245147296,2.838851360049036e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,6.283185307179586,4.025678249387654,0.0,0.36,0.2,1984.9913203602623,5.684439463438819e-14,1.4210963135005665e-14,7.688811012429428,2.7183104441281985e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,6.283185307179586,4.025678249387654,0.0,0.32,0.18,1856.1097604434788,5.684561432780947e-14,2.1316395010230125e-14,7.2475238220783655,2.777876185483445e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,6.283185307179586,4.025678249387654,0.0,0.1,0.08,790.9153519214466,2.8421712818535595e-14,1.7763568394002505e-15,6.577974596427835,2.706131349232796e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.8849555921538759,0.3623110424448888,0.0,0.24,0.14,2314.7595163293063,5.684341886080802e-14,7.105427358428182e-15,8.242665777040587,3.4729739519871073e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,1.8849555921538759,0.3623110424448888,0.0,0.36,0.2,3418.2042389250446,0.0,4.263256414560601e-14,8.408816123396715,2.5291607224181247e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,1.8849555921538759,0.3623110424448888,0.0,0.32,0.18,3053.868168095203,1.1368683784073004e-13,1.4210854730091255e-14,8.336228293985341,3.2157898814412823e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,1.8849555921538759,0.3623110424448888,0.0,0.1,0.08,982.7539487377376,4.336808689942018e-19,1.7763568394519493e-15,7.032225534300358,1.752885034944536e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.1087974071493387,0.1253671427144944,0.0,0.24,0.14,2378.060108610527,1.1368683772161603e-13,7.105427357613927e-15,8.334059780567221,2.8718346785898346e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,1.1087974071493387,0.1253671427144944,0.0,0.36,0.2,3547.695508816709,4.336808689942018e-19,2.842170943040401e-14,8.478356998619471,2.2734611262495063e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,1.1087974071493387,0.1253671427144944,0.0,0.32,0.18,3159.0997475653144,2.2737367544416264e-13,1.421085471584824e-14,8.44480442995862,2.677259649304535e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,1.1087974071493387,0.1253671427144944,0.0,0.1,0.08,997.3368891664795,5.421010862427522e-20,1.7763568394002505e-15,7.06503824409445,2.799547257271033e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,0.7853981633974483,0.06290122264668209,0.0,0.24,0.14,2395.110311293932,5.421010862427522e-20,7.105427357604233e-15,8.358656333072414,2.8883701863760534e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,0.7853981633974483,0.06290122264668209,0.0,0.36,0.2,3582.8343986570894,2.2737367544323206e-13,4.2632564145608163e-14,8.513803508088218,1.7385516381367662e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,0.7853981633974483,0.06290122264668209,0.0,0.32,0.18,3187.5808717585596,2.710505431213761e-19,2.842170943043309e-14,8.477974409930532,1.634997669469322e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,0.7853981633974483,0.06290122264668209,0.0,0.1,0.08,1001.2343074966153,0.0,1.2705494208814505e-21,7.0737707263294505,2.4713386483466666e-16,12,8,experimental_2d_free_surface_source_panel_not_validated
