station,exponent,count,potential,y,computed_q,exact_q
12,1.0,192,linear_z,-1.2664791666666666,-1.0805372587678912,-1.0
12,1.0,192,linear_z,-1.2554375000000002,-0.989857543094584,-1.0
12,1.0,192,linear_z,-1.2443958333333334,-0.9991896297634224,-1.0
12,1.0,192,linear_z,-1.2333541666666665,-0.9994822666380355,-1.0
12,1.0,192,linear_z,-1.2223125000000001,-0.999813125938117,-1.0
12,1.0,192,linear_z,-1.2112708333333333,-0.9999725126315157,-1.0
12,1.0,192,linear_z,-1.2002291666666667,-1.0000668424275938,-1.0
12,1.0,192,linear_z,-1.1891875,-1.0001260049273926,-1.0
12,1.0,192,linear_z,-1.1781458333333332,-1.0001649473972898,-1.0
12,1.0,192,linear_z,-1.1671041666666668,-1.0001914366353029,-1.0
12,1.0,192,linear_z,-1.1560625,-1.0002098717421821,-1.0
12,1.0,192,linear_z,-1.1450208333333334,-1.0002228944424707,-1.0
12,1.0,192,linear_z,-1.1339791666666668,-1.0002321676084895,-1.0
12,1.0,192,linear_z,-1.1229375,-1.0002387785964912,-1.0
12,1.0,192,linear_z,-1.1118958333333335,-1.0002434611975388,-1.0
12,1.0,192,linear_z,-1.1008541666666667,-1.0002467238822006,-1.0
12,1.0,192,linear_z,-1.0898124999999999,-1.0002489270117907,-1.0
12,1.0,192,linear_z,-1.0787708333333335,-1.0002503309641841,-1.0
12,1.0,192,linear_z,-1.0677291666666666,-1.0002511270545298,-1.0
12,1.0,192,linear_z,-1.0566875,-1.00025145791606,-1.0
12,1.0,192,linear_z,-1.0456458333333334,-1.000251431260339,-1.0
12,1.0,192,linear_z,-1.0346041666666665,-1.000251129343498,-1.0
12,1.0,192,linear_z,-1.0235625000000002,-1.0002506156111406,-1.0
12,1.0,192,linear_z,-1.0125208333333333,-1.000249939429952,-1.0
12,1.0,192,linear_z,-1.0014791666666667,-1.000249139510106,-1.0
12,1.0,192,linear_z,-0.9904375,-1.0002482464155622,-1.0
12,1.0,192,linear_z,-0.9793958333333334,-1.0002472844241088,-1.0
12,1.0,192,linear_z,-0.9683541666666667,-1.000246272924744,-1.0
12,1.0,192,linear_z,-0.9573125,-1.000245227473897,-1.0
12,1.0,192,linear_z,-0.9462708333333334,-1.0002441606055732,-1.0
12,1.0,192,linear_z,-0.9352291666666667,-1.000243082455155,-1.0
12,1.0,192,linear_z,-0.9241875,-1.0002420012457525,-1.0
12,1.0,192,linear_z,-0.9131458333333333,-1.0002409236669363,-1.0
12,1.0,192,linear_z,-0.9021041666666667,-1.000239855175299,-1.0
12,1.0,192,linear_z,-0.8910625,-1.0002388002353932,-1.0
12,1.0,192,linear_z,-0.8800208333333334,-1.0002377625059284,-1.0
12,1.0,192,linear_z,-0.8689791666666666,-1.00023674499596,-1.0
12,1.0,192,linear_z,-0.8579375,-1.000235750188824,-1.0
12,1.0,192,linear_z,-0.8468958333333334,-1.0002347801413345,-1.0
12,1.0,192,linear_z,-0.8358541666666667,-1.0002338365680192,-1.0
12,1.0,192,linear_z,-0.8248125000000001,-1.0002329209091692,-1.0
12,1.0,192,linear_z,-0.8137708333333333,-1.0002320343854507,-1.0
12,1.0,192,linear_z,-0.8027291666666667,-1.0002311780480275,-1.0
12,1.0,192,linear_z,-0.7916875,-1.0002303528154748,-1.0
12,1.0,192,linear_z,-0.7806458333333334,-1.0002295595100685,-1.0
12,1.0,192,linear_z,-0.7696041666666666,-1.000228798886039,-1.0
12,1.0,192,linear_z,-0.7585625,-1.0002280716532754,-1.0
12,1.0,192,linear_z,-0.7475208333333334,-1.0002273785044704,-1.0
12,1.0,192,linear_z,-0.7364791666666667,-1.0002267201295096,-1.0
12,1.0,192,linear_z,-0.7254375,-1.0002260972400014,-1.0
12,1.0,192,linear_z,-0.7143958333333333,-1.0002255105824605,-1.0
12,1.0,192,linear_z,-0.7033541666666667,-1.0002249609575766,-1.0
12,1.0,192,linear_z,-0.6923125,-1.0002244492374217,-1.0
12,1.0,192,linear_z,-0.6812708333333334,-1.000223976380064,-1.0
12,1.0,192,linear_z,-0.6702291666666667,-1.0002235434502758,-1.0
12,1.0,192,linear_z,-0.6591875,-1.0002231516351978,-1.0
12,1.0,192,linear_z,-0.6481458333333334,-1.0002228022663548,-1.0
12,1.0,192,linear_z,-0.6371041666666667,-1.0002224968415117,-1.0
12,1.0,192,linear_z,-0.6260625,-1.0002222370478475,-1.0
12,1.0,192,linear_z,-0.6150208333333333,-1.0002220247895592,-1.0
12,1.0,192,linear_z,-0.6039791666666667,-1.0002218622224786,-1.0
12,1.0,192,linear_z,-0.5929375,-1.0002217517830847,-1.0
12,1.0,192,linear_z,-0.5818958333333333,-1.0002216962385009,-1.0
12,1.0,192,linear_z,-0.5708541666666667,-1.0002216987274273,-1.0
12,1.0,192,linear_z,-0.5598125,-1.0002217628212613,-1.0
12,1.0,192,linear_z,-0.5487708333333334,-1.0002218925905253,-1.0
12,1.0,192,linear_z,-0.5377291666666667,-1.000222092683237,-1.0
12,1.0,192,linear_z,-0.5266875,-1.0002223684221778,-1.0
12,1.0,192,linear_z,-0.5156458333333334,-1.0002227259178897,-1.0
12,1.0,192,linear_z,-0.5046041666666667,-1.000223172209185,-1.0
