panel_index,mid_xi,mid_eta,panel_length,kinematic_residual_midpoint,kinematic_residual_left,kinematic_residual_right,kinematic_integral_panel_linear_exact
0,4.536546018912084,0.0229928762474327,0.004115607649642146,-0.05710900163760435,-0.14833164315055658,0.03411363987534788,2.4838905623329324e-05
1,4.53254114219852,0.021727759517817788,0.004284308556722977,0.023557905387864952,0.014519202192816438,0.0325966085829128,2.4943571084899574e-06
2,4.528378775120879,0.02039259631675292,0.004458242604150549,0.016929197300874277,0.013867033711594923,0.01999136089015363,1.2916569223544503e-06
3,4.524052941173968,0.018988936599458807,0.004637499352054245,0.002132412263009753,0.009519106410792233,-0.005254281884772283,1.0543323336378985e-07
4,4.51955785043276,0.017517393726869716,0.0048221671000541555,-0.00885838847168996,-0.01720895883265272,-0.0005078181107276425,4.904869906752334e-07
5,4.5148951912268105,0.015955896911428808,0.00501233277145166,-0.0028487414478366446,-0.046131125955004126,0.04043364305933039,3.1706526647204936e-06
6,4.510072943947975,0.014265278303258482,0.00520808179692986,0.009604451085609478,-0.03342533340751008,0.05263423557872904,3.6947847384097163e-06
7,4.505089988750191,0.012434353496951754,0.005409497997867663,0.011199377970519064,-0.0008288530252726911,0.023227608966310376,9.393711230425823e-07
8,4.499935720950537,0.010478079690219235,0.005616663469557425,0.0023509924329319087,-0.013447719457417184,0.018149704323281224,4.983493133368994e-07
9,4.494611199301696,0.00838002161931594,0.005829658464377836,-0.0010725468674681604,-0.05039701662456442,0.048251922889628096,4.734371325124935e-06
10,4.489131482812335,0.006090795142946486,0.006048561275211326,0.0066620301649171765,-0.05225308017860564,0.06557714050844021,7.266616844191264e-06
11,4.483507174296838,0.003576987352296402,0.0062734481191771396,0.012905822268348688,-0.036655031227861734,0.062466675764558666,6.1813516936618646e-06
12,4.477743677265427,0.000821389942332851,0.006504393022011615,0.010339243426676248,-0.04414820479861392,0.06482669165196642,7.132244470892114e-06
13,4.471856553868886,-0.0022106435720417312,0.006741467703109622,0.005308480613546163,-0.06546850742432131,0.07608546865141408,1.1446836735622499e-05
14,4.465876021973582,-0.005574566595392799,0.006984741461530752,0.0062574330753082386,-0.08225405744112901,0.09476892359174505,1.8513640142620614e-05
15,4.45984620959052,-0.009336852651829031,0.007234281063123455,0.011129507635438074,-0.09480922121110558,0.11706823648198128,2.7959560892903027e-05
16,4.453826310337439,-0.013569445698672192,0.007490150628854543,0.01367936639435019,-0.10007831161780167,0.12743704440650205,3.371113191177917e-05
17,4.447886998660968,-0.01833830972070395,0.007752411524746243,0.00966799147224151,-0.10678932043618206,0.12612530338066463,3.577147617563386e-05
18,4.442118364625697,-0.023707562219748693,0.008021122253948715,0.004809513043384062,-0.12737807896870512,0.1369971050554737,4.690472551882033e-05
