body_panel_count_requested,omega_rad_s,added_mass_per_m,damping_per_m,added_mass_rel_change_from_previous,damping_rel_change_from_previous,condition_number,residual_norm,body_panel_count,free_surface_panel_count,status
8,4.0,14.781256059430742,0.1281648084818368,,,1.888061620098813,2.320353116066401e-16,8,24,experimental_2d_free_surface_source_panel_not_validated
12,4.0,14.422410077397021,0.12745002635271602,0.024881138457996593,0.005608332532961945,2.7459794883021313,3.0950817722579215e-16,12,24,experimental_2d_free_surface_source_panel_not_validated
16,4.0,14.252200002838993,0.1271526874500549,0.011942722844481755,0.002338439781525768,3.6427869916973297,2.8656788964613043e-16,16,24,experimental_2d_free_surface_source_panel_not_validated
20,4.0,14.152206734866988,0.1269581362021104,0.007065560152230551,0.0015324047261907703,4.552118268645312,4.1351289907708e-16,20,24,experimental_2d_free_surface_source_panel_not_validated
