outer_iteration,jvp_call,direction_norm,maximum_unit_displacement_ratio,signed_finite_difference_step,source_residual_norm,perturbed_residual_norm,product_norm
1,1,1.0,334.8318390016421,2.986573806665667e-06,0.028439759780984734,0.02841080326479494,15.978436874022409
1,2,1.0,721.6328519273188,1.3857462244536474e-06,0.028439759780984734,0.028461092621281617,24.385386562609213
1,3,1.0,1048.2313894807803,9.53987840886285e-07,0.028439759780984734,0.028422900582775423,30.934640452208964
1,4,1.0,1276.7214805031526,7.83256188033981e-07,0.028439759780984734,0.028455316912785803,32.91506095280111
1,5,1.0,2255.0010520253422,4.4345877315748664e-07,0.028439759780984734,0.028437010718466438,21.470229094151932
1,6,1.0,2335.999441263957,4.28082294171664e-07,0.028439759780984734,0.02844079728677481,24.52725865546806
1,7,1.0,2189.6477801778087,4.566944551779902e-07,0.028439759780984734,0.028437180879179853,29.803934723573917
1,8,1.0,2187.837049792045,4.5707243146606853e-07,0.028439759780984734,0.028439629201539918,20.28225043390886
1,9,1.0,2153.437583437121,4.643738029332112e-07,0.028439759780984734,0.02843981385114698,22.0403836094706
1,10,1.0,2151.863479940868,4.6471349568490264e-07,0.028439759780984734,0.028442609392725162,25.083875223538488
1,11,1.0,2138.8185817204667,4.67547836243128e-07,0.028439759780984734,0.028441867291070663,26.270203127423553
1,12,1.0,2137.786374784609,4.6777358663854066e-07,0.028439759780984734,0.028445903202926417,30.724171503385907
1,13,1.0,2131.5530515739765,4.691415019023722e-07,0.028439759780984734,0.02844521732570775,31.620561821287037
1,14,1.0,2130.8451244799553,4.6929736399498093e-07,0.028439759780984734,0.02844460730424008,34.53834657979825
1,15,1.0,2127.410295807937,4.7005507210832835e-07,0.028439759780984734,0.028443756959251932,35.359757484873334
1,16,1.0,2126.89800977147,4.7016828987838854e-07,0.028439759780984734,0.02844393766261133,37.72551833897093
1,17,0.0004076208934821162,466.1193845510969,2.1453731235894954e-06,0.028439759780984734,0.028433911139300556,0.0028128819838961535
