0.1	-1.4067		0.0054
0.2	-1.0969		0.0328
0.3	-0.8191		0.0546
0.4	-0.6393		0.0358
0.5	-0.4999		0.0275
0.6	-0.3930		0.0208
0.7	-0.3103		0.0155
0.8	-0.2453		0.0113
0.9	-0.1954		0.0082
1	-0.1552		0.0059
1.2	-0.0995		0.0030
1.4	-0.0640		0.0015
1.6	-0.0413		0.0008
1.8	-0.0268		0.0004
2	-0.0174		0.0002
