frequency,mode,phase_replay_error,pressure_replay_error,force_replay_error,original_real,original_imag,diagnostic_real,diagnostic_imag,complex_relative_change
2,heave,0.0,0.0,0.0,-468.9897888147483,619.5383393417708,-449.7946270474807,619.2913373813111,0.02470521651453909
2,geometric_pitch,0.0,0.0,0.0,133.27569117079568,96.26285152368345,133.8358956736034,116.84259206643712,0.1252235988606924
3,heave,0.0,0.0,3.473577553865797e-17,-448.53236843292296,553.7612737719124,-412.0654989990323,552.8476786556189,0.05118872840955752
3,geometric_pitch,0.0,0.0,3.473577553865797e-17,351.8989343334341,194.49382022818634,352.42939096830565,203.5272935058401,0.022506087543985177
4,heave,0.0,0.0,1.1006121657161172e-16,-333.60949245982283,219.07016106088494,-294.4617829369241,217.80859093205007,0.09813898083668839
4,geometric_pitch,0.0,0.0,1.1006121657161172e-16,353.4737556084937,221.8040844236572,353.426383562959,209.63131048565228,0.029170417359500666
