panel_count,shape_mode,value,source_signed_root_defect,finite_difference_step
320,0,-1.3329304165710834,-0.0009470221794018306,2.3831968959636146e-05
320,1,-2.8579253362112023,-0.0009470221794018306,1.1030810546384386e-05
320,2,-4.099299439351337,-0.0009470221794018306,7.5712516303711266e-06
320,3,-4.876791565620595,-0.0009470221794018306,6.199533132918536e-06
320,4,-5.265143307930733,-0.0009470221794018306,5.52352774425906e-06
320,5,-5.369695121002211,-0.0009470221794018306,5.138959924322747e-06
320,6,-5.271402494377133,-0.0009470221794018306,4.89667445956916e-06
320,7,-5.029457425671519,-0.0009470221794018306,4.731970589219133e-06
320,8,-4.687699796319246,-0.0009470221794018306,4.613262767462272e-06
320,9,-4.281158564535417,-0.0009470221794018306,4.523674050201449e-06
320,10,-3.8377890234771024,-0.0009470221794018306,4.453520376683624e-06
320,11,-3.381094950721079,-0.0009470221794018306,4.396915481138411e-06
320,12,-2.929815004410329,-0.0009470221794018306,4.350107688376535e-06
320,13,-2.4993737610210793,-0.0009470221794018306,4.310609032902291e-06
320,14,-2.101211923607278,-0.0009470221794018306,4.276713149081074e-06
320,15,-1.7439831005363973,-0.0009470221794018306,4.247215481227757e-06
