lambda,thickness,s_lambda,s_tau,subiterations,body_xi,body_eta,free_xi,free_eta
0.0,0.14081348204277705,2.1038539347051968,-4.256960407086002,0,4.276517714797403,0.5565251544983749,4.324678762107859,0.42420376451560804
0.0027267043771637216,0.13621735860155346,2.1692948689150486,-4.251616319937815,5,4.279079978779688,0.5574577423202591,4.325669059292035,0.4294552956194312
0.005453408754327443,0.13181556636760416,2.2361909041475947,-4.246438415764184,5,4.281642242761974,0.5583903301421435,4.326725821663575,0.4345242151217904
0.008180113131491164,0.12760241148372925,2.3044816393964727,-4.241419890997287,5,4.284204506744259,0.5593229179640277,4.327847101808624,0.43941587349828
0.010906817508654887,0.12357240636954782,2.3740942136815395,-4.236554106581515,5,4.286766770726544,0.560255505785912,4.329031022864154,0.4441354273876901
0.013633521885818609,0.11972026647609034,2.444942333929108,-4.231834583457384,5,4.28932903470883,0.5611880936077962,4.330275777407969,0.4486878426416913
0.01636022626298233,0.11604090693538065,2.5169253190581444,-4.227254997953186,5,4.291891298691115,0.5621206814296805,4.331579626312794,0.45307789747319877
0.01908693064014605,0.11252943910836588,2.5899271803309007,-4.222809177099777,5,4.2944535626734,0.5630532692515647,4.3329408975656,0.4573101857002559
0.02181363501730977,0.10918116703093902,2.663815761278467,-4.218491093883243,5,4.297015826655686,0.5639858570734491,4.334357985052071,0.4613891200856817
0.02454033939447349,0.10599158375398064,2.7384419641741964,-4.2142948624500285,5,4.299578090637971,0.5649184448953333,4.335829347304822,0.4653189357763059
0.02726704377163721,0.10295636758279986,2.8136391007520922,-4.210214733289543,970,4.302140354620256,0.5658510327172176,4.337353506217215,0.4691036938367389
0.02999374814880093,0.10007137816305083,2.889222374687619,-4.206245088379415,322,4.304702618602542,0.5667836205391018,4.338929045704665,0.47274728492740664
0.03272045252596465,0.09733265243843034,2.9649885746929834,-4.202380436343961,185,4.307264882584827,0.5677162083609861,4.340554610322086,0.4762534331030734
0.03544715690312837,0.09473640042492076,3.0407159825493473,-4.19861540762188,125,4.3098271465671125,0.5686487961828703,4.342228903818602,0.47962569978375313
0.03817386128029209,0.09227900076805762,3.116164553130547,-4.1949447496653285,91,4.3123894105493985,0.5695813840047547,4.3439506876180385,0.48286748792951356
0.04090056565745581,0.08995699602875046,3.191076405069435,-4.191363322188775,68,4.314951674531684,0.5705139718266389,4.345718779206583,0.48598204647035464
0.04362727003461953,0.08776708762698843,3.265176664882147,-4.187866092489634,52,4.317513938513969,0.5714465596485231,4.347532050403427,0.4889724750575717
